"prodcodeid","smoking_cessation","term"
"4213341000033116",1,"Nicopatch 7mg/24hours transdermal patches (Pierre Fabre Ltd)"
"4213441000033110",1,"Nicopatch 14mg/24hours transdermal patches (Pierre Fabre Ltd)"
"4213541000033111",1,"Nicopatch 21mg/24hours transdermal patches (Pierre Fabre Ltd)"
"4419441000033114",1,"Nicopass 1.5mg Liquorice Mint lozenges (Pierre Fabre Ltd)"
"4419541000033110",1,"Nicopass 1.5mg Fresh Mint lozenges (Pierre Fabre Ltd)"
"4958241000033113",1,"Nicotine 1.5mg lozenges sugar free"
"4816941000033118",1,"NiQuitin Pre-Quit Mint 4mg lozenges (Omega Pharma Ltd)"
"4817841000033112",1,"Nicorette invisi 10mg/16hours patches (McNeil Products Ltd)"
"4817941000033116",1,"Nicorette invisi 15mg/16hours patches (McNeil Products Ltd)"
"4818041000033118",1,"Nicorette invisi 25mg/16hours patches (McNeil Products Ltd)"
"4817541000033110",1,"Nicotine 25mg/16hours transdermal patches"
"4958041000033117",1,"Nicorette Icy White 2mg medicated chewing gum (McNeil Products Ltd)"
"4958141000033118",1,"Nicorette Icy White 4mg medicated chewing gum (McNeil Products Ltd)"
"5265541000033117",1,"NiQuitin Minis Mint 4mg lozenges (Omega Pharma Ltd)"
"5265441000033118",1,"NiQuitin Minis Mint 1.5mg lozenges (Omega Pharma Ltd)"
"5401441000033115",1,"Nicorette combi 15mg transdermal patches + 2mg medicated gum (McNeil Products Ltd)"
"6036941000033117",1,"NiQuitin Minis Cherry 1.5mg lozenges (Omega Pharma Ltd)"
"6117841000033111",1,"Nicorette Freshmint 2mg lozenges (McNeil Products Ltd)"
"6117741000033118",1,"Nicorette QuickMist 1mg/dose mouthspray freshmint (McNeil Products Ltd)"
"6117641000033110",1,"Nicotine 1mg/dose oromucosal spray sugar free"
"6426941000033111",1,"Nicotinell Icemint 4mg medicated chewing gum (Novartis Consumer Health UK Ltd)"
"6430541000033117",1,"Nicotinell Icemint 2mg medicated chewing gum (Novartis Consumer Health UK Ltd)"
"6440541000033118",1,"Nicorette 15mg Inhalator (McNeil Products Ltd)"
"6440641000033117",1,"Nicotine 15mg inhalation cartridges with device"
"8056141000033112",1,"Nicorette Cools 2mg lozenges (McNeil Products Ltd)"
"8056241000033117",1,"Nicorette Cools 4mg lozenges (McNeil Products Ltd)"
"8232641000033114",1,"NiQuitin Pre-Quit Clear 21mg patches (Omega Pharma Ltd)"
"8561341000033111",1,"NiQuitin Strips Mint 2.5mg oral films (Omega Pharma Ltd)"
"8561241000033118",1,"Nicotine 2.5mg orodispersible films sugar free"
"8614641000033113",1,"NiQuitin Minis Orange 1.5mg lozenges (Omega Pharma Ltd)"
"9693741000033118",1,"Nicotinell Support Icemint 2mg medicated chewing gum (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"9693841000033111",1,"Nicotinell Support Icemint 4mg medicated chewing gum (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"2003541000033113",1,"Nicorette Microtab 2mg sublingual tablets (McNeil Products Ltd)"
"4913541000033110",1,"NiQuitin 4mg lozenges original menthol mint (Omega Pharma Ltd)"
"4575341000033119",1,"NiQuitin 2mg lozenges original menthol mint (Omega Pharma Ltd)"
"2280641000033113",1,"Nicotinell 1mg lozenges (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"10645741000033112",1,"Nicorette Fruitfusion 6mg medicated chewing gum (McNeil Products Ltd)"
"4186541000033117",1,"Nicorette Mint 2mg medicated chewing gum (McNeil Products Ltd)"
"3907341000033114",1,"Nicotinell Mint 2mg medicated chewing gum (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"3907541000033119",1,"Nicotinell Fruit 2mg medicated chewing gum (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"5100141000033115",1,"Nicorette Original 2mg medicated chewing gum (McNeil Products Ltd)"
"2795741000033119",1,"NiQuitin Fresh Mint 2mg medicated chewing gum (Omega Pharma Ltd)"
"3907641000033118",1,"Nicotinell Fruit 4mg medicated chewing gum (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"3907441000033115",1,"Nicotinell Mint 4mg medicated chewing gum (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"4186641000033116",1,"Nicorette Mint 4mg medicated chewing gum (McNeil Products Ltd)"
"5100241000033110",1,"Nicorette Original 4mg medicated chewing gum (McNeil Products Ltd)"
"2795541000033110",1,"NiQuitin Fresh Mint 4mg medicated chewing gum (Omega Pharma Ltd)"
"10645641000033115",1,"Nicotine 6mg medicated chewing gum sugar free"
"5073141000033110",1,"Nicorette 10mg Inhalator (McNeil Products Ltd)"
"2724441000033116",1,"Boots NRT 7mg/24hours patches (The Boots Company Plc)"
"1745441000033118",1,"NiQuitin 7mg patches (Omega Pharma Ltd)"
"2729241000033116",1,"NiQuitin Clear 7mg patches (Omega Pharma Ltd)"
"973141000033117",1,"Nicotinell TTS 10 patches (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"978041000033110",1,"Nicorette 5mg patches (McNeil Products Ltd)"
"977841000033116",1,"Nicorette 10mg patches (McNeil Products Ltd)"
"977941000033112",1,"Nicorette 15mg patches (McNeil Products Ltd)"
"1745741000033113",1,"Nicotine 7mg/24hours transdermal patches"
"1745641000033116",1,"Nicotine 21mg/24hours transdermal patches"
"1746041000033118",1,"Nicotine 5mg/16hours transdermal patches"
"2587141000033110",1,"Nicotine 500micrograms/dose nasal spray"
"2003641000033114",1,"Nicotine 2mg sublingual tablets sugar free"
"1745341000033112",1,"NiQuitin 21mg patches (Omega Pharma Ltd)"
"12410241000033110",1,"NiQuitin Extra Fresh Mint 2mg medicated chewing gum (Omega Pharma Ltd)"
"12410341000033117",1,"NiQuitin Extra Fresh Mint 4mg medicated chewing gum (Omega Pharma Ltd)"
"5073041000033111",1,"Nicotine 10mg inhalation cartridges with device"
"2653941000033119",1,"Nicotine 2mg lozenges sugar free"
"2654041000033117",1,"Nicotine 4mg lozenges sugar free"
"1745241000033119",1,"NiQuitin 14mg patches (Omega Pharma Ltd)"
"5895441000033110",1,"Nicotine bitartrate 1mg lozenges sugar free"
"968641000033113",1,"Nicotine 2mg medicated chewing gum sugar free"
"968741000033116",1,"Nicotine 4mg medicated chewing gum sugar free"
"12591841000033113",1,"Nicorette QuickMist 1mg/dose mouthspray cool berry (McNeil Products Ltd)"
"12634441000033114",1,"Nicorette Fruit 2mg lozenges (McNeil Products Ltd)"
"1745841000033115",1,"Nicotine 10mg/16hours transdermal patches"
"1745541000033117",1,"Nicotine 14mg/24hours transdermal patches"
"1745941000033111",1,"Nicotine 15mg/16hours transdermal patches"
"13281941000033119",1,"Voke 0.45mg/dose inhaler (Kind Consumer Ltd)"
"13281641000033114",1,"Nicotine 450micrograms/dose inhaler"
"2729341000033114",1,"NiQuitin Clear 14mg patches (Omega Pharma Ltd)"
"972641000033119",1,"Nicorette 500micrograms/dose nasal spray (McNeil Products Ltd)"
"2975141000033119",1,"NiQuitin Mint 2mg lozenges (Omega Pharma Ltd)"
"2975441000033110",1,"NiQuitin Mint 4mg lozenges (Omega Pharma Ltd)"
"3907741000033110",1,"Nicotinell Liquorice 2mg medicated chewing gum (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"3907841000033117",1,"Nicotinell Liquorice 4mg medicated chewing gum (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"4188441000033119",1,"Nicotinell 2mg lozenges (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"5895541000033111",1,"Nicotine bitartrate 2mg lozenges sugar free"
"973341000033119",1,"Nicotinell TTS 30 patches (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"2724241000033117",1,"Boots Nicotine 21mg/24hours patches (The Boots Company Plc)"
"973241000033112",1,"Nicotinell TTS 20 patches (GlaxoSmithKline Consumer Healthcare UK Ltd)"
"3951741000033112",1,"Nicorette Freshmint 2mg medicated chewing gum (McNeil Products Ltd)"
"3951841000033119",1,"Nicorette Freshmint 4mg medicated chewing gum (McNeil Products Ltd)"
"2724341000033110",1,"Boots Nicotine 14mg/24hours patches (The Boots Company Plc)"
"2729441000033115",1,"NiQuitin Clear 21mg patches (Omega Pharma Ltd)"
"3907941000033113",1,"Nicotinell Classic 2mg medicated chewing gum (Novartis Consumer Health UK Ltd)"
"3908041000033111",1,"Nicotinell Classic 4mg medicated chewing gum (Novartis Consumer Health UK Ltd)"
"12332141000033117",1,"Mysimba 8mg/90mg modified-release tablets (Orexigen Therapeutics Ireland Ltd)"
"12332041000033116",1,"Naltrexone 8mg / Bupropion 90mg modified-release tablets"
"2131841000033111",1,"Bupropion 150mg modified-release tablets"
"2131941000033115",1,"Zyban 150mg modified-release tablets (GlaxoSmithKline UK Ltd)"
"3997141000033114",1,"Champix Treatment Initiation Pack Tablets 11 x 500 micrograms, 14 x 1 mg"
"3996941000033114",1,"Champix 0.5mg tablets (Pfizer Ltd)"
"3997041000033110",1,"Champix 1mg tablets (Pfizer Ltd)"
"11483241000033116",1,"Champix 0.5mg/1mg 2 week treatment initiation pack (Pfizer Ltd)"
"4011741000033112",1,"Varenicline 1mg tablets and Varenicline 500microgram tablets"
"11483341000033114",1,"Champix 0.5mg/1mg 4 week treatment initiation pack (Pfizer Ltd)"
"3996741000033111",1,"Varenicline 500microgram tablets"
"3996841000033118",1,"Varenicline 1mg tablets"
