"prodcodeid","groups","term"
"1252241000033118",2,"Salbutamol Rotacaps 200 micrograms"
"1252341000033111",2,"Salbutamol Rotacaps 400 micrograms"
"1252441000033117",2,"Salbutamol Rotahaler 1"
"1255041000033118",2,"Salbutamol Spacehaler 100 micrograms/puff"
"1419341000033114",2,"Terbutaline 250micrograms/dose inhaler"
"1423441000033112",2,"Terbutaline 250micrograms/dose inhaler with spacer"
"1699041000033114",2,"Terbutaline 500micrograms/dose dry powder inhaler"
"1422541000033119",2,"Terbutaline Sulfate Refill canister 250 micrograms/puff"
"1429441000033110",2,NA
"1705441000033110",2,"Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"1510541000033116",2,"Ventolin 200microgram Rotacaps (GlaxoSmithKline UK Ltd)"
"1505741000033119",2,"Ventolin 200micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)"
"1510641000033115",2,"Ventolin 400microgram Rotacaps (GlaxoSmithKline UK Ltd)"
"1505941000033116",2,"Ventolin Easi-Breathe Breath-actuated inhaler 100 micrograms/puff"
"1508041000033110",2,"Ventolin Inhaler 100 micrograms/puff"
"1510741000033112",2,"Ventolin Rotahaler (GlaxoSmithKline UK Ltd)"
"8056941000033114",3,"Aclidinium bromide 375micrograms/dose dry powder inhaler"
"9995641000033112",5,"Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler"
"11789041000033118",3,"Braltus 10microgram inhalation powder capsules with Zonda inhaler (Teva UK Ltd)"
"8057341000033112",3,"Eklira 322micrograms/dose Genuair (AstraZeneca UK Ltd)"
"8141741000033112",3,"Glycopyrronium bromide 55microgram inhalation powder capsules with device"
"9703641000033117",3,"Incruse Ellipta 55micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd)"
"9851941000033115",5,"Indacaterol 85micrograms/dose / Glycopyrronium bromide 54micrograms/dose inhalation powder capsules with device"
"8141841000033119",3,"Seebri Breezhaler 44microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"2793841000033111",3,"Spiriva 18microgram inhalation powder capsules (Boehringer Ingelheim Ltd)"
"2793741000033118",3,"Spiriva 18microgram inhalation powder capsules with HandiHaler (Boehringer Ingelheim Ltd)"
"4270741000033115",3,"Spiriva Respimat 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"13178841000033113",3,"Spiriva Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)"
"11788941000033110",3,"Tiotropium bromide 10microgram inhalation powder capsules with device"
"2793641000033110",3,"Tiotropium bromide 18microgram inhalation powder capsules"
"2793541000033114",3,"Tiotropium bromide 18microgram inhalation powder capsules with device"
"13178541000033111",5,"Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free"
"10589141000033112",5,"Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free"
"13178741000033115",3,"Tiotropium bromide 2.5micrograms/dose inhalation solution cartridge CFC free"
"4270641000033112",3,"Tiotropium bromide 2.5micrograms/dose solution for inhalation cartridge with device CFC free"
"9293341000033116",5,"Anoro Ellipta 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd)"
"3347141000033113",4,"Atimos Modulite 12micrograms/dose inhaler (Chiesi Ltd)"
"9995741000033115",5,"Duaklir 340micrograms/dose / 12micrograms/dose Genuair (AstraZeneca UK Ltd)"
"3163841000033111",7,"Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free"
"3163941000033115",7,"Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free"
"3163741000033118",7,"Fluticasone 50micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free"
"8946841000033112",7,"Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler"
"8946941000033116",7,"Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler"
"3164041000033118",7,"Fluticasone propionate 100micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler"
"3164141000033119",7,"Fluticasone propionate 250micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler"
"3164241000033114",7,"Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler"
"599641000033111",4,"Foradil 12microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"3089841000033115",4,"Formoterol 12microgram inhalation powder capsules with device"
"3089741000033113",4,"Formoterol 12micrograms/dose dry powder inhaler"
"3347041000033114",4,"Formoterol 12micrograms/dose inhaler CFC free"
"3089641000033116",4,"Formoterol 6micrograms/dose dry powder inhaler"
"4063341000033111",4,"Formoterol Dry Powder Inhaler 12 micrograms/actuation, 120 dose"
"4063241000033118",4,"Formoterol Dry Powder Inhaler 12 micrograms/actuation, 60 dose"
"4063541000033116",4,"Formoterol Easyhaler 12micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"5707041000033111",4,"Indacaterol 150microgram inhalation powder capsules with device"
"5707141000033110",4,"Indacaterol 300microgram inhalation powder capsules with device"
"6456541000033118",4,"Neovent 25micrograms/dose inhaler CFC free (Kent Pharma (UK) Ltd)"
"13178941000033117",4,"Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free"
"9299341000033119",4,"Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free"
"5707241000033115",4,"Onbrez Breezhaler 150microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"5707341000033113",4,"Onbrez Breezhaler 300microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"1022341000033117",4,"Oxis 12 Turbohaler (AstraZeneca UK Ltd)"
"1022441000033111",4,"Oxis 6 Turbohaler (AstraZeneca UK Ltd)"
"5140041000033112",4,NA
"5140141000033111",4,NA
"1206341000033118",4,"Salmeterol 25micrograms/dose inhaler"
"3855941000033115",4,"Salmeterol 25micrograms/dose inhaler CFC free"
"1252041000033114",4,"Salmeterol 50microgram inhalation powder blisters"
"1914241000033119",4,"Salmeterol 50microgram inhalation powder blisters with device"
"1914141000033114",4,"Salmeterol 50micrograms/dose dry powder inhaler"
"1205941000033113",4,NA
"1228741000033113",4,"Salmeterol Xinafoate Disks with diskhaler 50 micrograms/blister"
"3856041000033113",4,"Serevent 25micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"1267641000033111",4,"Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)"
"1272941000033113",4,"Serevent 50microgram disks (GlaxoSmithKline UK Ltd)"
"1268941000033117",4,"Serevent 50microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)"
"1267441000033114",4,"Serevent 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)"
"11782841000033117",4,"Soltel 25micrograms/dose inhaler CFC free (Cipla EU Ltd)"
"10589241000033117",5,"Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"13178641000033112",5,"Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)"
"9299441000033113",4,"Striverdi Respimat 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"13179041000033114",4,"Striverdi Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)"
"9852041000033114",5,"Ultibro Breezhaler 85microgram/43microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"9293241000033114",5,"Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler"
"8536141000033111",4,"Vertine 25micrograms/dose inhaler CFC free (Teva UK Ltd)"
"12197841000033113",7,"AirFluSal 25micrograms/dose / 125micrograms/dose inhaler (Sandoz Ltd)"
"12197941000033117",7,"AirFluSal 25micrograms/dose / 250micrograms/dose inhaler (Sandoz Ltd)"
"10715041000033111",7,"AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (Sandoz Ltd)"
"12370841000033110",7,"Aloflute 25micrograms/dose / 125micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"12370941000033119",7,"Aloflute 25micrograms/dose / 250micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"4823341000033115",6,"Alvesco 160 inhaler (AstraZeneca UK Ltd)"
"3227641000033114",6,"Alvesco 80 inhaler (AstraZeneca UK Ltd)"
"3227741000033117",6,"Alvesco Cfc-free inhaler 160 micrograms/actuation, 120 doses"
"3267741000033112",6,"Alvesco Cfc-free inhaler 160 micrograms/actuation, 60 doses"
"5811441000033112",6,"Asmanex 200micrograms/dose Twisthaler (Organon Pharma (UK) Ltd)"
"5811541000033113",6,"Asmanex 400micrograms/dose Twisthaler (Organon Pharma (UK) Ltd)"
"2873041000033114",6,"Asmanex Twisthaler Dry Powder Inhaler 200 micrograms/dose, 30 doses"
"2873141000033113",6,"Asmanex Twisthaler Dry Powder Inhaler 200 micrograms/dose, 60 doses"
"2873241000033118",6,"Asmanex Twisthaler Dry Powder Inhaler 400 micrograms/dose, 30 doses"
"2873341000033111",6,"Asmanex Twisthaler Dry Powder Inhaler 400 micrograms/dose, 60 doses"
"2725541000033116",6,"Beclometasone 100 Cyclocaps (Teva UK Ltd)"
"3081341000033111",6,"Beclometasone 100microgram inhalation powder blisters"
"3081041000033114",6,"Beclometasone 100microgram inhalation powder blisters with device"
"3082041000033116",6,"Beclometasone 100microgram inhalation powder capsules"
"9531441000033113",7,"Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler"
"4418141000033112",7,"Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free"
"3080741000033119",6,"Beclometasone 100micrograms/dose breath actuated inhaler"
"3083041000033113",6,"Beclometasone 100micrograms/dose breath actuated inhaler CFC free"
"3082341000033119",6,"Beclometasone 100micrograms/dose dry powder inhaler"
"3081741000033112",6,"Beclometasone 100micrograms/dose inhaler"
"3082841000033111",6,"Beclometasone 100micrograms/dose inhaler CFC free"
"2725641000033115",6,"Beclometasone 200 Cyclocaps (Teva UK Ltd)"
"3081441000033117",6,"Beclometasone 200microgram inhalation powder blisters"
"3081141000033113",6,"Beclometasone 200microgram inhalation powder blisters with device"
"3082141000033117",6,"Beclometasone 200microgram inhalation powder capsules"
"10735041000033115",7,"Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler"
"10740041000033111",7,"Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free"
"3082641000033110",6,"Beclometasone 200micrograms/dose dry powder inhaler"
"3081641000033115",6,"Beclometasone 200micrograms/dose inhaler"
"3942841000033114",6,"Beclometasone 200micrograms/dose inhaler CFC free"
"3080541000033110",6,"Beclometasone 250micrograms/dose breath actuated inhaler"
"3082441000033113",6,"Beclometasone 250micrograms/dose dry powder inhaler"
"3080441000033114",6,"Beclometasone 250micrograms/dose inhaler"
"3942941000033118",6,"Beclometasone 250micrograms/dose inhaler CFC free"
"2725741000033112",6,"Beclometasone 400 Cyclocaps (Teva UK Ltd)"
"3081541000033116",6,"Beclometasone 400microgram inhalation powder blisters"
"3081241000033118",6,"Beclometasone 400microgram inhalation powder blisters with device"
"3081941000033110",6,"Beclometasone 400microgram inhalation powder capsules"
"3082541000033114",6,"Beclometasone 400micrograms/dose dry powder inhaler"
"3080641000033111",6,"Beclometasone 50micrograms/dose breath actuated inhaler"
"3082941000033115",6,"Beclometasone 50micrograms/dose breath actuated inhaler CFC free"
"3082241000033112",6,"Beclometasone 50micrograms/dose dry powder inhaler"
"3081841000033119",6,"Beclometasone 50micrograms/dose inhaler"
"3082741000033118",6,"Beclometasone 50micrograms/dose inhaler CFC free"
"5393341000033118",6,"Budelin Novolizer 200micrograms/dose inhalation powder (Viatris UK Healthcare Ltd)"
"5393441000033112",6,"Budelin Novolizer 200micrograms/dose inhalation powder refill (Viatris UK Healthcare Ltd)"
"3164341000033116",7,"Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler"
"3871541000033110",6,"Budesonide 100micrograms/dose dry powder inhaler"
"4815041000033111",6,"Budesonide 100micrograms/dose inhaler CFC free"
"2726041000033117",6,"Budesonide 200 Cyclocaps (Teva UK Ltd)"
"2725841000033119",6,"Budesonide 200microgram inhalation powder capsules"
"3164441000033110",7,"Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler"
"11707241000033115",7,"Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free"
"3256341000033119",6,"Budesonide 200micrograms/dose dry powder inhalation cartridge"
"3141341000033112",6,"Budesonide 200micrograms/dose dry powder inhalation cartridge with device"
"3871641000033111",6,"Budesonide 200micrograms/dose dry powder inhaler"
"163741000033113",6,"Budesonide 200micrograms/dose inhaler"
"4815141000033110",6,"Budesonide 200micrograms/dose inhaler CFC free"
"169341000033114",6,"Budesonide 3mg gastro-resistant modified-release capsules"
"2726141000033118",6,"Budesonide 400 Cyclocaps (Teva UK Ltd)"
"2725941000033110",6,"Budesonide 400microgram inhalation powder capsules"
"3164541000033111",7,"Budesonide 400micrograms/dose / Formoterol 12micrograms/dose dry powder inhaler"
"3871741000033119",6,"Budesonide 400micrograms/dose dry powder inhaler"
"163841000033115",6,"Budesonide 50micrograms/dose inhaler"
"1579841000033116",6,"Budesonide Breath-Actuated Dry Powder Inhaler 100 micrograms/dose"
"1579941000033112",6,"Budesonide Breath-Actuated Dry Powder Inhaler 200 micrograms/dose"
"1580041000033111",6,NA
"2798441000033118",6,"Budesonide Inhaler with spacer device 200 micrograms/dose"
"171241000033113",6,"Budesonide Refill canister 200 micrograms/dose"
"171341000033115",6,"Budesonide Refill canister 50 micrograms/dose"
"171741000033119",6,"Budesonide Spacer inhaler 200 micrograms/dose"
"171641000033111",6,"Budesonide Spacer inhaler 50 micrograms/dose"
"174641000033114",6,"Budesonide Turbohaler 100 micrograms/dose"
"174441000033112",6,NA
"174541000033113",6,"Budesonide Turbohaler 400 micrograms/dose"
"4823241000033113",6,"Ciclesonide 160micrograms/dose inhaler CFC free"
"3227441000033112",6,"Ciclesonide 80micrograms/dose inhaler CFC free"
"3227541000033113",6,"Ciclesonide Cfc-free inhaler 160 micrograms/actuation, 120 doses"
"3267641000033115",6,"Ciclesonide Cfc-free inhaler 160 micrograms/actuation, 60 doses"
"3943341000033113",6,"Clenil Modulite 100micrograms/dose inhaler (Chiesi Ltd)"
"3943441000033119",6,"Clenil Modulite 200micrograms/dose inhaler (Chiesi Ltd)"
"3943641000033117",6,"Clenil Modulite 250micrograms/dose inhaler (Chiesi Ltd)"
"3943041000033111",6,"Clenil Modulite 50micrograms/dose inhaler (Chiesi Ltd)"
"12579441000033119",7,"Combisal 25micrograms/dose / 125micrograms/dose inhaler (Aspire Pharma Ltd)"
"12579541000033118",7,"Combisal 25micrograms/dose / 250micrograms/dose inhaler (Aspire Pharma Ltd)"
"12579341000033113",7,"Combisal 25micrograms/dose / 50micrograms/dose inhaler (Aspire Pharma Ltd)"
"9342741000033111",7,"DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Teva UK Ltd)"
"9342841000033118",7,"DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Teva UK Ltd)"
"3343041000033119",6,"Easyhaler Beclometasone 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"3871841000033112",6,"Easyhaler Budesonide 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"3871941000033116",6,"Easyhaler Budesonide 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"3872041000033110",6,"Easyhaler Budesonide 400micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"590841000033115",6,"Flixotide 100microgram disks (GlaxoSmithKline UK Ltd)"
"581241000033110",6,"Flixotide 100microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)"
"576741000033118",6,"Flixotide 100micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)"
"2067541000033118",6,"Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"590941000033111",6,"Flixotide 250microgram disks (GlaxoSmithKline UK Ltd)"
"581341000033117",6,"Flixotide 250microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)"
"576841000033111",6,"Flixotide 250micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)"
"2067641000033117",6,"Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"585741000033118",6,"Flixotide 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)"
"591441000033110",6,"Flixotide 500microgram disks (GlaxoSmithKline UK Ltd)"
"581841000033114",6,"Flixotide 500microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)"
"577041000033119",6,"Flixotide 500micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)"
"591041000033118",6,"Flixotide 50microgram disks (GlaxoSmithKline UK Ltd)"
"581441000033111",6,"Flixotide 50microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)"
"576941000033115",6,"Flixotide 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)"
"2148541000033119",6,"Flixotide 50micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"585641000033110",6,"Flixotide Inhaler 125 micrograms/puff"
"586241000033117",6,"Flixotide Inhaler 250 micrograms/puff"
"585841000033111",6,"Flixotide Inhaler 50 micrograms/puff"
"12634941000033116",7,"Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free"
"8101741000033115",7,"Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free"
"2067741000033114",6,"Fluticasone 125micrograms/dose inhaler CFC free"
"8101841000033113",7,"Fluticasone 250micrograms/dose / Formoterol 10micrograms/dose inhaler CFC free"
"2067841000033116",6,"Fluticasone 250micrograms/dose inhaler CFC free"
"586041000033113",6,"Fluticasone 25micrograms/dose inhaler"
"12635041000033116",7,"Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free"
"8101641000033112",7,"Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free"
"2148441000033115",6,"Fluticasone 50micrograms/dose inhaler CFC free"
"591141000033119",6,"Fluticasone propionate 100microgram inhalation powder blisters"
"1914841000033115",6,"Fluticasone propionate 100microgram inhalation powder blisters with device"
"1914441000033118",6,"Fluticasone propionate 100micrograms/dose dry powder inhaler"
"591241000033114",6,"Fluticasone propionate 250microgram inhalation powder blisters"
"1914941000033111",6,"Fluticasone propionate 250microgram inhalation powder blisters with device"
"1914541000033117",6,"Fluticasone propionate 250micrograms/dose dry powder inhaler"
"591541000033111",6,"Fluticasone propionate 500microgram inhalation powder blisters"
"1915041000033111",6,"Fluticasone propionate 500microgram inhalation powder blisters with device"
"1914641000033116",6,"Fluticasone propionate 500micrograms/dose dry powder inhaler"
"591341000033116",6,"Fluticasone propionate 50microgram inhalation powder blisters"
"1914741000033113",6,"Fluticasone propionate 50microgram inhalation powder blisters with device"
"1914341000033112",6,"Fluticasone propionate 50micrograms/dose dry powder inhaler"
"577141000033115",6,"Fluticasone Propionate Accuhaler 100 micrograms/dose"
"577241000033110",6,"Fluticasone Propionate Accuhaler 250 micrograms/dose"
"577341000033117",6,NA
"577441000033111",6,"Fluticasone Propionate Accuhaler 500 micrograms/dose"
"4164541000033114",6,"Fluticasone Propionate Aqueous nasal spray 50 micrograms/dose, 60 doses"
"581541000033112",6,NA
"581641000033113",6,NA
"581741000033116",6,"Fluticasone Propionate Disks with diskhaler 50 micrograms/dose"
"581941000033118",6,"Fluticasone Propionate Disks with diskhaler 500 micrograms/puff"
"585941000033115",6,"Fluticasone Propionate Inhaler 125 micrograms/puff"
"586341000033110",6,"Fluticasone Propionate Inhaler 250 micrograms/puff"
"586141000033112",6,"Fluticasone Propionate Inhaler 50 micrograms/puff"
"8102041000033111",7,"Flutiform 125micrograms/dose / 5micrograms/dose inhaler (Napp Pharmaceuticals Ltd)"
"8102141000033110",7,"Flutiform 250micrograms/dose / 10micrograms/dose inhaler (Napp Pharmaceuticals Ltd)"
"8101941000033117",7,"Flutiform 50micrograms/dose / 5micrograms/dose inhaler (Napp Pharmaceuticals Ltd)"
"12635141000033117",7,"Flutiform K-haler 125micrograms/dose / 5micrograms/dose breath actuated inhaler (Napp Pharmaceuticals Ltd)"
"12635241000033112",7,"Flutiform K-haler 50micrograms/dose / 5micrograms/dose breath actuated inhaler (Napp Pharmaceuticals Ltd)"
"12430741000033111",7,"Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"12403741000033110",7,"Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"12434441000033111",7,"Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"4418241000033117",7,"Fostair 100micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd)"
"10740141000033110",7,"Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd)"
"9537441000033115",7,"Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd)"
"10735141000033116",7,"Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd)"
"12529241000033119",7,"Fusacomb Easyhaler 50micrograms/dose / 250micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"12529341000033112",7,"Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"12530441000033112",6,"Kelhale 100micrograms/dose inhaler (Cipla EU Ltd)"
"12530541000033113",6,"Kelhale 50micrograms/dose inhaler (Cipla EU Ltd)"
"5811241000033111",6,"Mometasone 200micrograms/dose dry powder inhaler"
"5811341000033118",6,"Mometasone 400micrograms/dose dry powder inhaler"
