"snomedctconceptid","medcodeid","cleansedreadcode","snomedctdescriptionid","term","pneumonia","lrti","pneumonia_lrti","hospital_acquired_pneumonia"
"64917006","3555891000006119","","1232627018","pneumonia due to parainfluenza virus",1,0,"pneumonia",0
"702938004","7568441000006116","","3006447019","klebsiella pneumoniae or klebsiella oxytoca",1,0,"pneumonia",0
"396285007","546481000006116","H25..11","1776258010","chest infection - unspecified bronchopneumonia",1,0,"pneumonia",0
"278516003","1772681000006119","","1772681000006119","lobar pneumonia",1,0,"pneumonia",0
"59475000","1231963019","H243.00","1231963019","pneumonia with whooping cough",1,0,"pneumonia",0
"1576341000006102","1576341000006118","","1576341000006118","cause of death- bronchopneumonia",1,0,"pneumonia",0
"41207000","219801000006119","H200.00","68738015","pneumonia due to adenovirus",1,0,"pneumonia",0
"195878008","301357010","H2...00","301357010","pneumonia and influenza",1,0,"pneumonia",0
"41207000","3163841000006112","","68738015","adenoviral pneumonia",1,0,"pneumonia",0
"195878008","546421000006115","H270.11","301357010","chest infection - influenza with pneumonia",1,0,"pneumonia",0
"301001009","5887781000006118","","442221018","rll - right lower lobe pneumonia",1,0,"pneumonia",0
"425464007","7044721000006118","","2674071017","nosocomial pneumonia",1,0,"pneumonia",0
"7063008","2612661000006111","","501627018","necrotising pneumonia",1,0,"pneumonia",0
"1240551000000105","13012271000006118","","2827631000000110","pneumonia caused by sars-cov-2 (severe acute respiratory syndrome coronavirus 2)",1,0,"pneumonia",0
"301004001","5887901000006113","","442229016","rul - right upper lobe pneumonia",1,0,"pneumonia",0
"233609002","350054013","H233.00","350054013","chlamydial pneumonia",1,0,"pneumonia",0
"430395005","2765492018","","2765492018","pneumonia due to gram negative bacteria",1,0,"pneumonia",0
"689401000000108","885231000006119","H25..99","885231000006119","bronchopneumonia",1,0,"pneumonia",0
"396285007","6566931000006116","","3465272019","lobular pneumonia",1,0,"pneumonia",0
"195878008","301414016","H270z00","301357010","influenza with pneumonia nos",1,0,"pneumonia",0
"59475000","885221000006117","H243.99","885221000006117","whooping cough pneumonia",1,0,"pneumonia",0
"233604007","301817018","Hyu0G00","350049016","pneumonia",1,0,"pneumonia",0
"277869007","5605771000006116","","414595013","non-tuberculous mycobacterial pneumonia",1,0,"pneumonia",0
"301000005","1772731000006112","","442217013","left lower zone pneumonia",1,0,"pneumonia",0
"425464007","7044731000006115","","3427976013","hap - hospital acquired pneumonia",1,0,"pneumonia",1
"195878008","778871000006116","H270.00","301357010","influenza with pneumonia",1,0,"pneumonia",0
"312342009","1222333010","H23..11","456043010","chest infection - pneumonia organism os",1,0,"pneumonia",0
"41269000","1229740013","H270000","1229740013","influenza with bronchopneumonia",1,0,"pneumonia",0
"53084003","219881000006111","H22yX00","88303013","pneumonia due to other aerobic gram-negative bacteria",1,0,"pneumonia",0
"233613009","301393012","H247z00","350060013","pneumonia with systemic mycosis nos",1,0,"pneumonia",0
"426696003","1772701000006116","","2674103016","lingular pneumonia",1,0,"pneumonia",0
"111900000","1219703018","H246.00","1219703018","pneumonia with aspergillosis",1,0,"pneumonia",0
"301000005","5887701000006110","","442213012","left basal pneumonia",1,0,"pneumonia",0
"385093006","1479355018","H2B..00","1479355018","community acquired pneumonia",1,0,"pneumonia",0
"312342009","301382010","H23z.00","456043010","pneumonia due to specified organism nos",1,0,"pneumonia",0
"195909000","301397013","H24y100","301397013","pneumonia with nocardiasis",1,0,"pneumonia",0
"1708141000006107","1708141000006111","","1708141000006111","crb-65 pneumonia severity score",1,0,"pneumonia",0
"64917006","3555901000006115","","3035270018","parainfluenza pneumonia",1,0,"pneumonia",0
"396285007","1772771000006110","","1772771000006110","bronchopneumonia",1,0,"pneumonia",0
"18400002","2792341000006111","","1222111015","klebsiella pneumoniae subsp pneumoniae",1,0,"pneumonia",0
"301003007","5887871000006113","","442228012","right middle lobe pneumonia",1,0,"pneumonia",0
"38699009","301392019","H247200","64397019","pneumonia with histoplasmosis",1,0,"pneumonia",0
"195878008","885251000006114","H270.99","885251000006114","influenza + pneumonia",1,0,"pneumonia",0
"53084003","301813019","Hyu0C00","88303013","[x]pneumonia in bacterial diseases classified elsewhere",1,0,"pneumonia",0
"75570004","301809014","Hyu0800","125510013","[x]other viral pneumonia",1,0,"pneumonia",0
"195900001","220111000006113","H240.00","301386013","pneumonia with measles",1,0,"pneumonia",0
"407671000","6750331000006114","","2159270017","bilateral pneumonia",1,0,"pneumonia",0
"882784691000119100","13484101000006116","","3951294010","pneumonia caused by 2019 novel coronavirus",1,0,"pneumonia",0
"75570004","301364012","H20z.00","125510013","viral pneumonia nos",1,0,"pneumonia",0
"75570004","301363018","H20y.00","125510013","viral pneumonia nec",1,0,"pneumonia",0
"195889001","219771000006116","H22y200","301372014","legionella pneumonia",1,0,"pneumonia",0
"191727003","4764761000006112","","2547723010","post measles pneumonia",1,0,"pneumonia",0
"425464007","2674072012","H2C..00","2674072012","hospital acquired pneumonia",1,0,"pneumonia",1
"266350000","885191000006112","H21..99","885191000006112","lobar -pneumococcal -pneumonia",1,0,"pneumonia",0
"1033111000000104","2609031000000111","","2609031000000111","influenza with pneumonia due to seasonal influenza virus",1,0,"pneumonia",0
"51530003","3334901000006115","","2671161016","pneumonia due to escherichia coli",1,0,"pneumonia",0
"22754005","219971000006119","H224.00","38198016","staphylococcal pneumonia",1,0,"pneumonia",0
"59475000","1231962012","H243.11","1231962012","pneumonia with pertussis",1,0,"pneumonia",0
"7678002","220071000006117","H241.00","13688018","pneumonia with cytomegalic inclusion disease",1,0,"pneumonia",0
"312342009","301390010","H247.00","456043010","pneumonia with other systemic mycoses",1,0,"pneumonia",0
"1240551000000105","12990651000006112","","2807991000000111","pneumonia caused by 2019-ncov (novel coronavirus)",1,0,"pneumonia",0
"57702005","3437661000006113","","95962012","unresolved pneumonia",1,0,"pneumonia",0
"70036007","219841000006117","H222.00","116320011","haemophilus influenzae pneumonia",1,0,"pneumonia",0
"195909000","4781271000006113","","301396016","nocardial pneumonia",1,0,"pneumonia",0
"300999006","1772711000006118","","1772711000006118","basal pneumonia",1,0,"pneumonia",0
"301004001","5887921000006115","","442231013","right upper lobe pneumonia",1,0,"pneumonia",0
"53084003","301370018","H22y.00","88303013","pneumonia due to other specified bacteria",1,0,"pneumonia",0
"195878008","301413010","H270100","301357010","influenza with pneumonia, influenza virus identified",1,0,"pneumonia",0
"195886008","219991000006118","H223000","301369019","pneumonia due to streptococcus, group b",1,0,"pneumonia",0
"75570004","125510013","H20..00","125510013","viral pneumonia",1,0,"pneumonia",0
"312342009","301403019","H24yz00","456043010","pneumonia with other infectious diseases ec nos",1,0,"pneumonia",0
"195908008","220021000006118","H24y000","301395017","pneumonia with actinomycosis",1,0,"pneumonia",0
"312342009","301377015","H23..00","456043010","pneumonia due to other specified organisms",1,0,"pneumonia",0
"540151000000108","932231000006112","H2z..98","932231000006112","bilateral pneumonia",1,0,"pneumonia",0
"301000005","5887711000006113","","442214018","lll - left lower lobe pneumonia",1,0,"pneumonia",0
"64917006","3555881000006117","","499984015","parainfluenzal pneumonia",1,0,"pneumonia",0
"59475000","3465961000006115","","98793016","pneumonia in pertussis",1,0,"pneumonia",0
"64479007","107173015","H220.00","107173015","pneumonia due to klebsiella pneumoniae",1,0,"pneumonia",0
"301001009","1772741000006119","","442218015","right lower zone pneumonia",1,0,"pneumonia",0
"123587001","4353381000006111","","192076015","acute bronchopneumonia",1,0,"pneumonia",0
"301000005","5887721000006117","","442215017","left lower lobe pneumonia",1,0,"pneumonia",0
"53084003","301375011","H22yz00","88303013","pneumonia due to bacteria nos",1,0,"pneumonia",0
"301002002","1772691000006116","","442225010","left upper zone pneumonia",1,0,"pneumonia",0
"56415008","3416581000006114","","93818017","klebsiella pneumoniae",1,0,"pneumonia",0
"385093006","1787121000006116","","1787121000006116","community acquired pneumonia",1,0,"pneumonia",0
"81164001","220131000006119","H242.00","134668017","pneumonia with ornithosis",1,0,"pneumonia",0
"425996009","1772721000006114","","2674104010","bilateral basal pneumonia",1,0,"pneumonia",0
"300999006","5887681000006112","","442212019","lower lobe pneumonia",1,0,"pneumonia",0
"233607000","5053421000006111","","350052012","pneumococcal pneumonia",1,0,"pneumonia",0
"301003007","1772751000006117","","442226011","right middle zone pneumonia",1,0,"pneumonia",0
"233606009","350051017","H28..00","350051017","atypical pneumonia",1,0,"pneumonia",0
"703018008","7569441000006111","","3006704015","streptococcus acidominimus or streptococcus pneumoniae or streptococcus morbillorum",1,0,"pneumonia",0
"312342009","546441000006110","H26..11","456043010","chest infection - pnemonia due to unspecified organism",1,0,"pneumonia",0
"34020007","56816017","H223.00","56817014","streptococcal pneumonia",1,0,"pneumonia",0
"713084008","7699541000006118","","3297717014","pneumonia caused by human coronavirus",1,0,"pneumonia",0
"195886008","4781141000006114","","301369019","group b streptococcal pneumonia",1,0,"pneumonia",0
"301004001","1772761000006115","","442232018","right upper zone pneumonia",1,0,"pneumonia",0
"196112005","301686019","H530300","301686019","abscess of lung with pneumonia",1,0,"pneumonia",0
"195908008","4781261000006118","","301395017","actinomycotic pneumonia",1,0,"pneumonia",0
"233622005","5053611000006118","","1208694011","infectious mononucleosis pneumonia",1,0,"pneumonia",0
"233613009","301815014","Hyu0E00","350060013","[x]pneumonia in mycoses classified elsewhere",1,0,"pneumonia",0
"441658007","7253251000006114","","2817462013","pneumonia due to staphylococcus aureus",1,0,"pneumonia",0
"312342009","301394018","H24y.00","456043010","pneumonia with other infectious diseases ec",1,0,"pneumonia",0
"406595002","683591000006114","A3BXA00","2158243017","mycoplasma pneumoniae [pplo] cause/dis classifd/oth chaptr",1,0,"pneumonia",0
"882784691000119100","13484081000006112","","2833571000000118","pneumonia caused by sars-cov-2 (severe acute respiratory syndrome coronavirus 2)",1,0,"pneumonia",0
"53084003","301376012","H22z.00","88303013","bacterial pneumonia",1,0,"pneumonia",0
"75570004","546491000006118","H20..11","125510013","chest infection - viral pneumonia",1,0,"pneumonia",0
"34020007","3047811000006116","","56816017","pneumonia due to streptococcus",1,0,"pneumonia",0
"53084003","1222332017","H22..11","88303013","chest infection - other bacterial pneumonia",1,0,"pneumonia",0
"266350000","546451000006112","H21..11","396103010","chest infection - pneumococcal pneumonia",1,0,"pneumonia",0
"301001009","5887791000006115","","442222013","right lower lobe pneumonia",1,0,"pneumonia",0
"396285007","396105015","H25..00","1776258010","bronchopneumonia",1,0,"pneumonia",0
"195896004","219921000006115","H232.00","301380019","pneumonia due to pleuropneumonia like organisms",1,0,"pneumonia",0
"445096001","2872480010","H203.00","2872480010","pneumonia due to human metapneumovirus",1,0,"pneumonia",0
"882784691000119100","13484091000006110","","3951095016","covid-19 pneumonia",1,0,"pneumonia",0
"882784691000119100","13484121000006114","","2833741000000115","pneumonia caused by 2019-ncov (novel coronavirus)",1,0,"pneumonia",0
"195896004","4781201000006119","","301380019","pneumonia due to pleuropneumonia-like organism",1,0,"pneumonia",0
"51530003","633531000006116","H22y011","1230992012","e.coli pneumonia",1,0,"pneumonia",0
"312342009","301818011","Hyu0H00","456043010","[x]other pneumonia, organism unspecified",1,0,"pneumonia",0
"40733004","754391000006117","A3BXB00","492755015","klebsiella pneumoniae/cause/disease classifd/oth chapters",1,0,"pneumonia",0
"46970008","78272011","H231.99","78272011","mycoplasma pneumonia",1,0,"pneumonia",0
"301002002","5887821000006112","","442223015","left upper lobe pneumonia",1,0,"pneumonia",0
"301001009","5887761000006111","","442219011","right basal pneumonia",1,0,"pneumonia",0
"53084003","301811017","Hyu0A00","88303013","[x]other bacterial pneumonia",1,0,"pneumonia",0
"312342009","301408011","H26..00","456043010","infective pneumonia",1,0,"pneumonia",0
"46970008","2164029012","H231.00","494705012","mycoplasmal pneumonia",1,0,"pneumonia",0
"312342009","301404013","H24z.00","456043010","pneumonia with infectious diseases ec nos",1,0,"pneumonia",0
"425464007","1787131000006118","","1787131000006118","hospital acquired pneumonia",1,0,"pneumonia",1
"195904005","301391014","H247100","301391014","pneumonia with coccidioidomycosis",1,0,"pneumonia",0
"616141000000106","885241000006112","H26..99","885241000006112","pneumonia nos",1,0,"pneumonia",0
"41381004","3166801000006115","","69026013","pneumonia due to pseudomonas",1,0,"pneumonia",0
"195888009","219931000006117","H22y100","301371019","pneumonia due to proteus",1,0,"pneumonia",0
"266350000","739941000006111","H21..00","396103010","pneumococcal lobar pneumonia",1,0,"pneumonia",0
"53084003","301810016","Hyu0900","88303013","[x]pneumonia due to other aerobic gram-negative bacteria",1,0,"pneumonia",0
"2523007","220201000006117","H24y400","5303018","pneumonia with salmonellosis",1,0,"pneumonia",0
"53084003","301368010","H22..00","88303013","other bacterial pneumonia",1,0,"pneumonia",0
"195900001","301386013","H240.99","301386013","measles pneumonia",1,0,"pneumonia",0
"195911009","4781311000006113","","301401017","varicella pneumonia",1,0,"pneumonia",0
"51530003","2671161016","H22y000","1230992012","escherichia coli pneumonia",1,0,"pneumonia",0
"278516003","301409015","H260.00","415454018","lobar pneumonia",1,0,"pneumonia",0
"7678002","2622071000006116","","13688018","cytomegaloviral pneumonia",1,0,"pneumonia",0
"195881003","301362011","H201.00","301362011","pneumonia due to respiratory syncytial virus",1,0,"pneumonia",0
"195911009","220251000006118","H24y700","301399011","chickenpox pneumonia",1,0,"pneumonia",0
"64917006","1232627018","H202.00","499984015","pneumonia due to parainfluenza virus",1,0,"pneumonia",0
"300999006","451130014","H261.00","442211014","basal pneumonia",1,0,"pneumonia",0
"406595002","399241000006111","AyuK900","2158243017","infection due to mycoplasma pneumoniae",1,0,"pneumonia",0
"195878008","301430012","H2y..00","301357010","other specified pneumonia or influenza",0,0,"unclear",0
"195878008","301431011","H2z..00","301357010","pneumonia or influenza nos",0,0,"unclear",0
"540151000000108","12721231000006111","","1204911000000119","pneumonia or influenza nos",0,0,"unclear",0
"540151000000108","885271000006116","H2z..99","885271000006116","pneumonia/influenza nos",0,0,"unclear",0
