"medcodeid","term","mrc_value","breathless","mrc","cleansedreadcode","snomedctconceptid","snomedctdescriptionid"
"498862013","dyspnoea on exertion",NA,"definite",NA,"173C.11","60845006","498862013"
"633381000006111","dyspnoea - symptom",NA,"definite",NA,"173..12","267036007","397886014"
"317395018","[d]dyspnoea",NA,"definite",NA,"R060A00","267036007","397886014"
"5497741000006119","breathless",NA,"definite",NA,"","267036007","397887017"
"253890017","o/e - orthopnoea",NA,"definite",NA,"2323.00","162891007","253890017"
"252412011","breathlessness nos",NA,"definite",NA,"173Z.00","267036007","397888010"
"2287071000000115","anxiety about breathlessness",NA,"definite",NA,"173f.00","702535006","3004280013"
"1780468018","borg breathlessness score: 1 very slight",NA,"definite",NA,"173P.00","401279002","1780468018"
"1485149018","mrc breathlessness scale: grade 4",4,"definite",1,"173K.00","391125004","1485149018"
"371012016","nocturnal dyspnoea",NA,"definite",NA,"173D.00","248548009","371012016"
"344917018","difficulty breathing",NA,"definite",NA,"1738.00","230145002","344917018"
"5258891000006111","short of breath at night",NA,"definite",NA,"","248548009","371011011"
"253896011","o/e - stertorous breathing",NA,"definite",NA,"2328.00","162896002","253896011"
"1861181000006114","breathlessness causing anxiety",NA,"definite",NA,"","1861181000006105","1861181000006114"
"1807841000006119","o/e - dyspnoea at rest",NA,"definite",NA,"","1807841000006103","1807841000006119"
"525741000006111","breathlessness symptom",NA,"definite",NA,"173..11","267036007","397886014"
"11905591000006110","orthopnea",NA,"possible",NA,"","62744007","104280017"
"1780480014","borg breathlessness score: 8 very severe (+)",NA,"definite",NA,"173X.00","401291006","1780480014"
"3488411000006118","soboe - shortness of breath on exertion",NA,"definite",NA,"","60845006","1232139013"
"1484904014","breathless - strenuous exertion",NA,"definite",NA,"173G.00","390871002","1484904014"
"1485150018","mrc breathlessness scale: grade 5",5,"definite",1,"173L.00","391126003","1485150018"
"1780471014","borg breathlessness score: 4 somewhat severe",NA,"definite",NA,"173S.00","401282007","1780471014"
"1485147016","mrc breathlessness scale: grade 2",2,"definite",1,"173I.00","391123006","1485147016"
"3488371000006119","dyspnoea on effort",NA,"definite",NA,"","60845006","101105015"
"451467013","[d]breathlessness",NA,"definite",NA,"R060D00","267036007","397888010"
"2005421000006119","oxygen administration by non rebreather mask",NA,"possible",NA,"","240051000000102","389821000000111"
"1780473012","borg breathlessness score: 5 severe",NA,"definite",NA,"173T.00","401284008","1780473012"
"1485144011","mrc breathlessness scale: grade 1",1,"definite",1,"173H.00","391120009","1485144011"
"1970561000006119","copd assessment test score - breathless walking up hill/stairs",NA,"definite",NA,"","1970561000006103","1970561000006119"
"1831781000006116","physiotherapy treatment modality: breathing exercises",NA,"possible",NA,"","1831781000006100","1831781000006116"
"1484903015","short of breath dressing/undressing",NA,"definite",NA,"173F.00","390870001","1484903015"
"1232138017","short of breath on exertion",NA,"definite",NA,"173C.00","60845006","1232138017"
"7563281000006118","difficulty eating due to breathlessness",NA,"definite",NA,"","702581006","3004427012"
"3488341000006110","exertional dyspnea",NA,"definite",NA,"","60845006","101102017"
"112574019","adult respiratory distress syndrome",NA,"possible",NA,"H585300","67782005","112574019"
"2159189012","unable to complete a sentence in one breath",NA,"definite",NA,"173b.00","407588003","2159189012"
"41791000006118","orthopnoea",NA,"definite",NA,"1735.11","62744007","104281018"
"911011000006110","borg breathlessness score: 9 very, very severe (almost maximal)",NA,"definite",NA,"173Y.00","401292004","1780481013"
