"prodcodeid","dmdid","bnfcode","termfromemis","dmdproductdescription","bnfname","productname","dmdlevel","vpid","atc","formulation","routeofadministration","drugsubstancename","substancestrength","category","term"
"10740141000033110","31063411000001101","0302000C0BQABBZ","fostair 200micrograms/dose / 6micrograms/dose inhaler (chiesi ltd)","fostair 200micrograms/dose / 6micrograms/dose inhaler (chiesi ltd)","fostair 200micrograms/dose / 6micrograms/dose inhaler","fostair 200micrograms/dose / 6micrograms/dose inhaler","AMP","31087411000001106","R03AK08","pressurised inhalation","inhalation","beclometasone dipropionate/ formoterol fumarate dihydrate","200.000microgram + 6.000microgram","laba-ics","Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd)"
"1114241000033116","325442004","0603020T0AAAFAF","prednisolone 2.5mg gastro-resistant tablets","prednisolone 2.5mg gastro-resistant tablets","prednisolone 2.5mg gastro-resistant tablets","prednisolone 2.5mg gastro-resistant tablets","VMP","325442004","H02AB06","gastro-resistant tablet","oral","prednisolone","2.500mg","ocs","Prednisolone 2.5mg gastro-resistant tablets"
"1114341000033114","325443009","0603020T0AAAGAG","prednisolone 5mg gastro-resistant tablets","prednisolone 5mg gastro-resistant tablets","prednisolone 5mg gastro-resistant tablets","prednisolone 5mg gastro-resistant tablets","VMP","325443009","H02AB06","gastro-resistant tablet","oral","prednisolone","5.000mg","ocs","Prednisolone 5mg gastro-resistant tablets"
"1127341000033111","39722711000001103","0603020T0AABHBH","prednisolone 5mg soluble tablets","prednisolone 5mg soluble tablets","prednisolone 5mg soluble tablets","prednisolone 5mg soluble tablets","VMP","39722711000001103","H02AB06","soluble tablet","oral","prednisolone sodium phosphate","5.000mg","ocs","Prednisolone 5mg soluble tablets"
"1130741000033110","325450008","0603020T0AAARAR","prednisolone 25mg tablets","prednisolone 25mg tablets","prednisolone 25mg tablets","prednisolone 25mg tablets","VMP","325450008","H02AB06","tablet","oral","prednisolone","25.000mg","ocs","Prednisolone 25mg tablets"
"1130841000033117","NA","NA","prednisolone steaglate tablets 6.65 mg","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ocs","Prednisolone Steaglate Tablets 6.65 mg"
"1131741000033117","325426006","0603020T0AAAAAA","prednisolone 1mg tablets","prednisolone 1mg tablets","prednisolone 1mg tablets","prednisolone 1mg tablets","VMP","325426006","H02AB06","tablet","oral","prednisolone","1.000mg","ocs","Prednisolone 1mg tablets"
"1131841000033110","28808611000001100","0603020T0AAABAB","prednisolone 2.5mg tablets","prednisolone 2.5mg tablets","prednisolone 2.5mg tablets","prednisolone 2.5mg tablets","VMP","28808611000001100","H02AB06","tablet","oral","prednisolone","2.500mg","ocs","Prednisolone 2.5mg tablets"
"1131941000033119","325427002","0603020T0AAACAC","prednisolone 5mg tablets","prednisolone 5mg tablets","prednisolone 5mg tablets","prednisolone 5mg tablets","VMP","325427002","H02AB06","tablet","oral","prednisolone","5.000mg","ocs","Prednisolone 5mg tablets"
"1132041000033113","NA","NA","prednisone tablets 1 mg","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ocs","Prednisone Tablets 1 mg"
"1132141000033112","NA","NA","prednisone tablets 5 mg","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ocs","Prednisone Tablets 5 mg"
"1143041000033117","2924111000001109","0302000K0BBADAD","pulmicort 200micrograms/dose inhaler (astrazeneca uk ltd)","pulmicort 200micrograms/dose inhaler (astrazeneca uk ltd)","pulmicort 200micrograms/dose inhaler","pulmicort 200micrograms/dose inhaler","AMP","35912511000001101","R03BA02","pressurised inhalation","inhalation","budesonide","200.000microgram/1.000dose","ics","Pulmicort 200micrograms/dose inhaler (AstraZeneca UK Ltd)"
"1143141000033118","3240911000001108","0302000K0BBAEAA","pulmicort ls 50micrograms/dose inhaler (astrazeneca uk ltd)","pulmicort ls 50micrograms/dose inhaler (astrazeneca uk ltd)","pulmicort ls 50micrograms/dose inhaler","pulmicort ls 50micrograms/dose inhaler","AMP","35912811000001103","R03BA02","pressurised inhalation","inhalation","budesonide","50.000microgram/1.000dose","ics","Pulmicort LS 50micrograms/dose inhaler (AstraZeneca UK Ltd)"
"1145141000033119","3112411000001105","0302000K0BBAHAG","pulmicort 200 turbohaler (astrazeneca uk ltd)","pulmicort 200 turbohaler (astrazeneca uk ltd)","pulmicort 200 turbohaler","pulmicort 200 turbohaler","AMP","35912411000001100","R03BA02","inhalation powder","inhalation","budesonide","200.000microgram/1.000dose","ics","Pulmicort 200 Turbohaler (AstraZeneca UK Ltd)"
"1145241000033114","3228711000001106","0302000K0BBAIAH","pulmicort 400 turbohaler (astrazeneca uk ltd)","pulmicort 400 turbohaler (astrazeneca uk ltd)","pulmicort 400 turbohaler","pulmicort 400 turbohaler","AMP","35912711000001106","R03BA02","inhalation powder","inhalation","budesonide","400.000microgram/1.000dose","ics","Pulmicort 400 Turbohaler (AstraZeneca UK Ltd)"
"1145341000033116","3113111000001106","0302000K0BBAKAK","pulmicort 100 turbohaler (astrazeneca uk ltd)","pulmicort 100 turbohaler (astrazeneca uk ltd)","pulmicort 100 turbohaler","pulmicort 100 turbohaler","AMP","35912111000001105","R03BA02","inhalation powder","inhalation","budesonide","100.000microgram/1.000dose","ics","Pulmicort 100 Turbohaler (AstraZeneca UK Ltd)"
"11507841000033115","32611811000001105","0603020T0AAATAT","prednisolone 1mg gastro-resistant tablets","prednisolone 1mg gastro-resistant tablets","prednisolone 1mg gastro-resistant tablets","prednisolone 1mg gastro-resistant tablets","VMP","32611811000001105","H02AB06","gastro-resistant tablet","oral","prednisolone","1.000mg","ocs","Prednisolone 1mg gastro-resistant tablets"
"11664841000033116","32781411000001102","0603020T0AABNBN","prednisolone 30mg tablets","prednisolone 30mg tablets","prednisolone 30mg tablets","prednisolone 30mg tablets","VMP","32781411000001102","H02AB06","tablet","oral","prednisolone","30.000mg","ocs","Prednisolone 30mg tablets"
"11707241000033115","32960711000001105","0302000K0AABBBB","budesonide 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free","budesonide 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free","budesonide 200microg / formoterol 6microg/dose inh cfc free","budesonide 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free","VMP","32960711000001105","R03AK07","pressurised inhalation","inhalation","budesonide/ formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","laba-ics","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free"
"11707341000033113","32926011000001100","0302000K0BDADBB","symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (astrazeneca uk ltd)","symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (astrazeneca uk ltd)","symbicort 200microg/dose / 6microg/dose pressurised inh","symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler","AMP","32960711000001105","R03AK07","pressurised inhalation","inhalation","budesonide/ formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","laba-ics","Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (AstraZeneca UK Ltd)"
"11782841000033117","33561211000001109","0301011U0BGAAAH","soltel 25micrograms/dose inhaler cfc free (cipla eu ltd)","soltel 25micrograms/dose inhaler cfc free (cipla eu ltd)","soltel 25micrograms/dose inhaler cfc free","soltel 25micrograms/dose inhaler cfc free","AMP","10075611000001101","R03AC12","pressurised inhalation","inhalation","salmeterol xinafoate","25.000microgram/1.000dose","laba","Soltel 25micrograms/dose inhaler CFC free (Cipla EU Ltd)"
"11788941000033110","33596311000001107","0301020Q0AAADAD","tiotropium bromide 10microgram inhalation powder capsules with device","tiotropium bromide 10microgram inhalation powder capsules with device","tiotropium bromide 10microgram inhalation pdr caps with dev","tiotropium bromide 10microgram inhalation powder capsules with device","VMP","33596311000001107","R03BB04","inhalation powder","inhalation","tiotropium bromide","10.000microgram","lama","Tiotropium bromide 10microgram inhalation powder capsules with device"
"11789041000033118","33594911000001100","0301020Q0BCAAAD","braltus 10microgram inhalation powder capsules with zonda inhaler (teva uk ltd)","braltus 10microgram inhalation powder capsules with zonda inhaler (teva uk ltd)","braltus 10microgram inhalation pdr caps with zonda inhaler","braltus 10microgram inhalation powder capsules with zonda inhaler","AMP","33596311000001107","R03BB04","inhalation powder","inhalation","tiotropium bromide","10.000microgram","lama","Braltus 10microgram inhalation powder capsules with Zonda inhaler (Teva UK Ltd)"
"12046641000033114","34023611000001101","0302000N0BIAABF","sereflo 25micrograms/dose / 125micrograms/dose inhaler (cipla eu ltd)","sereflo 25micrograms/dose / 125micrograms/dose inhaler (cipla eu ltd)","sereflo 25micrograms/dose / 125micrograms/dose inhaler","sereflo 25micrograms/dose / 125micrograms/dose inhaler","AMP","39111111000001109","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","Sereflo 25micrograms/dose / 125micrograms/dose inhaler (Cipla EU Ltd)"
"12046741000033117","34023811000001102","0302000N0BIABBG","sereflo 25micrograms/dose / 250micrograms/dose inhaler (cipla eu ltd)","sereflo 25micrograms/dose / 250micrograms/dose inhaler (cipla eu ltd)","sereflo 25micrograms/dose / 250micrograms/dose inhaler","sereflo 25micrograms/dose / 250micrograms/dose inhaler","AMP","39111311000001106","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","Sereflo 25micrograms/dose / 250micrograms/dose inhaler (Cipla EU Ltd)"
"1205941000033113","NA","NA","salmeterol xinafoate accuhaler 50 micrograms/dose","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","laba",NA
"1206041000033115","NA","NA","salbutamol accuhaler 200 micrograms/dose","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba","Salbutamol Accuhaler 200 micrograms/dose"
"1206241000033111","NA","NA","salbutamol aerosol inhalation 100 micrograms/metered inhalation","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba","Salbutamol Aerosol inhalation 100 micrograms/metered inhalation"
"1206341000033118","39110811000001105","0301011U0AAACAC","salmeterol 25micrograms/dose inhaler","salmeterol 25micrograms/dose inhaler","salmeterol 25micrograms/dose inhaler","salmeterol 25micrograms/dose inhaler","VMP","39110811000001105","R03AC12","pressurised inhalation","inhalation","salmeterol xinafoate","25.000microgram/1.000dose","laba","Salmeterol 25micrograms/dose inhaler"
"1207741000033115","NA","NA","salbutamol autohaler 100 micrograms/puff","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba","Salbutamol Autohaler 100 micrograms/puff"
"12197841000033113","34215311000001107","0302000N0BGABBF","airflusal 25micrograms/dose / 125micrograms/dose inhaler (sandoz ltd)","airflusal 25micrograms/dose / 125micrograms/dose inhaler (sandoz ltd)","airflusal 25micrograms/dose / 125micrograms/dose inhaler","airflusal 25micrograms/dose / 125micrograms/dose inhaler","AMP","39111111000001109","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","AirFluSal 25micrograms/dose / 125micrograms/dose inhaler (Sandoz Ltd)"
"12197941000033117","34215511000001101","0302000N0BGACBG","airflusal 25micrograms/dose / 250micrograms/dose inhaler (sandoz ltd)","airflusal 25micrograms/dose / 250micrograms/dose inhaler (sandoz ltd)","airflusal 25micrograms/dose / 250micrograms/dose inhaler","airflusal 25micrograms/dose / 250micrograms/dose inhaler","AMP","39111311000001106","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","AirFluSal 25micrograms/dose / 250micrograms/dose inhaler (Sandoz Ltd)"
"1221341000033118","NA","NA","salamol easi-breathe breath-actuated inhaler 100 micrograms/puff","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba","Salamol Easi-Breathe Breath-actuated inhaler 100 micrograms/puff"
"1221441000033112","35936411000001109","0301011R0AAADAD","salbutamol 100micrograms/dose breath actuated inhaler","salbutamol 100micrograms/dose breath actuated inhaler","salbutamol 100micrograms/dose breath actuated inhaler","salbutamol 100micrograms/dose breath actuated inhaler","VMP","35936411000001109","R03AC02","pressurised inhalation","inhalation","salbutamol sulfate","100.000microgram/1.000dose","saba","Salbutamol 100micrograms/dose breath actuated inhaler"
"1221541000033113","NA","NA","salbutamol breath-actuated inhaler 95 micrograms/dose","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba",NA
"1222341000033110","39113611000001102","0301011R0AAAPAP","salbutamol 100micrograms/dose inhaler cfc free","salbutamol 100micrograms/dose inhaler cfc free","salbutamol 100micrograms/dose inhaler cfc free","salbutamol 100micrograms/dose inhaler cfc free","VMP","39113611000001102","R03AC02","pressurised inhalation","inhalation","salbutamol sulfate","100.000microgram/1.000dose","saba","Salbutamol 100micrograms/dose inhaler CFC free"
"1228341000033112","NA","NA","salbutamol cyclocaps 200 micrograms","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba","Salbutamol Cyclocaps 200 micrograms"
"1228441000033118","NA","NA","salbutamol cyclocaps 400 micrograms","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba","Salbutamol Cyclocaps 400 micrograms"
"1228741000033113","NA","NA","salmeterol xinafoate disks with diskhaler 50 micrograms/blister","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","laba","Salmeterol Xinafoate Disks with diskhaler 50 micrograms/blister"
"1228841000033115","35936711000001103","0301011R0AAAIAI","salbutamol 200microgram inhalation powder blisters with device","salbutamol 200microgram inhalation powder blisters with device","salbutamol 200microgram inhalation pdr blist with device","salbutamol 200microgram inhalation powder blisters with device","VMP","35936711000001103","R03AC02","inhalation powder","inhalation","salbutamol sulfate","200.000microgram","saba","Salbutamol 200microgram inhalation powder blisters with device"
"1228941000033111","35936911000001101","0301011R0AAAJAJ","salbutamol 400microgram inhalation powder blisters with device","salbutamol 400microgram inhalation powder blisters with device","salbutamol 400microgram inhalation pdr blist with device","salbutamol 400microgram inhalation powder blisters with device","VMP","35936911000001101","R03AC02","inhalation powder","inhalation","salbutamol sulfate","400.000microgram","saba","Salbutamol 400microgram inhalation powder blisters with device"
"12364641000033110","34681611000001100","0301011ABBBAAA0","trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (chiesi ltd)","trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (chiesi ltd)","trimbow 87microg/dose / 5microg/dose / 9microg/dose inh","trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler","AMP","34683311000001106","R03AL09","pressurised inhalation","inhalation","beclometasone dipropionate/ formoterol fumarate dihydrate/ glycopyrronium bromide","87.000microgram/1.000dose + 5.000microgram/1.000dose + 9.000microgram/1.000dose","triple","Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (Chiesi Ltd)"
"12370841000033110","34677011000001107","0302000N0BJAABF","aloflute 25micrograms/dose / 125micrograms/dose inhaler (mylan)","aloflute 25micrograms/dose / 125micrograms/dose inhaler (viatris uk healthcare ltd)","aloflute 25micrograms/dose / 125micrograms/dose inhaler","aloflute 25micrograms/dose / 125micrograms/dose inhaler","AMP","39111111000001109","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","Aloflute 25micrograms/dose / 125micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"12370941000033119","34675711000001103","0302000N0BJABBG","aloflute 25micrograms/dose / 250micrograms/dose inhaler (mylan)","aloflute 25micrograms/dose / 250micrograms/dose inhaler (viatris uk healthcare ltd)","aloflute 25micrograms/dose / 250micrograms/dose inhaler","aloflute 25micrograms/dose / 250micrograms/dose inhaler","AMP","39111311000001106","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","Aloflute 25micrograms/dose / 250micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"12395841000033112","370375008","0501021C0AAACAC","cefixime 400mg tablets","cefixime 400mg tablets","cefixime 400mg tablets","cefixime 400mg tablets","VMP","370375008","J01DD08","tablet","oral","cefixime","400.000mg","abx","Cefixime 400mg tablets"
"12403741000033110","34812111000001106","0302000K0BIAAAU","fobumix easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (orion pharma (uk) ltd)","fobumix easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (orion pharma (uk) ltd)","fobumix easyhaler 320microg/dose / 9microg/dose dry pdr inh","fobumix easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler","AMP","4378111000001103","R03AK07","inhalation powder","inhalation","budesonide/ formoterol fumarate dihydrate","400.000microgram/1.000dose + 12.000microgram/1.000dose","laba-ics","Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"1241241000033114","NA","NA","salamol inhaler 100 micrograms/puff","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba","Salamol Inhaler 100 micrograms/puff"
"1241341000033116","840111000001107","0301011R0BDAEAP","salbulin 100micrograms/dose inhaler (3m health care ltd)","salbulin 100micrograms/dose inhaler (3m health care ltd)","salbulin 100micrograms/dose inhaler","salbulin 100micrograms/dose inhaler","AMP","39113611000001102","R03AC02","pressurised inhalation","inhalation","salbutamol sulfate","100.000microgram/1.000dose","saba","Salbulin 100micrograms/dose inhaler (3M Health Care Ltd)"
"1241441000033110","35936511000001108","0301011R0AAAAAA","salbutamol 100micrograms/dose inhaler","salbutamol 100micrograms/dose inhaler","salbutamol 100micrograms/dose inhaler","salbutamol 100micrograms/dose inhaler","VMP","35936511000001108","R03AC02","pressurised inhalation","inhalation","salbutamol","100.000microgram/1.000dose","saba","Salbutamol 100micrograms/dose inhaler"
"1241941000033117","NA","NA","salbutamol inhaler with vortex generating actuator 100 micrograms/dose","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba","Salbutamol Inhaler with vortex generating actuator 100 micrograms/dose"
