"prodcodeid","termfromemis","groups","term"
"2174141000033117","salbutamol 95micrograms/dose dry powder inhaler",2,"Salbutamol 95micrograms/dose dry powder inhaler"
"1206041000033115","salbutamol accuhaler 200 micrograms/dose",2,"Salbutamol Accuhaler 200 micrograms/dose"
"1206241000033111","salbutamol aerosol inhalation 100 micrograms/metered inhalation",2,"Salbutamol Aerosol inhalation 100 micrograms/metered inhalation"
"1207741000033115","salbutamol autohaler 100 micrograms/puff",2,"Salbutamol Autohaler 100 micrograms/puff"
"2864041000033119","salbutamol breath actuated pressurised inhalation 100 micrograms/actuation",2,"Salbutamol Breath Actuated Pressurised Inhalation 100 micrograms/actuation"
"2952141000033110","salbutamol breath actuated pressurised inhalation, cfc-free 100 micrograms/actuation",2,"Salbutamol Breath Actuated Pressurised Inhalation, Cfc-free 100 micrograms/actuation"
"1221541000033113","salbutamol breath-actuated inhaler 95 micrograms/dose",2,NA
"1228341000033112","salbutamol cyclocaps 200 micrograms",2,"Salbutamol Cyclocaps 200 micrograms"
"1228441000033118","salbutamol cyclocaps 400 micrograms",2,"Salbutamol Cyclocaps 400 micrograms"
"1913441000033115","salbutamol dry powder breath-actuated inhaler 200 micrograms",2,NA
"1903141000033113","salbutamol dry powder breath-actuated inhaler 95 micrograms/dose",2,NA
"1907341000033117","salbutamol dry powder disks + disk inhaler 200 micrograms",2,"Salbutamol Dry powder disks + disk inhaler 200 micrograms"
"1907441000033111","salbutamol dry powder disks + disk inhaler 400 micrograms",2,"Salbutamol Dry powder disks + disk inhaler 400 micrograms"
"1907641000033113","salbutamol dry powder for inhalation 400 micrograms/dose",2,"Salbutamol Dry powder for inhalation 400 micrograms/dose"
"3344041000033116","salbutamol dry powder inhaler 200 micrograms/actuation, 200 dose",2,"Salbutamol Dry Powder Inhaler 200 micrograms/actuation, 200 dose"
"1241941000033117","salbutamol inhaler with vortex generating actuator 100 micrograms/dose",2,"Salbutamol Inhaler with vortex generating actuator 100 micrograms/dose"
"1905441000033116","salbutamol insufflator type 4",2,"Salbutamol Insufflator type 4"
"1252241000033118","salbutamol rotacaps 200 micrograms",2,"Salbutamol Rotacaps 200 micrograms"
"1252341000033111","salbutamol rotacaps 400 micrograms",2,"Salbutamol Rotacaps 400 micrograms"
"1252441000033117","salbutamol rotahaler 1",2,"Salbutamol Rotahaler 1"
"1255041000033118","salbutamol spacehaler 100 micrograms/puff",2,"Salbutamol Spacehaler 100 micrograms/puff"
"1419341000033114","terbutaline 250micrograms/dose inhaler",2,"Terbutaline 250micrograms/dose inhaler"
"1423441000033112","terbutaline 250micrograms/dose inhaler with spacer",2,"Terbutaline 250micrograms/dose inhaler with spacer"
"1699041000033114","terbutaline 500micrograms/dose dry powder inhaler",2,"Terbutaline 500micrograms/dose dry powder inhaler"
"1422541000033119","terbutaline sulfate refill canister 250 micrograms/puff",2,"Terbutaline Sulfate Refill canister 250 micrograms/puff"
"1429441000033110","terbutaline sulfate turbohaler 500 micrograms/dose",2,NA
"1705441000033110","ventolin 100micrograms/dose evohaler (glaxosmithkline uk ltd)",2,"Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"1510541000033116","ventolin 200microgram rotacaps (glaxosmithkline uk ltd)",2,"Ventolin 200microgram Rotacaps (GlaxoSmithKline UK Ltd)"
"1505741000033119","ventolin 200micrograms/dose accuhaler (glaxosmithkline uk ltd)",2,"Ventolin 200micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)"
"1510641000033115","ventolin 400microgram rotacaps (glaxosmithkline uk ltd)",2,"Ventolin 400microgram Rotacaps (GlaxoSmithKline UK Ltd)"
"1505941000033116","ventolin easi-breathe breath-actuated inhaler 100 micrograms/puff",2,"Ventolin Easi-Breathe Breath-actuated inhaler 100 micrograms/puff"
"1508041000033110","ventolin inhaler 100 micrograms/puff",2,"Ventolin Inhaler 100 micrograms/puff"
"1510741000033112","ventolin rotahaler (glaxosmithkline uk ltd)",2,"Ventolin Rotahaler (GlaxoSmithKline UK Ltd)"
"8056941000033114","aclidinium bromide 375micrograms/dose dry powder inhaler",3,"Aclidinium bromide 375micrograms/dose dry powder inhaler"
"9995641000033112","aclidinium bromide 396micrograms/dose / formoterol 11.8micrograms/dose dry powder inhaler",5,"Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler"
"11789041000033118","braltus 10microgram inhalation powder capsules with zonda inhaler (teva uk ltd)",3,"Braltus 10microgram inhalation powder capsules with Zonda inhaler (Teva UK Ltd)"
"8057341000033112","eklira 322micrograms/dose genuair (astrazeneca uk ltd)",3,"Eklira 322micrograms/dose Genuair (AstraZeneca UK Ltd)"
"8141741000033112","glycopyrronium bromide 55microgram inhalation powder capsules with device",3,"Glycopyrronium bromide 55microgram inhalation powder capsules with device"
"9703641000033117","incruse ellipta 55micrograms/dose dry powder inhaler (glaxosmithkline uk ltd)",3,"Incruse Ellipta 55micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd)"
"9851941000033115","indacaterol 85micrograms/dose / glycopyrronium bromide 54micrograms/dose inhalation powder capsules with device",5,"Indacaterol 85micrograms/dose / Glycopyrronium bromide 54micrograms/dose inhalation powder capsules with device"
"8141841000033119","seebri breezhaler 44microgram inhalation powder capsules with device (novartis pharmaceuticals uk ltd)",3,"Seebri Breezhaler 44microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"2793841000033111","spiriva 18microgram inhalation powder capsules (boehringer ingelheim ltd)",3,"Spiriva 18microgram inhalation powder capsules (Boehringer Ingelheim Ltd)"
"2793741000033118","spiriva 18microgram inhalation powder capsules with handihaler (boehringer ingelheim ltd)",3,"Spiriva 18microgram inhalation powder capsules with HandiHaler (Boehringer Ingelheim Ltd)"
"4270741000033115","spiriva respimat 2.5micrograms/dose inhalation solution cartridge with device (boehringer ingelheim ltd)",3,"Spiriva Respimat 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"13178841000033113","spiriva respimat 2.5micrograms/dose inhalation solution refill cartridge (boehringer ingelheim ltd)",3,"Spiriva Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)"
"11788941000033110","tiotropium bromide 10microgram inhalation powder capsules with device",3,"Tiotropium bromide 10microgram inhalation powder capsules with device"
"2793641000033110","tiotropium bromide 18microgram inhalation powder capsules",3,"Tiotropium bromide 18microgram inhalation powder capsules"
"2793541000033114","tiotropium bromide 18microgram inhalation powder capsules with device",3,"Tiotropium bromide 18microgram inhalation powder capsules with device"
"13178541000033111","tiotropium bromide 2.5micrograms/dose / olodaterol 2.5micrograms/dose inhalation solution cartridge cfc free",5,"Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free"
"10589141000033112","tiotropium bromide 2.5micrograms/dose / olodaterol 2.5micrograms/dose solution for inhalation cartridge with device cfc free",5,"Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free"
"13178741000033115","tiotropium bromide 2.5micrograms/dose inhalation solution cartridge cfc free",3,"Tiotropium bromide 2.5micrograms/dose inhalation solution cartridge CFC free"
"4270641000033112","tiotropium bromide 2.5micrograms/dose solution for inhalation cartridge with device cfc free",3,"Tiotropium bromide 2.5micrograms/dose solution for inhalation cartridge with device CFC free"
"9293341000033116","anoro ellipta 55micrograms/dose / 22micrograms/dose dry powder inhaler (glaxosmithkline uk ltd)",5,"Anoro Ellipta 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd)"
"3347141000033113","atimos modulite 12micrograms/dose inhaler (chiesi ltd)",4,"Atimos Modulite 12micrograms/dose inhaler (Chiesi Ltd)"
"9995741000033115","duaklir 340micrograms/dose / 12micrograms/dose genuair (astrazeneca uk ltd)",5,"Duaklir 340micrograms/dose / 12micrograms/dose Genuair (AstraZeneca UK Ltd)"
"3163841000033111","fluticasone 125micrograms/dose / salmeterol 25micrograms/dose inhaler cfc free",7,"Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free"
"3163941000033115","fluticasone 250micrograms/dose / salmeterol 25micrograms/dose inhaler cfc free",7,"Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free"
"3163741000033118","fluticasone 50micrograms/dose / salmeterol 25micrograms/dose inhaler cfc free",7,"Fluticasone 50micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free"
"8946841000033112","fluticasone furoate 184micrograms/dose / vilanterol 22micrograms/dose dry powder inhaler",7,"Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler"
"8946941000033116","fluticasone furoate 92micrograms/dose / vilanterol 22micrograms/dose dry powder inhaler",7,"Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler"
"3164041000033118","fluticasone propionate 100micrograms/dose / salmeterol 50micrograms/dose dry powder inhaler",7,"Fluticasone propionate 100micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler"
"3164141000033119","fluticasone propionate 250micrograms/dose / salmeterol 50micrograms/dose dry powder inhaler",7,"Fluticasone propionate 250micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler"
"3164241000033114","fluticasone propionate 500micrograms/dose / salmeterol 50micrograms/dose dry powder inhaler",7,"Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler"
"599641000033111","foradil 12microgram inhalation powder capsules with device (novartis pharmaceuticals uk ltd)",4,"Foradil 12microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"3089841000033115","formoterol 12microgram inhalation powder capsules with device",4,"Formoterol 12microgram inhalation powder capsules with device"
"3089741000033113","formoterol 12micrograms/dose dry powder inhaler",4,"Formoterol 12micrograms/dose dry powder inhaler"
"3347041000033114","formoterol 12micrograms/dose inhaler cfc free",4,"Formoterol 12micrograms/dose inhaler CFC free"
"3089641000033116","formoterol 6micrograms/dose dry powder inhaler",4,"Formoterol 6micrograms/dose dry powder inhaler"
"4063341000033111","formoterol dry powder inhaler 12 micrograms/actuation, 120 dose",4,"Formoterol Dry Powder Inhaler 12 micrograms/actuation, 120 dose"
"4063241000033118","formoterol dry powder inhaler 12 micrograms/actuation, 60 dose",4,"Formoterol Dry Powder Inhaler 12 micrograms/actuation, 60 dose"
"4063541000033116","formoterol easyhaler 12micrograms/dose dry powder inhaler (orion pharma (uk) ltd)",4,"Formoterol Easyhaler 12micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"5707041000033111","indacaterol 150microgram inhalation powder capsules with device",4,"Indacaterol 150microgram inhalation powder capsules with device"
"5707141000033110","indacaterol 300microgram inhalation powder capsules with device",4,"Indacaterol 300microgram inhalation powder capsules with device"
"6456541000033118","neovent 25micrograms/dose inhaler cfc free (kent pharmaceuticals ltd)",4,"Neovent 25micrograms/dose inhaler CFC free (Kent Pharma (UK) Ltd)"
"13178941000033117","olodaterol 2.5micrograms/dose inhalation solution cartridge cfc free",4,"Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free"
"9299341000033119","olodaterol 2.5micrograms/dose solution for inhalation cartridge with device cfc free",4,"Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free"
"5707241000033115","onbrez breezhaler 150microgram inhalation powder capsules with device (novartis pharmaceuticals uk ltd)",4,"Onbrez Breezhaler 150microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"5707341000033113","onbrez breezhaler 300microgram inhalation powder capsules with device (novartis pharmaceuticals uk ltd)",4,"Onbrez Breezhaler 300microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"1022341000033117","oxis 12 turbohaler (astrazeneca uk ltd)",4,"Oxis 12 Turbohaler (AstraZeneca UK Ltd)"
"1022441000033111","oxis 6 turbohaler (astrazeneca uk ltd)",4,"Oxis 6 Turbohaler (AstraZeneca UK Ltd)"
"5140041000033112","oxis turbuhaler 4.5 micrograms/dose",4,NA
"5140141000033111","oxis turbuhaler 9 micrograms/dose",4,NA
"1206341000033118","salmeterol 25micrograms/dose inhaler",4,"Salmeterol 25micrograms/dose inhaler"
"3855941000033115","salmeterol 25micrograms/dose inhaler cfc free",4,"Salmeterol 25micrograms/dose inhaler CFC free"
"1252041000033114","salmeterol 50microgram inhalation powder blisters",4,"Salmeterol 50microgram inhalation powder blisters"
"1914241000033119","salmeterol 50microgram inhalation powder blisters with device",4,"Salmeterol 50microgram inhalation powder blisters with device"
"1914141000033114","salmeterol 50micrograms/dose dry powder inhaler",4,"Salmeterol 50micrograms/dose dry powder inhaler"
"1205941000033113","salmeterol xinafoate accuhaler 50 micrograms/dose",4,NA
"1228741000033113","salmeterol xinafoate disks with diskhaler 50 micrograms/blister",4,"Salmeterol Xinafoate Disks with diskhaler 50 micrograms/blister"
"3856041000033113","serevent 25micrograms/dose evohaler (glaxosmithkline uk ltd)",4,"Serevent 25micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"1267641000033111","serevent 25micrograms/dose inhaler (glaxosmithkline uk ltd)",4,"Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)"
"1272941000033113","serevent 50microgram disks (glaxosmithkline uk ltd)",4,"Serevent 50microgram disks (GlaxoSmithKline UK Ltd)"
"1268941000033117","serevent 50microgram disks with diskhaler (glaxosmithkline uk ltd)",4,"Serevent 50microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)"
"1267441000033114","serevent 50micrograms/dose accuhaler (glaxosmithkline uk ltd)",4,"Serevent 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)"
"11782841000033117","soltel 25micrograms/dose inhaler cfc free (cipla eu ltd)",4,"Soltel 25micrograms/dose inhaler CFC free (Cipla EU Ltd)"
"10589241000033117","spiolto respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (boehringer ingelheim ltd)",5,"Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"13178641000033112","spiolto respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution refill cartridge (boehringer ingelheim ltd)",5,"Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)"
"9299441000033113","striverdi respimat 2.5micrograms/dose inhalation solution cartridge with device (boehringer ingelheim ltd)",4,"Striverdi Respimat 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"13179041000033114","striverdi respimat 2.5micrograms/dose inhalation solution refill cartridge (boehringer ingelheim ltd)",4,"Striverdi Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)"
"9852041000033114","ultibro breezhaler 85microgram/43microgram inhalation powder capsules with device (novartis pharmaceuticals uk ltd)",5,"Ultibro Breezhaler 85microgram/43microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"9293241000033114","umeclidinium bromide 65micrograms/dose / vilanterol 22micrograms/dose dry powder inhaler",5,"Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler"
"8536141000033111","vertine 25micrograms/dose inhaler cfc free (teva uk ltd)",4,"Vertine 25micrograms/dose inhaler CFC free (Teva UK Ltd)"
"12197841000033113","airflusal 25micrograms/dose / 125micrograms/dose inhaler (sandoz ltd)",7,"AirFluSal 25micrograms/dose / 125micrograms/dose inhaler (Sandoz Ltd)"
"12197941000033117","airflusal 25micrograms/dose / 250micrograms/dose inhaler (sandoz ltd)",7,"AirFluSal 25micrograms/dose / 250micrograms/dose inhaler (Sandoz Ltd)"
"10715041000033111","airflusal forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (sandoz ltd)",7,"AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (Sandoz Ltd)"
"12370841000033110","aloflute 25micrograms/dose / 125micrograms/dose inhaler (mylan)",7,"Aloflute 25micrograms/dose / 125micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"12370941000033119","aloflute 25micrograms/dose / 250micrograms/dose inhaler (mylan)",7,"Aloflute 25micrograms/dose / 250micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"4823341000033115","alvesco 160 inhaler (astrazeneca uk ltd)",6,"Alvesco 160 inhaler (AstraZeneca UK Ltd)"
"3227641000033114","alvesco 80 inhaler (astrazeneca uk ltd)",6,"Alvesco 80 inhaler (AstraZeneca UK Ltd)"
"3227741000033117","alvesco cfc-free inhaler 160 micrograms/actuation, 120 doses",6,"Alvesco Cfc-free inhaler 160 micrograms/actuation, 120 doses"
"3267741000033112","alvesco cfc-free inhaler 160 micrograms/actuation, 60 doses",6,"Alvesco Cfc-free inhaler 160 micrograms/actuation, 60 doses"
"5811441000033112","asmanex 200micrograms/dose twisthaler (merck sharp & dohme ltd)",6,"Asmanex 200micrograms/dose Twisthaler (Organon Pharma (UK) Ltd)"
"5811541000033113","asmanex 400micrograms/dose twisthaler (merck sharp & dohme ltd)",6,"Asmanex 400micrograms/dose Twisthaler (Organon Pharma (UK) Ltd)"
"2873041000033114","asmanex twisthaler dry powder inhaler 200 micrograms/dose, 30 doses",6,"Asmanex Twisthaler Dry Powder Inhaler 200 micrograms/dose, 30 doses"
"2873141000033113","asmanex twisthaler dry powder inhaler 200 micrograms/dose, 60 doses",6,"Asmanex Twisthaler Dry Powder Inhaler 200 micrograms/dose, 60 doses"
"2873241000033118","asmanex twisthaler dry powder inhaler 400 micrograms/dose, 30 doses",6,"Asmanex Twisthaler Dry Powder Inhaler 400 micrograms/dose, 30 doses"
"2873341000033111","asmanex twisthaler dry powder inhaler 400 micrograms/dose, 60 doses",6,"Asmanex Twisthaler Dry Powder Inhaler 400 micrograms/dose, 60 doses"
"2725541000033116","beclometasone 100 cyclocaps (teva uk ltd)",6,"Beclometasone 100 Cyclocaps (Teva UK Ltd)"
"3081341000033111","beclometasone 100microgram inhalation powder blisters",6,"Beclometasone 100microgram inhalation powder blisters"
"3081041000033114","beclometasone 100microgram inhalation powder blisters with device",6,"Beclometasone 100microgram inhalation powder blisters with device"
"3082041000033116","beclometasone 100microgram inhalation powder capsules",6,"Beclometasone 100microgram inhalation powder capsules"
"9531441000033113","beclometasone 100micrograms/dose / formoterol 6micrograms/dose dry powder inhaler",7,"Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler"
"4418141000033112","beclometasone 100micrograms/dose / formoterol 6micrograms/dose inhaler cfc free",7,"Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free"
"3080741000033119","beclometasone 100micrograms/dose breath actuated inhaler",6,"Beclometasone 100micrograms/dose breath actuated inhaler"
"3083041000033113","beclometasone 100micrograms/dose breath actuated inhaler cfc free",6,"Beclometasone 100micrograms/dose breath actuated inhaler CFC free"
"3082341000033119","beclometasone 100micrograms/dose dry powder inhaler",6,"Beclometasone 100micrograms/dose dry powder inhaler"
"3081741000033112","beclometasone 100micrograms/dose inhaler",6,"Beclometasone 100micrograms/dose inhaler"
"3082841000033111","beclometasone 100micrograms/dose inhaler cfc free",6,"Beclometasone 100micrograms/dose inhaler CFC free"
"2725641000033115","beclometasone 200 cyclocaps (teva uk ltd)",6,"Beclometasone 200 Cyclocaps (Teva UK Ltd)"
"3081441000033117","beclometasone 200microgram inhalation powder blisters",6,"Beclometasone 200microgram inhalation powder blisters"
"3081141000033113","beclometasone 200microgram inhalation powder blisters with device",6,"Beclometasone 200microgram inhalation powder blisters with device"
"3082141000033117","beclometasone 200microgram inhalation powder capsules",6,"Beclometasone 200microgram inhalation powder capsules"
"10735041000033115","beclometasone 200micrograms/dose / formoterol 6micrograms/dose dry powder inhaler",7,"Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler"
"10740041000033111","beclometasone 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free",7,"Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free"
"3082641000033110","beclometasone 200micrograms/dose dry powder inhaler",6,"Beclometasone 200micrograms/dose dry powder inhaler"
"3081641000033115","beclometasone 200micrograms/dose inhaler",6,"Beclometasone 200micrograms/dose inhaler"
"3942841000033114","beclometasone 200micrograms/dose inhaler cfc free",6,"Beclometasone 200micrograms/dose inhaler CFC free"
