"medcodeid","originalreadcode","cleansedreadcode","snomedctconceptid","snomedctdescriptionid","term","JKQ","code_decision"
"12451841000006111","^ESCT1245184","","171431004","265639016","reviewed at hospital",0,""
"1744481000006110","EMISNQDI47","","1744481000006106","1744481000006110","discharged from community hospital",0,""
"1756931000006111","EMISNQUR9","","1756931000006107","1756931000006111","urgent request to pct for previous gp notes",0,""
"1757241000006110","EMISNQWA8","","1757241000006106","1757241000006110","walk in centre attended as gp surgery closed",0,""
"1757251000006112","EMISNQWA9","","1757251000006108","1757251000006112","walk in centre attended without contacting registered gp first",0,""
"1764421000006118","EMISNQAD39","","1764421000006102","1764421000006118","admission avoidance hospital at home started",0,""
"1764431000006115","EMISNQAD40","","1764431000006104","1764431000006115","admission avoidance hospital at home ended",0,""
"1771471000006114","EMISNQHI19","","1771471000006105","1771471000006114","high risk of emergency hospital admission",0,""
"1771481000006112","EMISNQMO40","","1771481000006108","1771481000006112","moderate risk of emergency hospital admission",0,""
"1775681000006113","EMISNQSO20","","1775681000006109","1775681000006113","source of community referral: hospital inpatient/outpatient",0,""
"1777121000006110","EMISNQRE270","","1777121000006106","1777121000006110","referral closure: discharged - admitted elsewhere",0,""
"1777411000006114","EMISNQRT28","","1777411000006105","1777411000006114","rttp status:not yet refer.for treatmt, undergo.diagc tests by gp",0,""
"1788281000006112","JHCCO009","","1788281000006108","1788281000006112","1 gl gp",0,""
"1788721000006119","JHCCO053","","1788721000006103","1788721000006119","1jmovgp",0,""
"1788871000006110","JHCCO067","","1788871000006106","1788871000006110","2/30 trggp",0,""
"1796851000006115","JHCCO853","","1796851000006104","1796851000006115","rmc gp",0,""
"1803531000006116","EMISNQLE9","","1803531000006100","1803531000006116","letter sent to patient about missed gp appointment",0,""
"1728541000006114","EMISNQHO22","","18083007","30547015","hospital admission, emergency, indirect",0,""
"2527451000006114","^ESCTHO252745","","1814000","4135017","hospital-based outpatient gerontology clinic",0,""
"1693211000006119","992Z-z245","","18171000000107","1693211000006119","gp/ps4 - admin. nos",0,""
"1821371000006115","JHCPA13","","1821371000006104","1821371000006115","patient unhappy with hospitalisation",0,""
"1823531000006111","EMISNQHO53","","1823531000006107","1823531000006111","hospital admission, emergency, from walk-in centre",0,""
"283515011","8H12","8H12.00","183447000","2902327017","admission to respiratory intensive care unit",0,""
"283520011","8H2","8H2..00","183452005","283520011","emergency hospital admission",0,""
"283550015","8H2P","8H2P.00","183478001","3082895019","emergency hospital admission for asthma",2,"maybe - project-specific"
"587011000006112","8H31","8H31.00","183481006","283553018","non-urgent hosp.admission unsp",0,""
"283555013","8H32","8H32.00","183483009","283555013","night hospital care",0,""
"283556014","8H33","8H33.00","183484003","283556014","day hospital care",0,""
"13789731000006117","^ESCT1378973","","183561008","3767818011","referral to gp (general practitioner)",0,""
"283680015","8H65","8H65.00","183564000","283680015","refer to hospital registrar",0,""
"283801016","8HCZ","8HCZ.00","183659006","283795013","refer to hospital casualty nos",0,""
"184791000006117","8HC3","8HC3.00","183662009","283800015","refer to hospital paediatrics casualty",0,""
"283802011","8HD","8HD..00","183664005","283802011","refer to hospital opd",0,""
"622851000006117","8HEZ","8HEZ.00","183665006","283803018","discharged from hosp. care nos",0,""
"283811011","8HE4","8HE4.00","183670004","3029377018","discharged from private hospital",0,""
"283820019","8HG","8HG..00","183676005","283820019","died in hospital",0,""
"283832015","8HJ","8HJ..00","183687002","283832015","self-referral to hospital",0,""
"283991013","8HMZ","8HMZ.00","183767005","283959012","listed for hosp admission nos",0,""
"284181011","8I51","8I51.00","183957006","284181011","patient refuses day hospital",0,""
"1126801000000113","8IAQ","8IAQ.00","183960004","1177121000000113","hospital admission declined",0,""
"1839631000006110","EMISNQKE14","","1839631000006106","1839631000006110","keele golf study - patient excluded by gp screening",0,""
"284397011","9144","9144.00","184091000","284397011","patient in hospital",0,""
"241601000006111","915D","915D.00","184107009","284414019","patient hospital number",0,""
"239851000006114","916D","916D.00","184122004","284427015","pat. hosp. no. unknown",0,""
"241591000006115","917D","917D.00","184137000","2791066016","questionable if patient hospital number correct",0,""
"239801000006110","921Z","921Z.00","184172002","284474012","pat. de-registered by gp nos",0,""
"239971000006110","9211","9211.00","184173007","284475013","patient told by gp deregistered",0,""
"806131000006115","9214","9214.00","184176004","284484013","gp responsibility to patient stopped",0,""
"828231000006117","945","945..00","184274007","284623011","hospital death discharge notification",0,""
"608291000006116","9451","9451.00","184275008","284624017","death notification from hospital",0,""
"500831000006114","9452","9452.00","184276009","284625016","awaiting hospital death discharge letter",0,""
"193281000006110","9453","9453.00","184277000","284626015","received hospital death discharge letter",0,""
"494561000006119","9454","9454.00","184278005","284627012","ask for hosp death disch lett.",0,""
"608301000006115","946","946..00","184280004","284629010","death notification - non-hospital source",0,""
"284637019","9495","9495.00","184297005","284637019","patient died in hospital",0,""
"285030012","9EV2","9EV2.00","185006007","285030012","medical report received from hospital",0,""
"4733381000006113","^ESCTSE473338","","185202000","2913316018","seen in general practitioner surgery",0,""
"285194015","9N19","9N19.00","185210004","285194015","seen in hospital casualty",0,""
"285195019","9N1A","9N1A.00","185211000","285195019","seen in hospital out-pat.",0,""
"285196018","9N1B","9N1B.00","185212007","285196018","seen in hospital ward",0,""
"285279011","9N21","9N21.00","185278000","285279011","seen by general practitioner",0,""
"285301012","9N2J","9N2J.00","185296009","285301012","seen by hospital nurse",0,""
"4734371000006112","^ESCTSE473437","","185297000","285302017","seen by hospital midwife",0,""
"285307011","9N2O","9N2O.00","185301009","285307011","seen by gp registrar",0,""
"4734471000006116","^ESCTSE473447","","185304001","285311017","seen by co-op gp",0,""
"4734771000006111","^ESCTAP473477","","185335007","2872618015","appointment cancelled by hospital",0,""
"4734951000006115","^ESCTRE473495","","185359002","2972209014","referred by another general practitioner",0,""
"285375019","9N62","9N62.00","185360007","285375019","referred by hospital dr.",0,""
"1854741000006113","EMISNQSH36","","1854741000006109","1854741000006113","shared care - secondary care/tertiary referral hospital",0,""
"1855281000006112","EMISNQQA2","","1855281000006108","1855281000006112","qadmissions risk of emergency hospital admission next 12 months",0,""
"8052941000006114","^ESCTLE805294","","185561000000109","1678781000000111","letter actioned by gp (general practitioner)",0,""
"1859251000006119","EMISNQGP44","","1859251000006103","1859251000006119","gp to follow up",0,""
"1859711000006113","EMISNQLI38","","1859711000006109","1859711000006113","lives in independent hospital/clinic",0,""
"1860181000006118","EMISNQDA37","","1860181000006102","1860181000006118","date of last hospital admission",0,""
"1860191000006115","EMISNQRE365","","1860191000006104","1860191000006115","reason for last hospital admission",0,""
"1860201000006117","EMISNQNU20","","1860201000006101","1860201000006117","number of hospital admissions in last 12 months",0,""
"1860771000006115","EMISNQDI121","","1860771000006104","1860771000006115","discharge by respiratory nurse specialist",0,""
"1863471000006118","EMISNQRE389","","1863471000006102","1863471000006118","referral to gp with special interest",0,""
"1863611000006112","EMISNQRE403","","1863611000006108","1863611000006112","referral to hospital social services team",0,""
"1872371000006114","EMISNQAC802","","1872371000006105","1872371000006114","accom status - acute/long stay residential facility/hospital",0,""
"1872391000006110","EMISNQAC804","","1872391000006106","1872391000006110","accom status - independent hospital/clinic",0,""
"1872421000006119","EMISNQAC807","","1872421000006103","1872421000006119","accom status - other nhs facilities/hospital",0,""
"1872431000006116","EMISNQAC808","","1872431000006100","1872431000006116","accom status - other acute/long stay resident. facility/hospital",0,""
"1878371000006112","EMISNQFA48","","1878371000006108","1878371000006112","failed encounter - hospital appointment",0,""
"1880031000006118","EMISNQAW2","","1880031000006102","1880031000006118","awaiting gp approval",0,""
"1882401000006115","EMISNQFO42","","1882401000006104","1882401000006115","follow-up appointment offered after hospital discharge",0,""
"1882531000006110","EMISNQNO110","","1882531000006106","1882531000006110","no longer at risk of emergency hospital admission",0,""
"1890951000006113","EMISNQAT40","","1890951000006109","1890951000006113","attends main gp surgery",0,""
"1892301000006111","EMISNQCP79","","1892301000006107","1892301000006111","cpu advice line - compreh medical assesst required (hospital)",0,""
"1898061000006112","EMISNQDI146","","1898061000006108","1898061000006112","did not attend gp consultation",0,""
"1898071000006117","EMISNQHO93","","1898071000006101","1898071000006117","hospital inpatient note",0,""
"1899631000006118","EMISNQRE462","","1899631000006102","1899631000006118","referral to gp as a result of a health check",0,""
"1910861000006111","EMISNQHO95","","1910861000006107","1910861000006111","hospital referral document",0,""
"1918131000006111","JHCME47","","1918131000006107","1918131000006111","medical condition requires member to be hospitalised",0,""
"1918141000006118","JHCME48","","1918141000006102","1918141000006118","medical condition does not require member to be hospitalised",0,""
"461701000006114","E29y4","E29y400","192065003","295515011","adjustment reaction due to hospitalisation",0,""
"1928501000006119","EMISNQSE131","","1928501000006103","1928501000006119","seen in rapid access clinic at gp surgery",0,""
"1933881000006116","EMISNQKE143","","1933881000006100","1933881000006116","keele scopic trial-gp choice to keep pt under gp care",0,""
"1933901000006119","EMISNQKE144","","1933901000006103","1933901000006119","keele scopic trial-gp choice to refer to community physio",0,""
"1936211000006119","EMISNQAD98","","1936211000006103","1936211000006119","admission to hospice from acute hospital",0,""
"1936261000006116","EMISNQAD99","","1936261000006100","1936261000006116","admission to hospice from community hospital",0,""
"1949801000006112","EMISNQSO45","","1949801000006108","1949801000006112","source of referral: gp",0,""
"1950441000006116","EMISNQWA19","","1950441000006100","1950441000006116","walk in centre attended after contacting registered gp first",0,""
"1951201000006112","EMISNQDI201","","1951201000006108","1951201000006112","discharge to acute hospital",0,""
"1955941000006117","EMISNQAP23","","1955941000006101","1955941000006117","appropriate non-elective hospital admission",0,""
"1955951000006115","EMISNQIN236","","1955951000006104","1955951000006115","inappropriate non-elective hospital admission",0,""
"1957591000006111","EMISNQON17","","1957591000006107","1957591000006111","ongoing home visits by gp required",0,""
"1957611000006117","EMISNQON18","","1957611000006101","1957611000006117","ongoing home visits by gp no longer required",0,""
"1959831000006119","EMISNQGP46","","1959831000006103","1959831000006119","gp notified of triage service outcome",0,""
"1961551000006118","EMISNQRE541","","1961551000006102","1961551000006118","referred by community hospital",0,""
"1961561000006116","EMISNQRE542","","1961561000006100","1961561000006116","referred by acute hospital",0,""
"1964501000006119","EMISNQPA423","","1964501000006103","1964501000006119","patient died in acute hospital",0,""
"8056951000006112","^ESCTGE805695","","196981000000101","295841000000113","general practice summary",0,""
"1979671000006118","EMISNQIN275","","1979671000006102","1979671000006118","intervention setting: hospital ward setting",0,""
"1980871000006119","EMISNQKE230","","1980871000006103","1980871000006119","keele taps trial - gp screened unsuitable",0,""
"1980971000006113","EMISNQKE240","","1980971000006109","1980971000006113","keele taps trial - follow up gp appt advised",0,""
"1981081000006118","EMISNQKE249","","1981081000006102","1981081000006118","keele taps trial - refer to peer support gp",0,""
"1981761000006114","EMISNQA&18","","1981761000006105","1981761000006114","a&e attendance - admitted to hospital bed/lodged patient",0,""
"1981771000006119","EMISNQA&19","","1981771000006103","1981771000006119","a&e attendance - discharged with follow up treatment by gp",0,""
"299131000000114","8HHk","8HHk.00","198451000000103","299131000000114","referral to hospital phlebotomist",0,""
"998281000006115","66Yi","66Yi.00","198901000000105","300201000000114","multiple chronic obstructive pulmonary disease emergency hospital admissions",2,"maybe - project-specific"
"1991811000006115","EMISNQLI75","","1991811000006104","1991811000006115","lives in secure hospital",0,""
"301141000000112","9N1z","9N1z.00","199281000000101","301141000000112","seen in gp unit",0,""
"2816831000006113","^ESCTHO281683","","19951005","33588016","hospital admission, emergency, from emergency room, medical nature",0,""
"2000731000006117","EMISNQDA51","","2000731000006101","2000731000006117","date of gp triage appointment offered to patient",0,""
"2001691000006117","EMISNQFA78","","2001691000006101","2001691000006117","fast track appointment cancelled by hospital",0,""
"2015291000006118","EMISNQTE24","","2015291000006102","2015291000006118","telehealth intervention - refer to gp",0,""
"2015301000006117","EMISNQTE25","","2015301000006101","2015301000006117","telehealth intervention - refer to hospital",0,""
"2015371000006111","EMISNQGP47","","2015371000006107","2015371000006111","gp dmard monitoring interval",0,""
"1672461000006117","EMISNQHO17","","22232009","37320011","hospital",0,""
"4933601000006117","^ESCTHO493360","","224887004","338018019","hospital waiting room",0,""
"4945611000006117","^ESCTCO494561","","225732001","339181014","community hospital",0,""
"1825121000006116","EMISNQPA167","","239531000000108","1825121000006116","patient transfer from hospital to hospital",0,""
"62121000000114","9b0K","9b0K.00","24651000000105","62121000000114","hospital admission note",0,""
"62131000000111","9b0L","9b0L.00","24661000000108","62131000000111","hospital inpatient report",0,""
"62901000000119","9NG0","9NG0.00","25271000000100","62901000000119","no communication from hospital",0,""
"63371000000115","9b0M","9b0M.00","25681000000100","63371000000115","hospital outpatient report",0,""
"2914121000006116","^ESCTEM291412","","25876001","43351018","emergency",0,""
"1672531000006113","EMISNQGE27","","264358009","392780016","general practice premises",0,""
"397755014","13F8-1","13F8.11","266938001","397755014","hospital inpatient",0,""
"146831000006112","66S2-1","66S2.11","268529002","401543013","shared care - consultant and gp",0,""
"5556591000006115","^ESCTST555659","","273833000","409485012","st george's hospital respiratory questionnaire",0,""
"1672491000006113","EMISNQDA3","","274516006","410334018","day hospital",0,""
"5689371000006119","^ESCTHO568937","","284548004","423259012","hospital department",0,""
"5698581000006117","^ESCTHO569858","","285201006","424150011","hospital environment",0,""
"5734621000006114","^ESCTGE573462","","288567009","428241011","general practice treatment room",0,""
"5734641000006119","^ESCTGE573464","","288568004","428242016","general practice consulting room",0,""
"5734671000006110","^ESCTGE573467","","288569007","428246018","general practice reception area",0,""
"5734691000006111","^ESCTGE573469","","288570008","428247010","general practice waiting room",0,""
"1488499011","9b79","9b79.00","288573005","428253010","other residential care homes managed by local authority",0,""
"8090731000006111","^ESCTDI809073","","294331000000109","1676661000000111","discharge letter sent to gp (general practitioner)",0,""
"517601000000110","9NC8-1","9NC8.11","294361000000104","517601000000110","follow-up clinic letter sent to gp",0,""
"5937641000006118","^ESCTSE593764","","305213002","447568015","sending of medical records to gp",0,""
"447587014","8V00","8V00.00","305230000","447587014","admission by gp",0,""
"447588016","8V000","8V00000","305231001","447588016","admission by own gp",0,""
"447589012","8V001","8V00100","305232008","447589012","admission by gp partner",0,""
"447726018","8Hd0","8Hd0.00","305337004","447726018","admission to community hospital",0,""
"5939101000006118","^ESCTAD593910","","305338009","447727010","admission to gp hospital",0,""
"5939121000006111","^ESCTAD593912","","305339001","447728017","admission to private hospital",0,""
"5939131000006114","^ESCTAD593913","","305340004","447729013","admission to long stay hospital",0,""
"5939191000006113","^ESCTAD593919","","305344008","447735013","admission to day hospital",0,""
"283519017","8H1Z","8H1Z.00","305351004","447746011","admit to intensive c.u. nos",0,""
"447881016","9NN6","9NN6.00","305455009","447881016","under care of gp",0,""
"5940711000006110","^ESCTUN594071","","305456005","447882011","under care of own gp",0,""
"5940731000006116","^ESCTUN594073","","305457001","447883018","under care of gp partner",0,""
"5942701000006113","^ESCTUN594270","","305608007","448087018","under care of hospital-based occupational therapist",0,""
"5942811000006119","^ESCTUN594281","","305615004","448097010","under care of hospital physiotherapist",0,""
"5943141000006119","^ESCTSE594314","","305638001","2972726019","seen by own general practitioner",0,""
"5943151000006117","^ESCTSE594315","","305639009","448127018","seen by partner of gp",0,""
"5944991000006111","^ESCTSE594499","","305776000","448316013","seen by hospital-based occupational therapist",0,""
"5945081000006113","^ESCTSE594508","","305782002","448325019","seen by hospital physiotherapist",0,""
"5946041000006113","^ESCTSE594604","","305855004","3011723019","seen by hospital-based occupational therapy service",0,""
"5946131000006119","^ESCTSE594613","","305861001","3011371016","seen by hospital physiotherapy service",0,""
"5946701000006114","^ESCTSE594670","","305907000","448489011","seen in day hospital",0,""
"5947271000006113","^ESCTRE594727","","305931005","448541017","referral by gp",0,""
"5947311000006113","^ESCTRE594731","","305932003","448543019","referral from own gp",0,""
"5950871000006113","^ESCTRE595087","","306074001","448915015","referral by hospital-based occupational therapist",0,""
"5951031000006113","^ESCTRE595103","","306081008","448938017","referral by hospital-based physiotherapist",0,""
"5952481000006110","^ESCTRE595248","","306168003","449083012","referral to hospital-based occupational therapy service",0,""
"5952551000006118","^ESCTRE595255","","306172004","449088015","referral to hospital physiotherapy service",0,""
"449354018","ESCTRE51","","306357007","449354018","referral to hospital-based occupational therapist",0,""
"1863581000006116","EMISNQRE400","","306359005","449357013","referral to hospital physiotherapist",0,""
"5957621000006112","^ESCTDI595762","","306546003","449604016","discharge by hospital-based occupational therapist",0,""
"5957721000006116","^ESCTDI595772","","306553007","449615014","discharge by hospital-based physiotherapist",0,""
"5958781000006116","^ESCTDI595878","","306630004","449724014","discharge from hospital occupational therapy service",0,""
"5958841000006115","^ESCTDI595884","","306636005","449730014","discharge from hospital physiotherapy service",0,""
"5959341000006117","^ESCTDI595934","","306677009","449780015","discharge from day hospital",0,""
"449806017","ESCTDI12","","306699001","449806017","discharge to hospital",0,""
"5959601000006113","^ESCTDI595960","","306700000","449807014","discharge to long stay hospital",0,""
"449808016","ESCTDI13","","306701001","449808016","discharge to community hospital",0,""
"5959621000006115","^ESCTDI595962","","306703003","449811015","discharge to tertiary referral hospital",0,""
"557561000000115","8HgA","8HgA.00","307451000000109","549941000000119","discharge by general practitioner with special interest",0,""
"5976961000006114","^ESCTDI597696","","308283009","451609018","discharge from hospital",0,""
"5978971000006115","^ESCTRE597897","","308464000","451814016","referral to day hospital",0,""
"284628019","945Z","945Z.00","309039003","452370013","hospital death disch. nos",0,""
"452795011","03DJ","03DJ.00","309390008","452795011","hospital consultant",0,""
"5988321000006112","^ESCTSP598832","","309395003","452801019","specialist",0,""
"5988421000006118","^ESCTGP598842","","309401003","452809017","gp-based physiotherapist",0,""
"5988441000006113","^ESCTHO598844","","309402005","452810010","hospital-based physiotherapist",0,""
"5988701000006118","^ESCTHO598870","","309423004","452840012","hospital-based occupational therapist",0,""
"5993711000006110","^ESCTPR599371","","309895006","453395017","private hospital",0,""
"5993721000006119","^ESCTTE599372","","309896007","453396016","tertiary referral hospital",0,""
"5996341000006119","^ESCTHO599634","","310096009","453663014","hospital-based occupational therapy service",0,""
"5996361000006115","^ESCTHO599636","","310098005","453667010","hospital-based physiotherapy service",0,""
"5999431000006112","^ESCTHO599943","","310390009","453965016","hospital clinic",0,""
"2476476011","8H7a","8H7a.00","310449005","2476476011","refer to hospital",0,""
"454131014","13F82","13F8200","310537006","454131014","previous multiple hospital admissions",0,""
"6046721000006113","^ESCTDN604672","","314503007","1775726012","dna - hospital appointment",0,""
"3016541000006111","^ESCTLO301654","","32074000","1227906014","long stay hospital",0,""
"1227951014","8Hd","8Hd..00","32485007","1227951014","admission to hospital",0,""
"8104851000006114","^ESCTHO810485","","325331000000105","598751000000119","hospital based outpatient care",0,""
"1672561000006116","EMISNQHO19","","33022008","55115014","hospital-based outpatient department",0,""
"621241000000119","2J8","2J8..00","335201000000108","621241000000119","hospital admission avoided",0,""
"2554181000006117","^ESCTRE255418","","3457005","1228184012","referral procedure",0,""
"8115071000006112","^ESCTAD811507","","360981000000109","1692541000000119","advised to contact gp (general practitioner)",0,""
"8117691000006113","^ESCTRE811769","","366471000000104","691831000000115","reduction in length of hospital stay",0,""
"1212307015","9c70","9c70.00","373864002","1212307015","outpatient",0,""
"3107571000006112","^ESCTPA310757","","37729005","62934015","patient transfer, in-hospital",0,""
"8125671000006111","^ESCTSE812567","","383481000000107","756481000000114","seen in hospital clinic",0,""
"1484873015","661I","661I.00","390840006","1484873015","next appointment",0,""
"1488343014","03FT","03FT.00","394618009","1488343014","hospital nurse",0,""
"1488476012","9b1G","9b1G.00","394761003","1488476012","gp practice site",0,""
"1488520018","9b9U","9b9U.00","394814009","1488520018","general practice (specialty)",0,""
"1488695011","8B2D","8B2D.00","394995008","1488695011","hospital prescription",0,""
"90521000000116","9e","9e...00","401165003","1780365019","gp out of hours service administration",0,""
"1780508019","94D","94D..00","401321000","1780508019","hospital notified of death",0,""
"1620421000006111","EMISNQGE24","","408443003","2160001017","general medical practice",0,""
"6763061000006115","^ESCTRE676306","","408489005","3082983015","respiratory emergency hospital admission",0,""
"2160051010","8H2R","8H2R.00","408501008","3082901016","emergency hospital admission for chronic obstructive pulmonary disease",0,""
"2160100019","8B2F","8B2F.00","408550002","2160100019","prescription by gp",0,""
"2474327016","9NM4","9NM4.00","412770007","2474327016","attending day hospital",0,""
"2474636011","8HHJ","8HHJ.00","413087007","2474636011","referral to respiratory nurse specialist",0,""
"2474698010","949C","949C.00","413150001","2474698010","patient died in gp surgery",0,""
"2534213011","8M9","8M9..00","415046009","2534213011","patient requests a hospital referral",0,""
"2532944012","8BM7","8BM7.00","415524009","2532944012","shared care prescribing referred back to hospital",0,""
"2548496014","67If","67If.00","416095004","2548496014","advice to gp to re-start patient medication",0,""
"3171611000006118","^ESCTPU317161","","41672002","2474872019","pulmonologist",1,"keep"
"1782016","8Hd4","8Hd4.00","417005","1782016","hospital re-admission",0,""
"6902191000006111","^ESCTRE690219","","417103009","2673166018","recommendation to general practitioner to decrease patient medication",0,""
