"medcodeid","fluvac_admin","term"
"1986631000006119",1,"First intranasal seasonal influenza vaccination given by pharmacist"
"1986641000006112",1,"Second intranasal seasonal influenza vaccination given by pharmacist"
"1986651000006114",1,"First inactivated seasonal influenza vaccination given by pharmacist"
"1986661000006111",1,"Second inactivated seasonal influenza vaccination given by pharmacist"
"1991691000006114",1,"Reason for influenza vaccine - pre-school child"
"1991701000006114",1,"Reason for influenza vaccine - primary school-age child"
"1991711000006112",1,"Reason for influenza vaccine - BMI 40+"
"2010111000006114",1,"Reason for influenza vaccine - adult household contact of immunocompromised individual"
"2142081000000112",1,"Seasonal influenza vaccination"
"2142381000000114",1,"Consent given for seasonal influenza vaccination"
"2200881000000110",1,"Seasonal influenza vaccination given by pharmacist"
"2244031000000119",1,"Administration of intranasal influenza vaccination"
"2252131000000112",1,"Administration of first intranasal influenza vaccination"
"2252191000000113",1,"Administration of second intranasal influenza vaccination"
"265445015",1,"Influenza vaccination consent given"
"296887012",1,"Post influenza vaccination encephalitis"
"308411000000113",1,"First pandemic influenza vaccination"
"308441000000114",1,"Second pandemic influenza vaccination"
"3246891000006118",1,"Influenza vaccine"
"3246911000006116",1,"FLU - Influenza vaccine"
"3901351000006116",1,"Influenza immunisation"
"5791421000006116",1,"Influenza split virion vaccine adverse reaction"
"5791431000006118",1,"Influenza surface antigen vaccine adverse reaction"
"5809171000006113",1,"Influenza split virion vaccine allergy"
"5809181000006111",1,"Influenza surface antigen vaccine allergy"
"6178241000006117",1,"Inactivated Influenza split virion vaccine"
"6569211000006110",1,"Influenza virus vaccine"
"6569221000006119",1,"Influenza vaccine"
"6569231000006116",1,"FLU - Influenza vaccine"
"6766481000006114",1,"Inactivated influenza split virion vaccine"
"7104161000006111",1,"Intranasal influenza live virus vaccine 0.2mL nasal spray"
"7120261000006117",1,"Influenza virus vaccine in nasal dosage form"
"749241000000111",1,"Consent given for pandemic influenza vaccination"
"753841000000112",1,"Influenza vaccination given by other healthcare provider"
"8022971000006117",1,"Influenza vaccination given"
"8022981000006119",1,"Vaccination for influenza given"
"8061261000006115",1,"Booster influenza vaccination"
"8062271000006119",1,"First pandemic flu vaccination"
"816791000006117",1,"Has influenza vaccination at hospital"
"8439011000006112",1,"Seasonal influenza vaccination given by midwife"
"8439021000006116",1,"First inactivated seasonal influenza vaccination given by midwife"
"8439031000006118",1,"Second inactivated seasonal influenza vaccination given by midwife"
"924501000006111",1,"Influenza vaccination"
"931801000006112",1,"Influenza virus vaccine adverse reaction"
"932221000006114",1,"Adv react: influenza vaccine"
"955561000006112",1,"Adverse reaction to influenza vaccine"
"979321000006111",1,"Influenza immunisation for those in the 65 years and over and other at risk groups enhanced services administration"
