"medcodeid","diabetes","term"
"3291658019",1,NA
"6763751000006119",1,NA
"6837991000006112",1,NA
"1823921000006119",1,"Diabetes mellitus confirmed"
"125705011",1,"Diabetes mellitus due to insulin receptor antibodies"
"306108017",1,"Diabetes mellitus during pregnancy - baby delivered"
"306110015",1,"Diabetes mellitus during pregnancy - baby not yet delivered"
"616191000006112",1,"Diabetes mellitus during pregnancy, childbirth and the puerperium"
"9324881000006117",1,NA
"9324871000006115",1,NA
"3748251000006115",1,"Diabetes mellitus in mother complicating pregnancy, childbirth AND/OR puerperium"
"616211000006113",1,"Diabetes mellitus in pregnancy/childbirth/puerperium NOS"
"616221000006117",1,"Diabetes mellitus in the puerperium - baby delivered during previous episode of care"
"616231000006119",1,"Diabetes mellitus in the puerperium - baby delivered during current episode of care"
"2160090014",1,"Diabetes mellitus induced by non-steroid drugs"
"616241000006112",1,"Diabetes mellitus induced by steroids"
"292484010",1,"Hyperosmolar coma associated with diabetes mellitus"
"292479016",1,"Diabetes mellitus NOS with ketoacidosis"
"292489017",1,"Diabetes mellitus NOS with ketoacidotic coma"
"292512019",1,"Diabetes mellitus NOS with neurological manifestation"
"292475010",1,"Diabetes mellitus NOS with no mention of complication"
"292503016",1,"Diabetes mellitus NOS with ophthalmic manifestation"
"12730981000006113",1,NA
"292621010",1,"Diabetes mellitus NOS with other specified manifestation"
"292523015",1,"Diabetes mellitus NOS with peripheral circulatory disorder"
"292626017",1,"Diabetic complication"
"3253241000006117",1,"Diabetes mellitus type 1"
"8022471000006114",1,NA
"6965571000006111",1,NA
"3209441000006114",1,"Diabetes mellitus type 2"
"6979251000006110",1,NA
"3253231000006110",1,"Diabetes mellitus type I"
"3209431000006116",1,"Diabetes mellitus type II"
"5505651000006113",1,"Diabetes mellitus uncontrolled"
"616351000006115",1,"Diabetes mellitus with gangrene"
"292480018",1,"Diabetes mellitus with hyperosmolar coma"
"2622193012",1,"Diabetes mellitus with ketoacidosis"
"616381000006111",1,"Diabetes mellitus with ketoacidotic coma"
"616391000006114",1,"Nervous system disorder due to diabetes mellitus"
"345487013",1,"Diabetes mellitus with neuropathy"
"292466013",1,"Diabetes mellitus without complication"
"616421000006118",1,"Eye disorder due to diabetes mellitus"
"292617015",1,"Diabetes mellitus with other specified manifestation"
"12730971000006110",1,NA
"616441000006113",1,"Peripheral vascular disorder due to diabetes mellitus"
"616451000006110",1,"Diabetes mellitus with polyneuropathy"
"616461000006112",1,"Diabetes mellitus with renal manifestation"
"292622015",1,"Diabetes mellitus with unspecified complication"
"3862421000006116",1,NA
"3862341000006115",1,NA
"616481000006119",1,"Diabetes mellitus, adult onset, + neurological manifestation"
"616491000006116",1,"Diabetes mellitus, adult onset, + ophthalmic manifestation"
"616501000006112",1,"Disorder due to type 2 diabetes mellitus"
"616511000006110",1,"Diabetes mellitus, adult onset, no mention of complication"
"292483016",1,"Diabetes mellitus, adult onset, with hyperosmolar coma"
"616531000006116",1,"Diabetes mellitus, adult onset, with ketoacidosis"
"616541000006114",1,"Diabetes mellitus, adult onset, with ketoacidotic coma"
"12718861000006118",1,NA
"616551000006111",1,"Diabetes mellitus, adult onset, with renal manifestation"
"616561000006113",1,"Diabetes mellitus, adult with gangrene"
"616571000006118",1,"Diabetes mellitus, adult, + other specified manifestation"
"616581000006115",1,"Diabetes mellitus, adult, + peripheral circulatory disorder"
"616591000006117",1,"Diabetes mellitus, juvenile +peripheral circulatory disorder"
"616601000006113",1,"Diabetes mellitus, juvenile type, + ophthalmic manifestation"
"616611000006111",1,"Disorder due to type 1 diabetes mellitus"
"616621000006115",1,"Type 1 diabetes mellitus without complication"
"292482014",1,"Diabetes mellitus, juvenile type, with hyperosmolar coma"
"616641000006110",1,"Diabetes mellitus, juvenile type, with ketoacidosis"
"616651000006112",1,"Diabetes mellitus, juvenile type, with ketoacidotic coma"
"616661000006114",1,"Diabetes mellitus, juvenile type, with renal manifestation"
"616671000006119",1,"Diabetes mellitus, juvenile, + neurological manifestation"
"616681000006116",1,"Diabetes mellitus, juvenile, + other specified manifestation"
"8059281000006116",1,NA
"1856641000006113",1,"Diabetes monitoring in primary care"
"1856651000006110",1,"Diabetes monitoring in secondary care"
"8059261000006114",1,NA
"2117891000000114",1,"Diabetes self-management plan agreed"
"2115761000000117",1,"Diabetes self-management plan review"
"479511000000117",1,"Diabetes type 1 review"
"6980441000006114",1,NA
"6961101000006114",1,NA
"6951091000006110",1,"Diabetes type 1 with ketoacidosis"
"6972451000006115",1,NA
"6960441000006112",1,NA
"5109461000006115",1,"Diabetes type 2 on insulin"
"479571000000110",1,"Diabetes type 2 review"
"6959811000006110",1,NA
"6977431000006113",1,NA
"6969931000006116",1,"Diabetes type 2 with neurological disorder"
"6982521000006119",1,"Diabetes type 2 with retinopathy"
"8084961000006111",1,"Diabetes type II review"
"881471000006115",1,"Diabetes with coma"
"932641000006116",1,"Diabetes with coma"
"616831000006118",1,"Diabetes with gangrene"
"4392211000006114",1,NA
"1854821000006113",1,NA
"2287311000000111",1,"Diabetes Year of Care annual review"
"881461000006110",1,"Diabetes+ketoacidosis -no coma"
"845341000006111",1,"Diabetes: shared care in pregnancy - diabetologist and obstetrician"
"4636711000006116",1,NA
"264724019",1,"Diabetes: shared care programme"
"264717015",1,"Diabetic - cooperative patient"
"1859611000006117",1,NA
"264719017",1,"Diabetic - follow-up default"
"264707013",1,"Diabetic - good control"
"856531000006119",1,"Diabetic - GP eye check"
"856551000006114",1,"Diabetic - hospital eye check"
"616891000006119",1,"Diabetic - moderate control"
"401531012",1,"Diabetic - poor control"
"264716012",1,"Diabetic - poor control NOS"
"1954041000006119",1,"Diabetic - uses carbohydrate counting"
"1876341000006117",1,"Diabetic 3 month review"
"299261000000111",1,"Diabetic 6 month review"
"6953891000006119",1,"Diabetic acidosis"
"2920971000006115",1,NA
"65526011",1,"Diabetic amyotrophy"
"616921000006113",1,"Diabetic amyotrophy"
"7966951000006119",1,NA
"264727014",1,"Diabetic annual review"
"1842001000006118",1,"Diabetic annual review by practice nurse"
"1734721000000114",1,"Assessment of diabetic erectile dysfunction"
"3319861000006118",1,"Diabetic autonomic neuropathy"
"2500921000000110",1,"Diabetic carbohydrate counting diet"
"73294018",1,"Diabetic cataract"
"12702361000006111",1,NA
"12702391000006115",1,NA
"6980431000006116",1,NA
"6959801000006112",1,NA
"616971000006114",1,"Diabetic Charcot's arthropathy"
"4808891000006119",1,NA
"309737011",1,"Diabetic cheiroarthropathy"
"309738018",1,"Diabetic cheiropathy"
"2920981000006117",1,"Diabetic coma"
"2920961000006110",1,NA
"282568013",1,"Diabetic crisis monitoring"
"1696331000006114",1,"Diabetic dermopathy"
"250447011",1,"Diabetic diet"
"63021000000116",1,"Good compliance with diabetic diet"
"12489361000006112",1,NA
"63041000000111",1,"Poor compliance with diabetic diet"
"12489351000006110",1,NA
"1658821000000117",1,"Diabetic dietary review"
"1658941000000115",1,"Diabetic dietary review declined"
"7741101000006113",1,"Diabetic embryopathy"
"4723641000006110",1,NA
"1734281000000117",1,"Diabetic erectile dysfunction review"
"2900951000006115",1,"Diabetic eye disease"
"5634901000006116",1,"Diabetic foot"
"1780386019",1,"Diabetic foot examination"
"1960611000006113",1,"Diabetic foot examination - action required"
"1960621000006117",1,"Diabetic foot examination - no action required"
"1488405010",1,"Diabetic foot risk assessment"
"617041000006117",1,"Diabetic Foot Risk Assessment"
"856561000006111",1,NA
"692951000000111",1,"Diabetic foot screen"
"4808881000006117",1,"Diabetic hand syndrome"
"454092018",1,"Diabetic hyperosmolar non-ketotic state"
"297964010",1,"Diabetic iritis"
"6953861000006110",1,"Diabetic ketoacidosis"
"178798017",1,"Diabetic ketoacidosis without coma"
"12180791000006114",1,"Diabetic lumbosacral plexopathy"
"3128741000006119",1,NA
"6022931000006112",1,"Diabetic macular edema"
"6022921000006114",1,"Diabetic macular oedema"
"347657010",1,"Diabetic maculopathy"
"12086331000006116",1,"Diabetic maculopathy of left eye"
"12086281000006113",1,"Diabetic maculopathy of right eye"
"7851731000006116",1,"Diabetic mastopathy"
"2160025013",1,"Diabetic medicine"
"1713371000006112",1,"Diabetic medicine"
"264676010",1,"Diabetic monitoring"
"301641000000117",1,"Diabetes monitoring higher risk albumin excretion"
"12490181000006112",1,NA
"301611000000118",1,"Diabetes monitoring lower risk albumin excretion"
"12490171000006114",1,NA
"264729012",1,"Diabetic monitoring NOS"
"297492014",1,"Diabetic mononeuritis multiplex"
"297510017",1,"Diabetic mononeuritis NOS"
"345492010",1,"Diabetic mononeuropathy"
"205225016",1,"Diabetic nephropathy"
"6983521000006113",1,NA
"4808921000006113",1,"Diabetic neuropathic arthropathy"
"8022461000006119",1,NA
"345486016",1,"Diabetic neuropathy"
"12704401000006110",1,"Diabetic oculopathy"
"12762301000006111",1,NA
"12704961000006118",1,NA
"6983691000006114",1,NA
"3537388019",1,NA
"12702381000006118",1,"Diabetic oculopathy due to type I diabetes mellitus"
"264679015",1,"Diabetic on diet only"
"264682013",1,"Diabetic on insulin"
"1966321000006112",1,"Diabetic on insulin and glucagon-like peptide 1 receptor agonist"
"458512016",1,"Diabetic on insulin and oral treatment"
"1780981000006115",1,"Diabetic on non-insulin injectable"
"2460251000000115",1,"Diabetic on non-insulin injectable medication"
"264681018",1,"Diabetic on oral treatment"
"1966311000006116",1,"Diabetic on oral treatment and glucagon-like peptide 1 receptor agonist"
"1177721000000112",1,"Diabetic on subcutaneous treatment"
"2549901010",1,"Diabetic patient unsuitable for digital retinal photography"
"302011",1,"Diabetic peripheral angiopathy"
"6980041000006115",1,NA
"2415191000000113",1,"Diabetic peripheral neuropathic pain"
"1780286017",1,"Diabetic peripheral neuropathy screening"
"4392201000006111",1,NA
"82373015",1,"Diabetic polyneuropathy"
"12491561000006117",1,NA
"7861581000006118",1,"Diabetic radiculoplexus neuropathy"
"2906401000006113",1,"Diabetic retinal microaneurysm"
"6630591000006111",1,"Diabetic retinal venous beading"
"9093013",1,"Diabetic retinopathy"
"2159948010",1,"Diabetic retinopathy 12 month review"
"2159949019",1,"Diabetic retinopathy 6 month review"
"12704951000006115",1,NA
"12704981000006111",1,NA
"6960431000006119",1,NA
"6982511000006110",1,NA
"297758012",1,"Diabetic retinopathy NOS"
"1804191000006114",1,"Diabetic retinopathy screen done by optician"
"216201011",1,"Diabetic retinopathy screening"
"1704651000006111",1,"Diabetic retinopathy screening administrative status"
"2159960011",1,"Diabetic retinopathy screening not indicated"
"12121381000006114",1,"Diabetic retinopathy screening offered"
"2548205017",1,"Diabetic retinopathy screening offered"
"2474671011",1,"Diabetic retinopathy screening refused"
"356121018",1,"Diabetic severe hyperglycaemia"
"5109901000006112",1,NA
"1839671000006113",1,"Diabetic short review"
"6985411000006117",1,"Diabetic skin ulcer"
"264705017",1,"Diabetic treatment changed"
"459695017",1,"Diabetic weight reducing diet"
"264718013",1,"Diabetic-uncooperative patient"
"4636411000006110",1,"Diet controlled diabetes mellitus"
"3712861000006110",1,NA
"6961901000006111",1,NA
"6982151000006118",1,NA
"12174811000006112",1,NA
"12370281000006118",1,NA
"12336881000006117",1,NA
"12370271000006116",1,NA
"12336871000006115",1,NA
"12218501000006114",1,NA
"12086341000006114",1,NA
"12221241000006112",1,NA
"12336861000006110",1,NA
"12086301000006112",1,NA
"6953901000006115",1,"DKA - diabetic ketoacidosis"
"12180761000006118",1,NA
"3690681000006114",1,"DM - Diabetes mellitus"
"8343301000006117",1,NA
"2576431000006117",1,"DR - Diabetic retinopathy"
"9986011",1,"Drug-induced diabetes mellitus"
"5211000033113",1,NA
"730411000000115",1,"Eligible for diabetic retinopathy screening"
"640011000006114",1,"Emergency Diabetic Admission since last appointment"
"2380481000000115",1,"Enquiry about diabetic erectile dysfunction declined"
"2243331000000115",1,"Erectile dysfunction due to diabetes mellitus"
"12705001000006119",1,NA
"12705011000006116",1,NA
"6954991000006112",1,NA
"6977971000006119",1,NA
"12331231000006110",1,NA
"12335681000006111",1,NA
"12331221000006112",1,NA
"12335671000006113",1,NA
"12174801000006114",1,NA
"764201000006110",1,"Foot abnormality - diabetes related"
"764191000006112",1,"Foot abnormality - diabetes related"
"6987011000006115",1,NA
"6961081000006118",1,"Gangrene associated with type 1 diabetes mellitus"
"6975211000006112",1,NA
"6961091000006115",1,NA
"6975221000006116",1,NA
"12363671000006118",1,NA
"12363691000006117",1,NA
"7708051000006112",1,"Gastroparesis due to diabetes mellitus type I"
"7708071000006119",1,NA
"12705071000006113",1,"Gastroparesis due to type 1 diabetes mellitus"
"12705081000006111",1,"Gastroparesis due to type 2 diabetes mellitus"
"12363661000006113",1,NA
"12363681000006115",1,NA
"2686101000006116",1,"GDM - Gestational diabetes mellitus"
"498512013",1,"Genetic syndromes of diabetes mellitus"
"2686071000006114",1,"Gestational diabetes"
"1703761000000114",1,"Gestational diabetes information leaflet given"
"20191016",1,"Gestational diabetes mellitus"
"801901000006119",1,"Gestational diabetes mellitus"
"1786841000006118",1,NA
"2128081000000111",1,"Gestational diabetes mellitus annual review"
"8016621000006116",1,"Gestational diabetes mellitus complicating pregnancy"
"3719631000006112",1,"Gestational diabetes mellitus, class A>1<"
"3258001000006116",1,"Gestational diabetes mellitus, class A>2<"
"8016611000006112",1,"Gestational diabetes, delivered"
"7746161000006117",1,NA
"7644681000006117",1,NA
"4600881000006113",1,NA
"4595351000006114",1,NA
"4595381000006118",1,NA
"4595301000006110",1,NA
"4595261000006118",1,NA
"264693010",1,"Has seen dietician - diabetes"
"4636471000006118",1,"Has seen dietitian - diabetes"
"404444016",1,"Haemoglobin A1C - diabetic control interpretation"
"257623014",1,"Hb. A1C - diabetic control"
"453910015",1,"Haemoglobin A1C - diabetic control finding"
"4595341000006112",1,NA
"4595401000006118",1,NA
"4595291000006114",1,NA
"6280411000006114",1,NA
"5513671000006116",1,NA
"4595331000006119",1,NA
"4595391000006115",1,NA
"11926761000006112",1,NA
"841011000006112",1,"Severe nonproliferative diabetic retinopathy"
"454093011",1,"HONKS - Diabetic hyperosmolar non-ketotic state"
"2817479019",1,"Hyperglycaemic crisis in diabetes mellitus"
"7253221000006117",1,NA
"8120401000006111",1,"Hyperosmolar coma due to secondary diabetes mellitus"
"1488898011",1,"Hyperosmolar non-ketotic state in type 2 diabetes mellitus"
"850691000006118",1,"Hyperosmolar non-ketotic state in type 2 diabetes mellitus"
"1667891000000113",1,"Hyperosmolar non-ketotic state in type II diabetes mellitus"
"8118151000006112",1,"Hyperosmolarity co-occurrent and due to drug induced diabetes mellitus"
"933231000006118",1,"Hypo states in diabetes"
"7783451000006114",1,NA
"5110071000006112",1,"Hypoglycaemic event in diabetes"
"11927561000006118",1,NA
"5110081000006110",1,"Hypoglycemic event in diabetes"
"787111000006112",1,"IDDM-Insulin dependent diabetes mellitus"
"733161000000116",1,"Impaired vision due to diabetic retinopathy"
"189841000000113",1,"Informed dissent for diabetes national audit"
"264677018",1,"Initial diabetic assessment"
"777231000006119",1,"Diabetic monitoring - injection sites"
"772151000006116",1,"Insulin dependent diabetes maturity onset"
"913711000006112",1,"Insulin dependent diabetes maturity onset"
"77727018",1,"Insulin dependent diabetes mellitus"
"772161000006119",1,"Insulin dependent diabetes mellitus"
"772171000006114",1,"Insulin dependent diabetes mellitus"
"913681000006111",1,"Insulin dependent diabetes mellitus - poor control"
"772181000006112",1,"Insulin dependent diabetes mellitus - poor control"
"6051171000006117",1,NA
"459293018",1,"Insulin dependent diabetes mellitus with arthropathy"
"771331000006116",1,"Insulin dependent diabetes mellitus with arthropathy"
"913891000006113",1,"Insulin dependent diabetes mellitus with diabetic cataract"
"771341000006114",1,"Insulin dependent diabetes mellitus with diabetic cataract"
"913621000006112",1,"Insulin dependent diabetes mellitus with gangrene"
"771351000006111",1,"Insulin dependent diabetes mellitus with gangrene"
"6050041000006115",1,NA
"771361000006113",1,"Insulin dependent diabetes mellitus with hypoglycaemic coma"
"459162010",1,"Insulin dependent diabetes mellitus with hypoglycaemic coma"
"6050071000006111",1,NA
"913771000006115",1,"Insulin dependent diabetes mellitus with mononeuropathy"
"771371000006118",1,"Insulin dependent diabetes mellitus with mononeuropathy"
"913531000006111",1,"Insulin dependent diabetes mellitus with multiple complicat"
"771381000006115",1,"Insulin dependent diabetes mellitus with multiple complicatn"
"913831000006114",1,"Insulin dependent diabetes mellitus with nephropathy"
"771391000006117",1,"Insulin dependent diabetes mellitus with nephropathy"
"771401000006115",1,"Insulin dependent diabetes mellitus with polyneuropathy"
"913801000006118",1,"Insulin dependent diabetes mellitus with polyneuropathy"
"913651000006115",1,"Insulin dependent diabetes mellitus with retinopathy"
"771411000006117",1,"Insulin dependent diabetes mellitus with retinopathy"
"11927551000006115",1,NA
"771421000006113",1,"Insulin dependent diabetes mellitus with ulcer"
"913591000006110",1,"Skin ulcer associated with diabetes mellitus"
"1223148019",1,"Insulin treated non-insulin dependent diabetes mellitus"
"914391000006116",1,"Insulin treated Type 2 diabetes mellitus"
"840951000006119",1,"Insulin treated Type 2 diabetes mellitus"
"1223147012",1,"Insulin treated Type II diabetes mellitus"
"841351000006110",1,"Insulin treated Type II diabetes mellitus"
"4758121000006115",1,"Insulin-dependent diabetes maturity onset"
"5109851000006119",1,NA
"356111014",1,"Insulin-dependent diabetes mellitus secretory diarrhoea syndrome"
"913501000006115",1,"Insulin-dependent diabetes mellitus with neurological comps"
"771481000006112",1,"Insulin-dependent diabetes mellitus with neurological comps"
"913471000006110",1,"Insulin-dependent diabetes mellitus with ophthalmic comps"
"771491000006110",1,"Insulin-dependent diabetes mellitus with ophthalmic comps"
"771501000006119",1,"Insulin-dependent diabetes mellitus with renal complications"
"913441000006119",1,"Insulin-dependent diabetes mellitus with renal complications"
"4758061000006110",1,NA
"6030001000006116",1,"Insulin-dependent diabetes without complication"
"457327017",1,"Insulin-dependent diabetes without complication"
"746791000006111",1,"Insulin-dependent diabetes without complication"
"12220711000006112",1,NA
"12220721000006116",1,NA
"309177010",1,"Ischaemic ulcer diabetic foot"
"4807571000006117",1,NA
"6953871000006115",1,"Ketoacidosis in diabetes mellitus"
"6951081000006112",1,NA
"6977421000006110",1,"Ketoacidosis in type II diabetes mellitus"
"12704991000006114",1,"Ketoacidotic coma in type 2 diabetes mellitus"
"6965561000006116",1,NA
"6980001000006117",1,NA
"6951281000006117",1,NA
"12218511000006112",1,NA
"5754621000006110",1,NA
"856611000006114",1,"Laser treated diabetic retinopathy"
"2674067015",1,"Latent autoimmune diabetes mellitus in adult"
"856651000006110",1,"Left advanced diabetic retinal disease"
"856661000006112",1,"Left diabetic foot active ulceration"
"856671000006117",1,"Left diabetic foot high risk"
"856691000006116",1,"Left diabetic foot low current risk"
"856681000006119",1,"Left diabetic foot moderate risk"
"856641000006113",1,"Left diabetic maculopathy"
"856631000006115",1,"Left laser treated diabetic retinopathy"
"857031000006113",1,"Left non-proliferative diabetic retinopathy"
"857051000006118",1,"Left preproliferative diabetic retinopathy"
"856621000006118",1,"Left proliferative diabetic retinopathy"
"7863801000006113",1,"Lumbosacral plexopathy co-occurrent and due to diabetes mellitus"
"12491571000006112",1,NA
"7863811000006111",1,"Lumbosacral plexopathy with diabetes mellitus"
"12491581000006110",1,NA
"12180781000006111",1,NA
"12180771000006113",1,NA
"12224821000006119",1,NA
"12224831000006116",1,NA
"12224811000006110",1,NA
"12224841000006114",1,NA
"12221251000006114",1,NA
"12086321000006119",1,NA
"12086291000006111",1,NA
"12221261000006111",1,NA
"2575281000006111",1,"Maternal diabetes mellitus with hypoglycaemia affecting fetus OR newborn"
"2575261000006118",1,"Maternal diabetes mellitus with hypoglycaemia affecting foetus OR newborn"
"2575271000006113",1,"Maternal diabetes mellitus with hypoglycemia affecting fetus OR newborn"
"2843291000006110",1,"Maternal diabetes syndrome"
"2686081000006112",1,NA
"622221000000118",1,"Maternally inherited diabetes mellitus"
"223291000000111",1,"Maturity onset diabetes"
"483886014",1,"Maturity onset diabetes in youth"
"2476117016",1,"Maturity onset diabetes in youth type 1"
"356085010",1,"Maturity onset diabetes in youth type 2"
"5109581000006112",1,NA
"1968641000006114",1,"Maturity-onset diabetes of the young, type 5"
"7500191000006118",1,"Maturity onset diabetes of the young, type 1"
"5109561000006119",1,"Maturity onset diabetes of the young, type 2"
"356110010",1,"Megaloblastic anaemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness"
"5109801000006118",1,NA
"309180011",1,"Mixed diabetic ulcer - foot"
"5109621000006112",1,"MODY - Maturity onset diabetes glucokinase-related"
"5109611000006116",1,"MODY - Maturity onset diabetes in youth type 2"
"5109591000006110",1,NA
"7500341000006113",1,NA
"12220641000006117",1,NA
"12220651000006115",1,NA
"12702371000006116",1,NA
"12702401000006118",1,NA
"6962751000006117",1,NA
"6954121000006112",1,NA
"12221151000006118",1,NA
"12332761000006118",1,NA
"12331061000006114",1,NA
"12332751000006115",1,NA
"12331051000006112",1,NA
"6986151000006117",1,NA
"4788421000006117",1,NA
"303846016",1,"Nephrotic syndrome in diabetes mellitus"
"12336851000006113",1,NA
"6983511000006117",1,NA
"12704391000006113",1,NA
"12704971000006113",1,"Neurologic disorder associated with type 2 diabetes mellitus"
"6969921000006119",1,NA
"12704941000006117",1,NA
"6972441000006117",1,NA
"12334621000006111",1,NA
"12334131000006118",1,NA
"12334141000006111",1,NA
"12334611000006115",1,NA
"8022441000006118",1,NA
"309179013",1,"Neuropathic diabetic ulcer - foot"
"12221111000006119",1,NA
"2014951000006115",1,"New diabetic foot ulcer"
"1694761000006113",1,"Newly diagnosed diabetes"
"493773010",1,"NIDDM - Non-insulin dependent diabetes mellitus"
"1484867016",1,"Non proliferative diabetic retinopathy"
"281161000006114",1,"Non-insulin depend diabetes mellitus with diabetic cataract"
"73466011",1,"Non-insulin dependent diabetes mellitus"
"280571000006116",1,"Non-insulin dependent diabetes mellitus"
"281171000006119",1,"Type II diabetes mellitus uncontrolled"
"459309011",1,"Non-insulin dependent diabetes mellitus with arthropathy"
"281211000006117",1,"Gangrene associated with type 2 diabetes mellitus"
"280511000006113",1,"Non-insulin dependent diabetes mellitus with hypoglyca coma"
"280521000006117",1,"Non-insulin dependent diabetes mellitus with mononeuropathy"
"280531000006119",1,"Non-insulin dependent diabetes mellitus with nephropathy"
"280541000006112",1,"Non-insulin dependent diabetes mellitus with polyneuropathy"
"280551000006114",1,"Non-insulin-dependent diabetes mellitus with ulcer"
"280581000006118",1,"Non-insulin-dependent diabetes mellitus with multiple complications"
"280591000006115",1,"Non-insulin-dependent diabetes mellitus with neuro comps"
"587111000006111",1,"Non-insulin-dependent diabetes mellitus with ophthalm comps"
"587521000006111",1,"Non-insulin-dependent diabetes mellitus with renal comps"
"641581000006115",1,"Non-insulin-dependent diabetes mellitus with retinopathy"
"457328010",1,"Non-insulin-dependent diabetes mellitus without complication"
"6981271000006112",1,NA
"6515171000006112",1,"Nonproliferative diabetic retinopathy"
"12295441000006116",1,NA
"6515201000006111",1,"NPDR - Non proliferative diabetic retinopathy"
"1484888013",1,"O/E - diabetic maculopathy absent both eyes"
"1484887015",1,"O/E - diabetic maculopathy present both eyes"
"2532976019",1,"O/E - left chronic diabetic foot ulcer"
"1488396017",1,"O/E - Left diabetic foot - ulcerated"
"1488398016",1,"O/E - Left diabetic foot at high risk"
"1666911000000113",1,"O/E - Left diabetic foot at increased risk"
"1488397014",1,"O/E - Left diabetic foot at low risk"
"1488403015",1,"O/E - Left diabetic foot at moderate risk"
"451411017",1,"O/E - Left diabetic foot at risk"
"2159974016",1,"O/E - left eye background diabetic retinopathy"
"2159980012",1,"Maculopathy of left eye with diabetes mellitus"
"2159976019",1,"O/E - left eye preproliferative diabetic retinopathy"
"2159978018",1,"O/E - left eye proliferative diabetic retinopathy"
"975261000006113",1,"O/E - left eye stable treated proliferative diabetic retinopathy"
"1484886012",1,"O/E - no left diabetic retinopathy"
"1484883016",1,"O/E - no right diabetic retinopathy"
"2532977011",1,"O/E - right chronic diabetic foot ulcer"
"1488395018",1,"O/E - Right diabetic foot - ulcerated"
"1488394019",1,"O/E - Right diabetic foot at high risk"
"1666931000000117",1,"O/E - Right diabetic foot at increased risk"
"1488393013",1,"O/E - Right diabetic foot at low risk"
"1488404014",1,"O/E - Right diabetic foot at moderate risk"
"451410016",1,"O/E - Right diabetic foot at risk"
"2159973010",1,"O/E - right eye background diabetic retinopathy"
"2159979014",1,"Maculopathy of right eye with diabetes mellitus"
"2159975015",1,"O/E - right eye preproliferative diabetic retinopathy"
