"cat","medcodeid","aurumterm","disease_num","score","term"
"Any malignancy","153296016","carcinoma in situ of pyloric antrum",11,2,"Carcinoma in situ of pyloric antrum"
"Any malignancy","315221000006118","[m]periosteal osteogenic sarcoma",11,2,"[M]Periosteal osteogenic sarcoma"
"Any malignancy","153321015","carcinoma in situ of skin of cheek",11,2,"Carcinoma in situ of skin of cheek"
"Any malignancy","290732010","carcinoma in situ of oesophagus nos",11,2,"Carcinoma in situ of oesophagus NOS"
"Any malignancy","288744014","malignant neoplasm of retroperitoneum nos",11,2,"Malignant neoplasm of retroperitoneum NOS"
"Any malignancy","290784016","carcinoma in situ of vestibular fold",11,2,"Carcinoma in situ of vestibular fold"
"Any malignancy","289628017","hodgkin's granuloma of unspecified site",11,2,"Hodgkin's granuloma of unspecified site"
"Any malignancy","311636018","pseudosarcomatous fibromatosis",11,2,"Pseudosarcomatous fibromatosis"
"Any malignancy","81451000006114","unspec malig neop lymphoid/histiocytic of intrathoracic node",11,2,NA
"Any malignancy","510029018","carcinoma in situ of cheek",11,2,"Carcinoma in situ of cheek"
"Any malignancy","289361017","malignant neoplasm of corpus callosum",11,2,"Malignant neoplasm of corpus callosum"
"Any malignancy","201638010","carcinoma in situ of caecum",11,2,"Carcinoma in situ of caecum"
"Any malignancy","288935017","malignant neoplasm of long bones of leg nos",11,2,"Malignant neoplasm of long bone of lower limb"
"Any malignancy","153229015","carcinoma in situ of lip",11,2,"Carcinoma in situ of lip"
"Any malignancy","312041000006113","[m]malignant teratoma, undifferentiated type",11,2,"Malignant teratoma - undifferentiated"
"Any malignancy","94699019","lymphoma stage iii",11,2,"Lymphoma stage III"
"Any malignancy","289987014","malignant neoplasm lymphatic or haematopoietic tissue nos",11,2,"Malignant neoplasm lymphatic or haematopoietic tissue NOS"
"Any malignancy","458201000006115","acute myelomonocytic leukaemia",11,2,"M4 - Acute myelomonocytic leukaemia"
"Any malignancy","826641000006114","hodgkin's nodular sclerosis of intrapelvic lymph nodes",11,2,"Hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes"
"Any malignancy","291364014","[m]transitional cell papilloma or carcinoma nos",11,2,"[M]Transitional cell papilloma or carcinoma NOS"
"Any malignancy","312851000006119","[m]mixed epithelioid and spindle melanoma",11,2,"[M]Mixed epithelioid and spindle melanoma"
"Any malignancy","201652012","chronic lymphoid leukaemia",11,2,"Chronic lymphoid leukaemia"
"Any malignancy","400011000006119","[x]non-hodgkin's lymphoma nos",11,2,"[X]Non-Hodgkin's lymphoma NOS"
"Any malignancy","308291000006112","[m]epithelioma, malignant",11,2,"[M]Epithelioma, malignant"
"Any malignancy","289337012","malignant neoplasm of basal ganglia",11,2,"Malignant neoplasm of basal ganglia"
"Any malignancy","289949018","megakaryocytic leukaemia",11,2,"Megakaryocytic leukaemia"
"Any malignancy","621041000006116","diffuse non-hodgkin mixed sml & lge cell (diffuse) lymphoma",11,2,"Diffuse non-Hodgkin's mixed small and large cell (diffuse) lymphoma"
"Any malignancy","289889013","lymphoid leukaemia nos",11,2,"Lymphoid leukaemia NOS"
"Any malignancy","289933015","monocytic leukaemia nos",11,2,"Monocytic leukaemia NOS"
"Any malignancy","153107012","carcinoma in situ of bladder",11,2,"Carcinoma in situ of bladder"
"Any malignancy","289919015","monoblastic leukaemia",11,2,"Monoblastic leukaemia"
"Any malignancy","304791000006113","[m]adenomas and adenocarcinomas",11,2,"Adenoma AND/OR adenocarcinoma"
"Any malignancy","289908018","aleukaemic myeloid leukaemia",11,2,"Aleukaemic myeloid leukaemia"
"Any malignancy","727811000006111","malignant neoplasm lymphatic or haematopoietic tissue os",11,2,"Malignant neoplasm lymphatic or haematopoietic tissue OS"
"Any malignancy","288449015","malignant neoplasm of floor of mouth nos",11,2,"Malignant tumour of floor of mouth"
"Any malignancy","289884015","aleukaemic lymphoid leukaemia",11,2,"Aleukaemic lymphoid leukaemia"
"Any malignancy","1815251000006112","sarcoma of dendritic cells",11,2,"Sarcoma of dendritic cells"
"Any malignancy","289901012","subacute myeloid leukaemia",11,2,"Subacute myeloid leukaemia"
"Any malignancy","289895014","chronic eosinophilic leukaemia",11,2,"Chronic eosinophilic leukaemia"
"Any malignancy","554641000006115","chronic granulocytic leukaemia",11,2,"Chronic granulocytic leukaemia"
"Any malignancy","201612010","acute myeloid leukaemia",11,2,"Acute myeloid leukaemia"
"Any malignancy","155449012","malignant neoplasm of patella",11,2,"Malignant neoplasm of patella"
"Any malignancy","293618018","histiocytosis, unspecified",11,2,"Histiocytosis, unspecified"
"Any malignancy","380242014","carcinoma in situ of ear",11,2,"Carcinoma in situ of ear"
"Any malignancy","313521000006119","[m]myxoid chondrosarcoma",11,2,"Myxoid chondrosarcoma"
"Any malignancy","289352017","malignant neoplasm of choroid plexus",11,2,"Malignant neoplasm of choroid plexus"
"Any malignancy","153313014","carcinoma in situ of sigmoid colon",11,2,"Carcinoma in situ of sigmoid colon"
"Any malignancy","18484012","solitary plasmacytoma",11,2,"Plasmacytoma - disorder"
"Any malignancy","289867014","malignant plasma cell neoplasm, extramedullary plasmacytoma",11,2,"Malignant plasma cell neoplasm, extramedullary plasmacytoma"
"Any malignancy","288896017","malignant neoplasm of xiphoid process",11,2,"Malignant neoplasm of xiphoid process"
"Any malignancy","288635019","malignant neoplasm of pylorus of stomach",11,2,"Malignant neoplasm of pylorus of stomach"
"Any malignancy","695561000006118","multiple myeloma and immunoproliferative neoplasms",11,2,"Multiple myeloma and immunoproliferative neoplasms"
"Any malignancy","1216359012","[v]personal history of malignant neoplasm of oesophagus",11,2,"[V]Personal history of malignant neoplasm of oesophagus"
"Any malignancy","291326012","[m]carcinoma nos",11,2,"Malignant Neoplasm (Morphology)"
"Any malignancy","288561014","malignant neoplasm of anterior wall of nasopharynx nos",11,2,"Malignant tumour of anterior wall of nasopharynx"
"Any malignancy","290793015","carcinoma in situ of lower lobe bronchus and lung",11,2,"Carcinoma in situ of lower lobe bronchus and lung"
"Any malignancy","289849019","malignant neoplasms of lymphoid and histiocytic tissue nos",11,2,"Malignant neoplasms of lymphoid and histiocytic tissue NOS"
"Any malignancy","288602012","malignant neoplasm of upper third of oesophagus",11,2,"Malignant neoplasm of upper third of oesophagus"
"Any malignancy","826541000006113","hodgkin's mixed cellularity of intra-abdominal lymph nodes",11,2,"Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes"
"Any malignancy","1216361015","[v]personal history of myeloid leukaemia",11,2,"[V]Personal history of myeloid leukaemia"
"Any malignancy","291480015","[m]sweat gland adenocarcinoma",11,2,"Sweat gland adenocarcinoma"
"Any malignancy","311601000006112","[m]malig lymphoma, follicular centre cell, non-cleaved nos",11,2,"[M]Malignant lymphoma, follicular centre cell, non-cleaved NOS"
"Any malignancy","344670010","lymphoepithelioid lymphoma",11,2,"Lymphoepithelioid lymphoma"
"Any malignancy","288532013","malignant neoplasm of pharyngeal tonsil",11,2,"Malignant neoplasm of pharyngeal tonsil"
"Any malignancy","153410011","carcinoma in situ of vagina",11,2,"Carcinoma in situ of vagina"
"Any malignancy","1227556013","[v]personal history of malignant neoplasm of tongue",11,2,"[V]Personal history of malignant neoplasm of tongue"
"Any malignancy","288948018","malignant neoplasm of second metatarsal bone",11,2,"Malignant neoplasm of second metatarsal bone"
"Any malignancy","292110019","[x]malignant neoplasm of mediastinum, part unspecified",11,2,"Malignant tumour of mediastinum"
"Any malignancy","705211000006111","mesothelioma of pleura",11,2,"Malignant mesothelioma of pleura"
"Any malignancy","1815321000006110","anaplastic large cell lymphoma, alk-negative",11,2,"Anaplastic large cell lymphoma, ALK negative"
"Any malignancy","2659772015","histiocytic sarcoma",11,2,"Histiocytic sarcoma"
"Any malignancy","1815231000006117","other types of follicular lymphoma",11,2,"Other types of follicular lymphoma"
"Any malignancy","291398017","[m]tubular adenoma or adenocarcinoma nos",11,2,"[M]Tubular adenoma or adenocarcinoma NOS"
"Any malignancy","316961000006114","[m]squamous cell carcinoma, small cell, non-keratinising",11,2,"[M]Squamous cell carcinoma, small cell, non-keratinising"
"Any malignancy","291617017","[m]naevi or melanoma nos",11,2,"[M]Naevi or melanoma NOS"
"Any malignancy","288960017","malignant neoplasm of connective and other soft tissue",11,2,"Malignant neoplasm of connective and other soft tissue"
"Any malignancy","198006010","diffuse large b-cell lymphoma",11,2,"Diffuse large B-cell lymphoma"
"Any malignancy","291431013","[m]papillary adenocarcinoma nos",11,2,"Papillary adenocarcinoma"
"Any malignancy","289813015","other types of follicular non-hodgkin's lymphoma",11,2,"Other types of follicular non-Hodgkin's lymphoma"
"Any malignancy","1668101000000112","diffuse non-hodgkin's large cell lymphoma",11,2,"Diffuse non-Hodgkin's large cell lymphoma"
"Any malignancy","396251000006115","[x]malignant neoplasm of eye, brain and other parts of cent",11,2,"Malignant neoplasm of central nervous system"
"Any malignancy","289159016","malignant neoplasm of male breast nos",11,2,"Malignant neoplasm of male breast NOS"
"Any malignancy","289801013","diffuse non-hodgkin's small cleaved cell (diffuse) lymphoma",11,2,"Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma"
"Any malignancy","289223017","malignant neoplasm of undescended testis",11,2,"Malignant neoplasm of undescended testis"
"Any malignancy","746301000006117","leukaemic reticuloend of intra-abdominal lymph nodes",11,2,"Leukaemic reticuloendotheliosis of intra-abdominal lymph nodes"
"Any malignancy","2839871014","non-hodgkin lymphoma",11,2,"Non-Hodgkin lymphoma"
"Any malignancy","307251000006119","[m]congenital fibrosarcoma",11,2,"[M]Congenital fibrosarcoma"
"Any malignancy","456641000006119","acute erythraemia and erythroleukaemia",11,2,"Acute erythraemia and erythroleukaemia"
"Any malignancy","1222221019","[m]lymphoblastic lymphoma nos",11,2,"[M]Lymphoblastic lymphoma NOS"
"Any malignancy","310361000006113","[m]insulinoma, malignant",11,2,"Malignant insulinoma"
"Any malignancy","289590012","reticulosarcoma nos",11,2,"Reticulosarcoma NOS"
"Any malignancy","1216064018","[m]squamous cell carcinoma, keratinising type nos",11,2,"[M]Squamous cell carcinoma, keratinising type NOS"
"Any malignancy","291887011","[m]lymphomas, nos or diffuse",11,2,"[M]Lymphomas, NOS or diffuse"
"Any malignancy","288822013","malignant neoplasm of middle lobe, bronchus or lung",11,2,"Malignant neoplasm of middle lobe, bronchus or lung"
"Any malignancy","1221171011","malignant neuroleptic syndrome",11,2,"Malignant neuroleptic syndrome"
"Any malignancy","157686016","nodular lymphoma of intra-abdominal lymph nodes",11,2,"Nodular lymphoma of intra-abdominal lymph nodes"
"Any malignancy","289219013","malignant neoplasm of female genital organ nos",11,2,"Malignant tumour of female genital organ"
"Any malignancy","396381000006118","[x]malignant neoplasm of respiratory and intrathoracic orga",11,2,"[X]Malignant neoplasm of respiratory and intrathoracic organs"
"Any malignancy","745001000006114","leukaemic reticuloendotheliosis",11,2,"Leukaemic reticuloendotheliosis"
"Any malignancy","288991011","malignant neoplasm of connective and soft tissue of abdomen",11,2,"Malignant neoplasm of connective and soft tissue of abdomen"
"Any malignancy","154193012","malignant histiocytosis of spleen",11,2,"Malignant histiocytosis of spleen"
"Any malignancy","728581000006115","malignant histiocytosis of lymph nodes inguinal and leg",11,2,"Malignant histiocytosis of lymph nodes of inguinal region and lower limb"
"Any malignancy","154185012","malignant histiocytosis of intrathoracic lymph nodes",11,2,"Malignant histiocytosis of intrathoracic lymph nodes"
"Any malignancy","406054011","carcinoma in situ of lip, oral cavity and pharynx",11,2,"Carcinoma in situ of lip, oral cavity and pharynx"
"Any malignancy","289748015","sezary's disease of lymph nodes of multiple sites",11,2,"Sezary's disease of lymph nodes of multiple sites"
"Any malignancy","289746016","sezary's disease of intrapelvic lymph nodes",11,2,"Sezary's disease of intrapelvic lymph nodes"
"Any malignancy","289080013","malignant neoplasm of skin of external auditory meatus",11,2,"Malignant neoplasm of skin of external auditory meatus"
"Any malignancy","288811014","malignant neoplasm of trachea nos",11,2,"Malignant neoplasm of trachea NOS"
"Any malignancy","1219468014","malignant neoplasm, overlapping lesion of larynx",11,2,"Malignant neoplasm, overlapping lesion of larynx"
"Any malignancy","146651000006118","sezary's disease",11,2,"Sezary's disease"
"Any malignancy","174577011","intraductal carcinoma in situ of breast",11,2,"Intraductal carcinoma in situ of breast"
"Any malignancy","403710016","lymphoid and histiocytic malignancy nos",11,2,"Lymphoid and histiocytic malignancy NOS"
"Any malignancy","396511000006119","[x]malignant neoplasm/ill-defined sites within resp system",11,2,"[X]Malignant neoplasm/ill-defined sites within resp system"
"Any malignancy","292213013","[x]melanoma in situ, unspecified",11,2,"[X]Melanoma in situ, unspecified"
"Any malignancy","110346017","lymphoma stage iv",11,2,"Lymphoma stage IV"
"Any malignancy","289206014","malignant neoplasm of gartner's duct",11,2,"Malignant neoplasm of Gartner's duct"
"Any malignancy","721271000006114","malignant neoplasm of thymus",11,2,"Malignant neoplasm of thymus"
"Any malignancy","312101000006110","[m]mast cell sarcoma",11,2,"[M]Mast cell sarcoma"
"Any malignancy","1221209015","[m]hepatocellular carcinoma, fibrolamellar",11,2,"[M] Hepatocellular carcinoma, fibrolamellar"
"Any malignancy","729331000006116","malig neop of bone, connective tissue, skin and breast",11,2,"Malignant neoplasm of bone, connective tissue, skin and breast"
"Any malignancy","289701017","hodgkin's disease, lymphocytic depletion nos",11,2,"Hodgkin's disease, lymphocytic depletion NOS"
"Any malignancy","317201000006115","[m]superficial spreading melanoma",11,2,"Superficial spreading melanoma"
"Any malignancy","291377017","[m]pancreatic adenoma or carcinoma nos",11,2,"[M]Pancreatic adenoma or carcinoma NOS"
"Any malignancy","289633018","hodgkin's granuloma of lymph nodes of axilla and upper limb",11,2,"Hodgkin's granuloma of lymph nodes of axilla and upper limb"
"Any malignancy","155364013","malignant neoplasm of male breast",11,2,"Malignant neoplasm of male breast"
"Any malignancy","746031000006110","letterer-siwe disease of lymph nodes of axilla and arm",11,2,"Letterer-Siwe disease of lymph nodes of axilla and upper limb"
"Any malignancy","746311000006119","leukaemic reticuloend of lymph nodes inguinal region and leg",11,2,"Leukaemic reticuloendotheliosis of lymph nodes of inguinal region and lower limb"
"Any malignancy","291958014","[m]histiocytic medullary reticulosis",11,2,"[M]Histiocytic medullary reticulosis"
"Any malignancy","289743012","sezary's disease of intra-abdominal lymph nodes",11,2,"Sezary's disease of intra-abdominal lymph nodes"
"Any malignancy","153388012","carcinoma in situ of transverse colon",11,2,"Carcinoma in situ of transverse colon"
"Any malignancy","312281000006114","[m]melanoma nos",11,2,"Melanocytic lesion morphology"
"Any malignancy","1220814017","[m]angiocentrict-cell lymphoma",11,2,"[M]AngiocentricT-cell lymphoma"
"Any malignancy","155425014","malignant neoplasm of optic nerve",11,2,"Malignant neoplasm of optic nerve"
"Any malignancy","291448017","[m]parathyroid adenoma or adenocarcinoma nos",11,2,"[M]Parathyroid adenoma or adenocarcinoma NOS"
"Any malignancy","289122017","malignant neoplasm of skin of lower leg",11,2,"Malignant neoplasm of skin of lower leg"
"Any malignancy","155536016","malignant neoplasm of skin of forehead",11,2,"Malignant neoplasm of skin of forehead"
"Any malignancy","291943018","[m]malignant lymphoma, centroblastic-centrocytic, follicular",11,2,"[M]Malignant lymphoma, centroblastic-centrocytic, follicular"
"Any malignancy","291383019","[m]hepatobiliary adenoma or carcinoma nos",11,2,"Neoplasm of biliary tract"
"Any malignancy","289111016","malignant neoplasm of skin of fore-arm",11,2,"Malignant neoplasm of skin of fore-arm"
"Any malignancy","459399016","local recurrence of malignant tumour of urinary bladder",11,2,"Local recurrence of malignant tumour of urinary bladder"
"Any malignancy","826671000006118","hodgkin's nodular sclerosis of lymph nodes of multiple sites",11,2,"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites"
"Any malignancy","311911000006116","[m]malignant lymphoma, stem cell type",11,2,"[M]Malignant lymphoma, stem cell type"
"Any malignancy","289191015","malignant neoplasm of myometrium of corpus uteri",11,2,"Malignant neoplasm of myometrium of corpus uteri"
"Any malignancy","826631000006116","hodgkin's nodular sclerosis of intra-abdominal lymph nodes",11,2,"Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes"
"Any malignancy","826651000006111","hodgkin's nodular sclerosis of intrathoracic lymph nodes",11,2,"Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes"
"Any malignancy","289876019","lymphoid leukaemia",11,2,"Lymphoid leukaemia"
"Any malignancy","459378019","local recurrence of malignant tumour of breast",11,2,"Local recurrence of malignant tumour of breast"
"Any malignancy","396531000006113","[x]malignant neoplasm/other specified female genital organs",11,2,"Malignant tumor of female genital organ"
"Any malignancy","153149019","carcinoma in situ of endometrium",11,2,"Carcinoma in situ of endometrium"
"Any malignancy","587201000006115","non - hodgkin's lymphoma",11,2,"Non-Hodgkin's lymphoma"
"Any malignancy","288761012","angiosarcoma of spleen",11,2,"Angiosarcoma of spleen"
"Any malignancy","153340014","carcinoma in situ of skin of lip",11,2,"Carcinoma in situ of skin of lip"
"Any malignancy","726361000006119","malignant neoplasm of common bile duct",11,2,"Malignant neoplasm of common bile duct"
"Any malignancy","154872012","hodgkin's sarcoma of spleen",11,2,"Hodgkin's sarcoma of spleen"
"Any malignancy","289643015","hodgkin's sarcoma of lymph nodes of axilla and upper limb",11,2,"Hodgkin's sarcoma of lymph nodes of axilla and upper limb"
"Any malignancy","154862014","hodgkin's sarcoma of intra-abdominal lymph nodes",11,2,"Hodgkin's sarcoma of intra-abdominal lymph nodes"
"Any malignancy","403698016","malignant neoplasm of short bones of leg",11,2,"Malignant neoplasm of short bone of lower limb"
"Any malignancy","819461000006112","heilmeyer - schoner disease",11,2,"Heilmeyer - Schoner disease"
"Any malignancy","313931000006111","[m]neurofibrosarcoma",11,2,"[M]Neurofibrosarcoma"
"Any malignancy","154837014","hodgkin's granuloma of intrapelvic lymph nodes",11,2,"Hodgkin's granuloma of intrapelvic lymph nodes"
"Any malignancy","344761000006113","[v]personal history of malig neop of gastrointestinal tract",11,2,"[V]Personal history of malignant neoplasm of gastrointestinal tract"
"Any malignancy","288355012","malignant neoplasm of lower lip, vermilion border nos",11,2,"Malignant tumour of vermilion border of lower lip"
"Any malignancy","288404018","malignant neoplasm of overlapping lesion of lip",11,2,"Malignant neoplasm of overlapping lesion of lip"
"Any malignancy","287029018","hiv disease resulting in burkitt's lymphoma",11,2,"Burkitt lymphoma co-occurrent with human immunodeficiency virus infection"
"Any malignancy","307441000006115","[m]cystosarcoma phyllodes, malignant",11,2,"Malignant cystosarcoma phyllodes"
"Any malignancy","289626018","hodgkin's paragranuloma of lymph nodes of multiple sites",11,2,"Hodgkin's paragranuloma of lymph nodes of multiple sites"
"Any malignancy","154859011","hodgkin's paragranuloma of spleen",11,2,"Hodgkin's paragranuloma of spleen"
"Any malignancy","289624015","hodgkin's paragranuloma of intrapelvic lymph nodes",11,2,"Hodgkin's paragranuloma of intrapelvic lymph nodes"
"Any malignancy","288772019","malignant neoplasm of nasal conchae",11,2,"Malignant neoplasm of nasal conchae"
"Any malignancy","155259011","malignant neoplasm of frontal bone",11,2,"Malignant neoplasm of frontal bone"
"Any malignancy","307831000006110","[m]embryonal sarcoma",11,2,"[M]Embryonal sarcoma"
"Any malignancy","1815031000006110","hodgkin lymphoma",11,2,"Hodgkin lymphoma"
"Any malignancy","290843013","carcinoma in situ of skin of lower limb and hip",11,2,"Carcinoma in situ of skin of lower limb"
"Any malignancy","1219533011","malignant neoplasm, overlapping lesion of floor of mouth",11,2,"Malignant neoplasm, overlapping lesion of floor of mouth"
"Any malignancy","403771011","carcinoma of lip",11,2,"Carcinoma of lip"
"Any malignancy","155155010","malignant neoplasm of broad ligament",11,2,"Malignant neoplasm of broad ligament"
"Any malignancy","531851000006119","ca female breast",11,2,"Ca female breast"
"Any malignancy","291525012","[m]mucinous adenoma and adenocarcinoma",11,2,"[M]Mucinous adenoma and adenocarcinoma"
"Any malignancy","666261000006112","familial erythrophagocytic lymph histiocytosis",11,2,"Familial erythrophagocytic lymph histiocytosis"
"Any malignancy","177051000006111","renal malignant neoplasm",11,2,"Malignant tumour of kidney"
"Any malignancy","305791000006112","[m]basal cell carcinoma, fibroepithelial type",11,2,"Fibroepithelial basal cell carcinoma"
"Any malignancy","396111000006110","[x]mal neoplasm/overlap les/periph nerv+autonomic nerv systm",11,2,"Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system"
"Any malignancy","289593014","lymphosarcoma of lymph nodes of head, face and neck",11,2,"Lymphosarcoma of lymph nodes of head, face and neck"
"Any malignancy","289591011","lymphosarcoma",11,2,"Lymphosarcoma"
"Any malignancy","723031000006117","malignant neoplasm of postcricoid region",11,2,"Malignant neoplasm of postcricoid region"
"Any malignancy","2475984012","malignant neoplasm of palatoglossal arch",11,2,"Malignant neoplasm of palatoglossal arch"
"Any malignancy","291695012","[m]cystosarcoma phyllodes nos",11,2,"[M]Cystosarcoma phyllodes NOS"
"Any malignancy","291374012","[m]adenocarcinoma, metastatic, nos",11,2,"Adenocarcinoma, metastatic"
"Any malignancy","312421000006114","[m]mesenchymal chondrosarcoma",11,2,"[M]Mesenchymal chondrosarcoma"
"Any malignancy","289179012","malignant neoplasm of cervical stump",11,2,"Malignant neoplasm of cervical stump"
"Any malignancy","315631000006118","[m]polygonal cell carcinoma",11,2,"[M]Polygonal cell carcinoma"
"Any malignancy","139571000006117","solitary myeloma",11,2,"Solitary myeloma"
"Any malignancy","722481000006116","malignant neoplasm of renal pelvis",11,2,"Malignant tumour of renal pelvis"
"Any malignancy","304551000006111","[m]adenocarcinoma in situ",11,2,"Adenocarcinoma in situ"
"Any malignancy","454091013","primary malignant neoplasm of unknown site",11,2,"Primary malignant neoplasm of unknown site"
