"prodcodeid","productname","groups","dmdid","formulation","routeofadministration","drugsubstancename","substancestrength","bnfchapter","drugissues","termfromemis","term"
"5140541000033119",NA,7,"","","",NA,NA,"",NA,"",NA
"472541000033118",NA,13,"","","",NA,NA,"",NA,"",NA
"2494641000033119",NA,13,"","","",NA,NA,"",NA,"",NA
"1051241000033115",NA,13,"","","",NA,NA,"",NA,"",NA
"8028941000033114",NA,7,"","","",NA,NA,"",NA,"",NA
"228141000033114",NA,13,"","","",NA,NA,"",NA,"",NA
"473641000033113",NA,13,"","","",NA,NA,"",NA,"",NA
"2494541000033115",NA,13,"","","",NA,NA,"",NA,"",NA
"228041000033110",NA,13,"","","",NA,NA,"",NA,"",NA
"1221541000033113",NA,1,"","","",NA,NA,"",NA,"",NA
"5990141000033115","Prednisone 1mg modified-release tablets",11,"17872811000001100","Modified-release tablet","Oral","Prednisone","1.000mg","6030200",400,"prednisone 1mg modified-release tablets","Prednisone 1mg modified-release tablets"
"2872741000033119","NULL",9,"NULL","NULL","NULL","NULL","NULL","NULL",8000,"mometasone furoate dry powder inhaler 400 micrograms/dose, 60 doses","Mometasone Furoate Dry Powder Inhaler 400 micrograms/dose, 60 doses"
"370041000033115","Co-amoxiclav 250mg/125mg tablets",13,"39732111000001101","Tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","250.000mg + 125.000mg","5010103",4000000,"co-amoxiclav 250mg/125mg tablets","Co-amoxiclav 250mg/125mg tablets"
"5707341000033113","Onbrez Breezhaler 300microgram inhalation powder capsules with device",6,"17299911000001102","Inhalation powder","Inhalation","Indacaterol maleate","300.000microgram","3010101",5000,"onbrez breezhaler 300microgram inhalation powder capsules with device (novartis pharmaceuticals uk ltd)","Onbrez Breezhaler 300microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)"
"3198541000033119","Easyhaler Salbutamol sulfate 100micrograms/dose dry powder inhaler",1,"9205211000001104","Inhalation powder","Inhalation","Salbutamol","100.000microgram/1.000dose","3010101",500000,"easyhaler salbutamol sulfate 100micrograms/dose dry powder inhaler (orion pharma (uk) ltd)","Easyhaler Salbutamol sulfate 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"536041000033118","NULL",13,"NULL","NULL","NULL","NULL","NULL","NULL",2000,"erythroped p.i. sachets 125 mg/sachet","Erythroped P.i. sachets 125 mg/sachet"
"13300741000033118","Erythromycin stearate 500mg tablets",13,"324181004","Tablet","Oral","Erythromycin stearate","500.000mg","5010500",3000,"erythromycin stearate 500mg tablets","Erythromycin stearate 500mg tablets"
"2067541000033118","Flixotide 125micrograms/dose Evohaler",9,"398511000001105"," Pressurised inhalation","Inhalation","Fluticasone propionate","125.000microgram/1.000dose","3020000",100000,"flixotide 125micrograms/dose evohaler (glaxosmithkline uk ltd)","Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"772941000033117","Ipratropium bromide 40microgram inhalation powder capsules",4,"39717411000001100","Inhalation powder","Inhalation","Ipratropium bromide","40.000microgram","NULL",20000,"ipratropium bromide 40microgram inhalation powder capsules","Ipratropium bromide 40microgram inhalation powder capsules"
"4499041000033118","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL",400,"novolizer salbulin inhalation cartridge + device 100 micrograms/dose","Novolizer Salbulin Inhalation Cartridge + Device 100 micrograms/dose"
"12635241000033112","Flutiform K-haler 50micrograms/dose / 5micrograms/dose breath actuated inhaler",7,"35650811000001109","  Pressurised inhalation","Inhalation","Fluticasone propionate/ Formoterol fumarate dihydrate","50.000microgram/1.000dose + 5.000microgram/1.000dose","NULL",1000,"flutiform k-haler 50micrograms/dose / 5micrograms/dose breath actuated inhaler (napp pharmaceuticals ltd)","Flutiform K-haler 50micrograms/dose / 5micrograms/dose breath actuated inhaler (Napp Pharmaceuticals Ltd)"
"1144241000033110","NULL",9,"NULL","NULL","NULL","NULL","NULL","NULL",100000,"pulmicort refill canister 200 micrograms/dose","Pulmicort Refill canister 200 micrograms/dose"
"1145241000033114","Pulmicort 400 Turbohaler",9,"3228711000001106","Inhalation powder","Inhalation","Budesonide","400.000microgram/1.000dose","3020000",500000,"pulmicort 400 turbohaler (astrazeneca uk ltd)","Pulmicort 400 Turbohaler (AstraZeneca UK Ltd)"
"3141341000033112","Budesonide 200micrograms/dose dry powder inhalation cartridge with device",9,"8024611000001102","Inhalation powder","Inhalation","Budesonide","200.000microgram/1.000dose","3020000",5000,"budesonide 200micrograms/dose dry powder inhalation cartridge with device","Budesonide 200micrograms/dose dry powder inhalation cartridge with device"
"590941000033111","Flixotide 250microgram disks",9,"3103511000001100","Inhalation powder","Inhalation","Fluticasone propionate","250.000microgram","3020000",70000,"flixotide 250microgram disks (glaxosmithkline uk ltd)","Flixotide 250microgram disks (GlaxoSmithKline UK Ltd)"
"1144341000033117","NULL",9,"NULL","NULL","NULL","NULL","NULL","NULL",20000,"pulmicort ls refill canister 50 micrograms/dose","Pulmicort Ls Refill canister 50 micrograms/dose"
"9995641000033112","Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler",8,"28365011000001100","Inhalation powder","Inhalation","Aclidinium bromide/ Formoterol fumarate dihydrate","396.000microgram/1.000dose + 11.800microgram/1.000dose","NULL",30000,"aclidinium bromide 396micrograms/dose / formoterol 11.8micrograms/dose dry powder inhaler","Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler"
"12370841000033110","Aloflute 25micrograms/dose / 125micrograms/dose inhaler",7,"34677011000001107"," Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","NULL",2000,"aloflute 25micrograms/dose / 125micrograms/dose inhaler (mylan)","Aloflute 25micrograms/dose / 125micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"1914441000033118","Fluticasone propionate 100micrograms/dose dry powder inhaler",9,"38897811000001101","Inhalation powder","Inhalation","Fluticasone propionate","100.000microgram/1.000dose","3020000",300000,"fluticasone propionate 100micrograms/dose dry powder inhaler","Fluticasone propionate 100micrograms/dose dry powder inhaler"
"8494541000033111","Dilacort 5mg gastro-resistant tablets",11,"32652511000001109","Gastro-resistant tablet","Oral","Prednisolone","5.000mg","NULL",40,"dilacort 5mg gastro-resistant tablets (crescent pharma ltd)","Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd)"
"804941000033116","Klaricid XL 500mg tablets",13,"40811000001101","Modified-release tablet","Oral","Clarithromycin","500.000mg","5010500",50000,"klaricid xl 500mg tablets (mylan)","Klaricid XL 500mg tablets (Viatris UK Healthcare Ltd)"
"370141000033116","Co-amoxiclav 500mg/125mg tablets",13,"39732211000001107","Tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","500.000mg + 125.000mg","5010103",4000000,"co-amoxiclav 500mg/125mg tablets","Co-amoxiclav 500mg/125mg tablets"
"11788941000033110","Tiotropium bromide 10microgram inhalation powder capsules with device",10,"33596311000001107","Inhalation powder","Inhalation","Tiotropium bromide","10.000microgram","NULL",70000,"tiotropium bromide 10microgram inhalation powder capsules with device","Tiotropium bromide 10microgram inhalation powder capsules with device"
"11789041000033118","Braltus 10microgram inhalation powder capsules with Zonda inhaler",10,"33594911000001100","Inhalation powder","Inhalation","Tiotropium bromide","10.000microgram","NULL",1000000,"braltus 10microgram inhalation powder capsules with zonda inhaler (teva uk ltd)","Braltus 10microgram inhalation powder capsules with Zonda inhaler (Teva UK Ltd)"
"3075441000033112","Ipratropium bromide 20micrograms/dose inhaler CFC free",4,"38894511000001107"," Pressurised inhalation","Inhalation","Ipratropium bromide","20.000microgram/1.000dose","NULL",3000000,"ipratropium bromide 20micrograms/dose inhaler cfc free","Ipratropium bromide 20micrograms/dose inhaler CFC free"
"52041000033115","Ampicillin 125mg/5ml oral suspension",13,"323572009","Oral suspension","Oral","Ampicillin","25.000mg/1.000ml","5010103",40000,"ampicillin 125mg/5ml oral suspension","Ampicillin 125mg/5ml oral suspension"
"534741000033112","NULL",13,"NULL","NULL","NULL","NULL","NULL","NULL",1000,"erythroped granules forte 500 mg/sachet","Erythroped Granules forte 500 mg/sachet"
"258841000033116","Ciprofloxacin 500mg tablets",13,"39687811000001107","Tablet","Oral","Ciprofloxacin hydrochloride","500.000mg","5011200",3000000,"ciprofloxacin 500mg tablets","Ciprofloxacin 500mg tablets"
"429541000033111","NULL",11,"NULL","NULL","NULL","NULL","NULL","NULL",80,"deltastab tablets 5 mg","Deltastab Tablets 5 mg"
"10212141000033111","Prednisolone 10mg tablets",11,"28808411000001103","Tablet","Oral","Prednisolone","10.000mg","NULL",10000,"prednisolone 10mg tablets","Prednisolone 10mg tablets"
"1907341000033117","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL",6000,"salbutamol dry powder disks + disk inhaler 200 micrograms","Salbutamol Dry powder disks + disk inhaler 200 micrograms"
"359141000033110","NULL",13,"NULL","NULL","NULL","NULL","NULL","NULL",2000,"co-amoxiclav s/f junior suspension","Co-Amoxiclav S/f junior suspension"
"2890341000033112","Avelox 400mg tablets",13,"4360711000001109","Tablet","Oral","Moxifloxacin hydrochloride","400.000mg","5011200",1000,"avelox 400mg tablets (bayer plc)","Avelox 400mg tablets (Bayer Plc)"
"537441000033113","Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free",13,"36564711000001108","Oral suspension","Oral","Erythromycin ethyl succinate","25.000mg/1.000ml","5010500",800000,"erythromycin ethyl succinate 125mg/5ml oral suspension sugar free","Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free"
"12530541000033113","Kelhale 50micrograms/dose inhaler",9,"35430111000001100"," Pressurised inhalation","Inhalation","Beclometasone dipropionate","50.000microgram/1.000dose","NULL",10000,"kelhale 50micrograms/dose inhaler (cipla eu ltd)","Kelhale 50micrograms/dose inhaler (Cipla EU Ltd)"
"47241000033111","NULL",13,"NULL","NULL","NULL","NULL","NULL","NULL",4000,"amoxil fiztabs 125 mg","Amoxil Fiztabs 125 mg"
"230741000033112","Cefaclor 125mg/5ml oral suspension sugar free",13,"36134011000001105","Oral suspension","Oral","Cefaclor monohydrate","25.000mg/1.000ml","5010201",90000,"cefaclor 125mg/5ml oral suspension sugar free","Cefaclor 125mg/5ml oral suspension sugar free"
"3344041000033116","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL",90000,"salbutamol dry powder inhaler 200 micrograms/actuation, 200 dose","Salbutamol Dry Powder Inhaler 200 micrograms/actuation, 200 dose"
"538541000033110","NULL",13,"NULL","NULL","NULL","NULL","NULL","NULL",20000,"erythromycin sugar free suspension 125mg/5ml","Erythromycin Sugar free suspension 125mg/5ml"
"1228941000033111","Salbutamol 400microgram inhalation powder blisters with device",1,"35936911000001101","Inhalation powder","Inhalation","Salbutamol sulfate","400.000microgram","NULL",40000,"salbutamol 400microgram inhalation powder blisters with device","Salbutamol 400microgram inhalation powder blisters with device"
"93141000033115","Augmentin 375mg dispersible tablets",13,"386811000001108","Dispersible tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","250.000mg + 125.000mg","NULL",20000,"augmentin 375mg dispersible tablets (glaxosmithkline uk ltd)","Augmentin 375mg dispersible tablets (GlaxoSmithKline UK Ltd)"
"2587641000033117","Symbicort 200/6 Turbohaler",7,"3294611000001104","Inhalation powder","Inhalation","Budesonide/ Formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","3020000",4000000,"symbicort 200/6 turbohaler (astrazeneca uk ltd)","Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd)"
"93941000033118","NULL",13,"NULL","NULL","NULL","NULL","NULL","NULL",10000,"augmentin junior suspension","Augmentin Junior suspension"
"12901441000033118","Soprobec 100micrograms/dose inhaler",9,"36603611000001108"," Pressurised inhalation","Inhalation","Beclometasone dipropionate","100.000microgram/1.000dose","NULL",60000,"soprobec 100micrograms/dose inhaler (glenmark pharmaceuticals europe ltd)","Soprobec 100micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)"
"12403741000033110","Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler",7,"34812111000001106","Inhalation powder","Inhalation","Budesonide/ Formoterol fumarate dihydrate","400.000microgram/1.000dose + 12.000microgram/1.000dose","NULL",7000,"fobumix easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (orion pharma (uk) ltd)","Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"94441000033113","NULL",13,"NULL","NULL","NULL","NULL","NULL","NULL",10000,"augmentin paediatric suspension","Augmentin Paediatric suspension"
"3081041000033114","Beclometasone 100microgram inhalation powder blisters with device",9,"35907711000001105","Inhalation powder","Inhalation","Beclometasone dipropionate","100.000microgram","NULL",10000,"beclometasone 100microgram inhalation powder blisters with device","Beclometasone 100microgram inhalation powder blisters with device"
"8101841000033113","Fluticasone 250micrograms/dose / Formoterol 10micrograms/dose inhaler CFC free",7,"21113811000001105"," Pressurised inhalation","Inhalation","Fluticasone propionate/ Formoterol fumarate dihydrate","250.000microgram/1.000dose + 10.000microgram/1.000dose","3020000",100000,"fluticasone 250micrograms/dose / formoterol 10micrograms/dose inhaler cfc free","Fluticasone 250micrograms/dose / Formoterol 10micrograms/dose inhaler CFC free"
"1207741000033115","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL",40,"salbutamol autohaler 100 micrograms/puff","Salbutamol Autohaler 100 micrograms/puff"
"1671141000033117","Qvar 100 inhaler",9,"3175611000001106"," Pressurised inhalation","Inhalation","Beclometasone dipropionate","100.000microgram/1.000dose","3020000",3000000,"qvar 100 inhaler (teva uk ltd)","Qvar 100 inhaler (Teva UK Ltd)"
"5150141000033114","Doxycycline 40mg modified-release capsules",13,"36564611000001104","Modified-release capsule","Oral","Doxycycline monohydrate","40.000mg","5010300",30000,"doxycycline 40mg modified-release capsules","Doxycycline 40mg modified-release capsules"
"12434441000033111","Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler",7,"34950611000001103","Inhalation powder","Inhalation","Budesonide/ Formoterol fumarate dihydrate","100.000microgram/1.000dose + 6.000microgram/1.000dose","NULL",6000,"fobumix easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler (orion pharma (uk) ltd)","Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"1594141000033117","Co-amoxiclav 875mg/125mg tablets",13,"39732511000001105","Tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","875.000mg + 125.000mg","NULL",100,"co-amoxiclav 875mg/125mg tablets","Co-amoxiclav 875mg/125mg tablets"
"1626141000033110","Levofloxacin 500mg/100ml solution for infusion vials",13,"36038911000001106","Solution for infusion","Intravenous","Levofloxacin hemihydrate","5.000mg/1.000ml","5011200",20,"levofloxacin 500mg/100ml solution for infusion vials","Levofloxacin 500mg/100ml solution for infusion vials"
"231641000033111","Cefadroxil 500mg/5ml oral suspension",13,"323816009","Oral suspension","Oral","Cefadroxil monohydrate","100.000mg/1.000ml","NULL",10000,"cefadroxil 500mg/5ml oral suspension","Cefadroxil 500mg/5ml oral suspension"
"56041000033119","Amoxil 250mg/5ml syrup sucrose free",13,"689711000001103","Oral suspension","Oral","Amoxicillin trihydrate","50.000mg/1.000ml","NULL",90000,"amoxil 250mg/5ml syrup sucrose free (glaxosmithkline uk ltd)","Amoxil 250mg/5ml syrup sucrose free (GlaxoSmithKline UK Ltd)"
"1252341000033111","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL",400000,"salbutamol rotacaps 400 micrograms","Salbutamol Rotacaps 400 micrograms"
"581741000033116","NULL",9,"NULL","NULL","NULL","NULL","NULL","NULL",30,"fluticasone propionate disks with diskhaler 50 micrograms/dose","Fluticasone Propionate Disks with diskhaler 50 micrograms/dose"
"2494341000033110","NULL",13,"NULL","NULL","NULL","NULL","NULL","NULL",4,"*penicillin tablets","*Penicillin Tablets"
"537241000033112","Erythroped Forte SF 500mg/5ml oral suspension",13,"178911000001100","Oral suspension","Oral","Erythromycin ethyl succinate","100.000mg/1.000ml","5010500",40000,"erythroped forte sf 500mg/5ml oral suspension (advanz pharma)","Erythroped Forte SF 500mg/5ml oral suspension (Advanz Pharma)"
"1228741000033113","NULL",6,"NULL","NULL","NULL","NULL","NULL","NULL",300,"salmeterol xinafoate disks with diskhaler 50 micrograms/blister","Salmeterol Xinafoate Disks with diskhaler 50 micrograms/blister"
"1255041000033118","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL",9000,"salbutamol spacehaler 100 micrograms/puff","Salbutamol Spacehaler 100 micrograms/puff"
"1130741000033110","Prednisolone 25mg tablets",11,"325450008","Tablet","Oral","Prednisolone","25.000mg","6030200",200000,"prednisolone 25mg tablets","Prednisolone 25mg tablets"
"13178841000033113","Spiriva Respimat 2.5micrograms/dose inhalation solution refill cartridge",10,"37677711000001102"," Inhalation solution","Inhalation","Tiotropium bromide","2.500microgram/1.000dose","NULL",50000,"spiriva respimat 2.5micrograms/dose inhalation solution refill cartridge (boehringer ingelheim ltd)","Spiriva Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd)"
"1267641000033111","Serevent 25micrograms/dose inhaler",6,"408911000001105"," Pressurised inhalation","Inhalation","Salmeterol xinafoate","25.000microgram/1.000dose","NULL",600000,"serevent 25micrograms/dose inhaler (glaxosmithkline uk ltd)","Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)"
"12634941000033116","Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free",7,"35647511000001107","  Pressurised inhalation","Inhalation","Fluticasone propionate/ Formoterol fumarate dihydrate","125.000microgram/1.000dose + 5.000microgram/1.000dose","NULL",2000,"fluticasone 125micrograms/dose / formoterol 5micrograms/dose breath actuated inhaler cfc free","Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free"
"1145141000033119","Pulmicort 200 Turbohaler",9,"3112411000001105","Inhalation powder","Inhalation","Budesonide","200.000microgram/1.000dose","3020000",800000,"pulmicort 200 turbohaler (astrazeneca uk ltd)","Pulmicort 200 Turbohaler (AstraZeneca UK Ltd)"
"2174141000033117","Salbutamol 95micrograms/dose dry powder inhaler",1,"35937211000001107","Inhalation powder","Inhalation","Salbutamol sulfate","95.000microgram/1.000dose","3010101",200000,"salbutamol 95micrograms/dose dry powder inhaler","Salbutamol 95micrograms/dose dry powder inhaler"
"12431141000033117","Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler",12,"34952211000001104","Inhalation powder","Inhalation","Fluticasone furoate/ Umeclidinium bromide/ Vilanterol trifenatate","92.000microgram/1.000dose + 65.000microgram/1.000dose + 22.000microgram/1.000dose","NULL",500000,"trelegy ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler (glaxosmithkline uk ltd)","Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd)"
"536541000033111","NULL",13,"NULL","NULL","NULL","NULL","NULL","NULL",3000,"erythroped a sachets 1 gram/sachet","Erythroped A Sachets 1 gram/sachet"
"12529341000033112","Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler",7,"35515311000001106","Inhalation powder","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","500.000microgram/1.000dose + 50.000microgram/1.000dose","NULL",1000,"fusacomb easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler (orion pharma (uk) ltd)","Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"2798341000033112","Pulmicort 200micrograms/dose inhaler with Nebuchamber",9,"4860811000001104"," Pressurised inhalation","Inhalation","Budesonide","200.000microgram/1.000dose","3020000",300,"pulmicort 200micrograms/dose inhaler with nebuchamber (astrazeneca uk ltd)","Pulmicort 200micrograms/dose inhaler with Nebuchamber (AstraZeneca UK Ltd)"
"3080541000033110","Beclometasone 250micrograms/dose breath actuated inhaler",9,"35908611000001102"," Pressurised inhalation","Inhalation","Beclometasone dipropionate","250.000microgram/1.000dose","3020000",500000,"beclometasone 250micrograms/dose breath actuated inhaler","Beclometasone 250micrograms/dose breath actuated inhaler"
"10715041000033111","AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler",7,"30950311000001106","Inhalation powder","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","500.000microgram/1.000dose + 50.000microgram/1.000dose","3020000",70000,"airflusal forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (sandoz ltd)","AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (Sandoz Ltd)"
"12901641000033116","Soprobec 250micrograms/dose inhaler",9,"36603811000001107"," Pressurised inhalation","Inhalation","Beclometasone dipropionate","250.000microgram/1.000dose","NULL",800,"soprobec 250micrograms/dose inhaler (glenmark pharmaceuticals europe ltd)","Soprobec 250micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)"
"52141000033116","Ampicillin 250mg/5ml oral suspension",13,"323573004","Oral suspension","Oral","Ampicillin","50.000mg/1.000ml","5010103",10000,"ampicillin 250mg/5ml oral suspension","Ampicillin 250mg/5ml oral suspension"
"3089741000033113","Formoterol 12micrograms/dose dry powder inhaler",6,"39113011000001109","Inhalation powder","Inhalation","Formoterol fumarate dihydrate","12.000microgram/1.000dose","3010101",300000,"formoterol 12micrograms/dose dry powder inhaler","Formoterol 12micrograms/dose dry powder inhaler"
"98441000033116","Azithromycin 200mg/5ml oral suspension",13,"324253001","Oral suspension","Oral","Azithromycin","40.000mg/1.000ml","5010500",300000,"azithromycin 200mg/5ml oral suspension","Azithromycin 200mg/5ml oral suspension"
"3082741000033118","Beclometasone 50micrograms/dose inhaler CFC free",9,"35909611000001106"," Pressurised inhalation","Inhalation","Beclometasone dipropionate","50.000microgram/1.000dose","3020000",200000,"beclometasone 50micrograms/dose inhaler cfc free","Beclometasone 50micrograms/dose inhaler CFC free"
"9531441000033113","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler",7,"26148711000001101","Inhalation powder","Inhalation","Beclometasone dipropionate/ Formoterol fumarate dihydrate","100.000microgram/1.000dose + 6.000microgram/1.000dose","3020000",60000,"beclometasone 100micrograms/dose / formoterol 6micrograms/dose dry powder inhaler","Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler"
"3943641000033117","Clenil Modulite 250micrograms/dose inhaler",9,"10619611000001102"," Pressurised inhalation","Inhalation","Beclometasone dipropionate","250.000microgram/1.000dose","3020000",700000,"clenil modulite 250micrograms/dose inhaler (chiesi ltd)","Clenil Modulite 250micrograms/dose inhaler (Chiesi Ltd)"
"1768141000033111","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL",60000,"salbulin cfc-free inhaler 100 micrograms/puff","Salbulin Cfc-free inhaler 100 micrograms/puff"
"12370941000033119","Aloflute 25micrograms/dose / 250micrograms/dose inhaler",7,"34675711000001103"," Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","NULL",2000,"aloflute 25micrograms/dose / 250micrograms/dose inhaler (mylan)","Aloflute 25micrograms/dose / 250micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"10589241000033117","Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device",8,"29971311000001100"," Inhalation solution","Inhalation","Olodaterol hydrochloride/ Tiotropium bromide","2.500microgram/1.000dose + 2.500microgram/1.000dose","3010400",200000,"spiolto respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (boehringer ingelheim ltd)","Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"8491641000033114","AirSalb 100micrograms/dose inhaler CFC free",1,"22503111000001109"," Pressurised inhalation","Inhalation","Salbutamol sulfate","100.000microgram/1.000dose","NULL",1000,"airsalb 100micrograms/dose inhaler cfc free (sandoz ltd)","AirSalb 100micrograms/dose inhaler CFC free (Sandoz Ltd)"
"12046741000033117","Sereflo 25micrograms/dose / 250micrograms/dose inhaler",7,"34023811000001102"," Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","3020000",70000,"sereflo 25micrograms/dose / 250micrograms/dose inhaler (cipla eu ltd)","Sereflo 25micrograms/dose / 250micrograms/dose inhaler (Cipla EU Ltd)"
"2905641000033115","Symbicort 400/12 Turbohaler",7,"4373811000001100","Inhalation powder","Inhalation","Budesonide/ Formoterol fumarate dihydrate","400.000microgram/1.000dose + 12.000microgram/1.000dose","3020000",2000000,"symbicort 400/12 turbohaler (astrazeneca uk ltd)","Symbicort 400/12 Turbohaler (AstraZeneca UK Ltd)"
"3256441000033113","NULL",9,"NULL","NULL","NULL","NULL","NULL","NULL",1000,"novolizer budesonide inhalation cartridge refill 200 micrograms/dose, 100 doses","Novolizer Budesonide Inhalation Cartridge Refill 200 micrograms/dose, 100 doses"
