"medcodeid","originalreadcode","cleansedreadcode","snomedctconceptid","snomedctdescriptionid","emiscodecategoryid","term","smoking_status","drugs","passive","vape","smokeless_tobacco","gp_recorded_smoking","ever_smoker"
"2737071000000118","^ESCT1172096","","1092511000000105","2737071000000118","Unset","Assessment using smoking pack years calculation","Ex-smoker",NA,NA,NA,NA,1,1
"1488873010","13p4","13p4.00","395177003","1488873010","Personal Health and Social","Smoking free weeks","Ex-smoker",NA,NA,NA,NA,1,1
"9351191000006110","^ESCTHI935119","","10998291000119107","3039578018","Unset","History of smoking","Ex-smoker",NA,NA,NA,NA,1,1
"6427931000006116","^ESCTSM642793","","384742004","1479064018","Unset","Smoking cessation assistance","Ex-smoker",NA,NA,NA,NA,1,1
"852121000006114","EMISQSM17","","852121000006105","852121000006114","Personal Health and Social","Smoking cessation-maintain abstinence","Ex-smoker",NA,NA,NA,NA,1,1
"1974571000006116","EMISICD10|F1740","","1974571000006100","1974571000006116","Conditions, operations and procedures","Mental & behav dis due to tobacco: withdrawl state wth delirium, without convulsions","Ex-smoker",NA,NA,NA,NA,1,1
"489931000000114","745Hz","745Hz00","710081004","3043296015","Conditions, operations and procedures","Smoking cessation therapy NOS","Ex-smoker",NA,NA,NA,NA,1,1
"11777231000006118","^ESCT1177723","","468551000000102","894851000000118","Unset","[X]Mental and behavioral disorders due to use of tobacco: withdrawal state with delirium","Ex-smoker",NA,NA,NA,NA,1,1
"7230811000006115","^ESCTSM723081","","440012000","2793224018","Unset","Smoking cessation behavior","Ex-smoker",NA,NA,NA,NA,1,1
"7368661000006117","^ESCTSM736866","","449345000","1780291000000117","Unset","Smoker before confirmation of pregnancy","Ex-smoker",NA,NA,NA,NA,1,1
"1626121000006116","EMISNQSM6","","1626121000006100","1626121000006116","Conditions, operations and procedures","Smoking cessation drug therapy - varenicline","Ex-smoker",NA,NA,NA,NA,1,1
"2735281000000119","^ESCT1172039","","1092071000000105","2735281000000119","Unset","Ex-heavy smoker (20-39/day)","Ex-smoker",NA,NA,NA,NA,1,1
"3374141000006117","^ESCTTO337414","","53896009","89595016","Unset","Tolerant ex-smoker","Ex-smoker",NA,NA,NA,NA,1,1
"1123951000000110","9km","9km..00","505761000000105","1154471000000114","Administration, documents and attachments","Ex-smoker annual review - enhanced services administration","Ex-smoker",NA,NA,NA,NA,1,1
"1974311000006119","EMISICD10|F1721","","1974311000006103","1974311000006119","Conditions, operations and procedures","Mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but in a protected environment","Ex-smoker",NA,NA,NA,NA,1,1
"7368651000006119","^ESCTSM736865","","449345000","2901755018","Unset","Smoked before confirmation of pregnancy","Ex-smoker",NA,NA,NA,NA,1,1
"649851000006112","EGTON1027","","649851000006108","649851000006112","Personal Health and Social","Ex- Rolled Tobacco Smoker","Ex-smoker",NA,NA,NA,NA,1,1
"2735331000000112","^ESCT1172042","","1092091000000109","2735331000000112","Unset","Ex-moderate smoker (10-19/day)","Ex-smoker",NA,NA,NA,NA,1,1
"295259018","E2513","E251300","191889006","295259018","Conditions, operations and procedures","Tobacco dependence in remission","Ex-smoker",NA,NA,NA,NA,1,1
"6217281000006116","^ESCTAG621728","","360900008","476947012","Unset","Aggressive ex-smoker","Ex-smoker",NA,NA,NA,NA,1,1
"397991000006116","Eu173","Eu17300","90755006","150398019","Conditions, operations and procedures","[X]Mental and behavioural disorders due to use of tobacco: withdrawal state","Ex-smoker",NA,NA,NA,NA,1,1
"853001000006110","EGTON1028","","853001000006106","853001000006110","Personal Health and Social","Ex-smoker NOS","Ex-smoker",NA,NA,NA,NA,1,1
"11918501000006114","^ESCT1191850","","411461000000105","894841000000116","Unset","[X]Mental and behavioural disorders due to use of tobacco: withdrawal state","Ex-smoker",NA,NA,NA,NA,1,1
"2735381000000111","^ESCT1172045","","1092111000000104","2735381000000111","Unset","Ex-light smoker (1-9/day)","Ex-smoker",NA,NA,NA,NA,1,1
"1154471000000114","9km-1","9km..11","505761000000105","1154471000000114","Administration, documents and attachments","Ex-smoker annual review","Ex-smoker",NA,NA,NA,NA,1,1
"482771000000118","745H4","745H400","713700008","3297364011","Conditions, operations and procedures","Smoking cessation drug therapy","Ex-smoker",NA,NA,NA,NA,1,1
"4765751000006111","^ESCTTO476575","","191889006","2951706017","Conditions, operations and procedures","Tobacco dependence, in remission","Ex-smoker",NA,NA,NA,NA,1,1
"1771191000006119","EMISNQAT12","","201941000000100","307621000000118","Administration, documents and attachments","Attends smoking cessation clinic not at practice","Ex-smoker",NA,NA,NA,NA,1,1
"250367015","137B","137B.00","266925009","397740017","Personal Health and Social","Ex-very heavy cigarette smoker (40+/day)","Ex-smoker",NA,NA,NA,NA,1,1
"2735421000000119","^ESCT1172048","","1092131000000107","2735421000000119","Unset","Ex-trivial smoker (<1/day)","Ex-smoker",NA,NA,NA,NA,1,1
"1974371000006111","EMISICD10|F1723","","1974371000006107","1974371000006111","Conditions, operations and procedures","Mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs","Ex-smoker",NA,NA,NA,NA,1,1
"7368961000006112","^ESCTST736896","","449368009","2901763017","Unset","Stopped smoking during pregnancy","Ex-smoker",NA,NA,NA,NA,1,1
"854111000006110","EGTON327","","854111000006106","854111000006110","Personal Health and Social","Past smoker","Ex-smoker",NA,NA,NA,NA,1,1
"649821000006115","137O","137O.00","160621008","250377018","Personal Health and Social","Ex-cigar smoker","Ex-smoker",NA,NA,NA,NA,1,1
"2636041000006110","^ESCTCE263604","","8517006","15048013","Personal Health and Social","Cessation of smoking","Ex-smoker",NA,NA,NA,NA,1,1
"1151791000000117","137K0","137K000","517211000000106","1151791000000117","Personal Health and Social","Recently stopped smoking","Ex-smoker",NA,NA,NA,NA,1,1
"7368971000006117","^ESCTST736897","","449369001","2901764011","Unset","Stopped smoking before pregnancy","Ex-smoker",NA,NA,NA,NA,1,1
"909391000006117","HNGZ011","","909391000006101","909391000006117","Reason for care","[RFC] Smoking cessation","Ex-smoker",NA,NA,NA,NA,1,1
"854051000006112","EGTON324","","854051000006108","854051000006112","Personal Health and Social","Ex-pipe smoker","Ex-smoker",NA,NA,NA,NA,1,1
"1974501000006110","EMISICD10|F1730","","1974501000006106","1974501000006110","Conditions, operations and procedures","Mental and behav dis due to use tobacco: withdrawal state, uncomplicated","Ex-smoker",NA,NA,NA,NA,1,1
"250365011","1379","1379.00","266923002","397738010","Personal Health and Social","Ex-moderate cigarette smoker (10-19/day)","Ex-smoker",NA,NA,NA,NA,1,1
"250363016","1377","1377.00","266921000","397736014","Personal Health and Social","Ex-trivial cigarette smoker (<1/day)","Ex-smoker",NA,NA,NA,NA,1,1
"2735201000000112","^ESCT1172036","","1092041000000104","2735201000000112","Unset","Ex-very heavy smoker (40+/day)","Ex-smoker",NA,NA,NA,NA,1,1
"250364010","1378","1378.00","266922007","397737017","Personal Health and Social","Ex-light cigarette smoker (1-9/day)","Ex-smoker",NA,NA,NA,NA,1,1
"649831000006117","137N","137N.00","160620009","250376010","Personal Health and Social","Ex-pipe smoker","Ex-smoker",NA,NA,NA,NA,1,1
"418914010","137j","137j.00","281018007","418914010","Personal Health and Social","Ex-cigarette smoker","Ex-smoker",NA,NA,NA,NA,1,1
"150398019","E023","E023.00","90755006","150398019","Conditions, operations and procedures","Nicotine withdrawal","Ex-smoker",NA,NA,NA,NA,1,1
"852991000006114","EGTON1026","","852991000006105","852991000006114","Personal Health and Social","Ex-cigar smoker","Ex-smoker",NA,NA,NA,NA,1,1
"250366012","137A","137A.00","266924008","397739019","Personal Health and Social","Ex-heavy cigarette smoker (20-39/day)","Ex-smoker",NA,NA,NA,NA,1,1
"1974531000006119","EMISICD10|F1731","","1974531000006103","1974531000006119","Conditions, operations and procedures","Mental and behav dis due to use tobacco: withdrawal state, with convulsions","Ex-smoker",NA,NA,NA,NA,1,1
"250385010","137T","137T.00","160625004","250385010","Personal Health and Social","Date ceased smoking","Ex-smoker",NA,NA,NA,NA,1,1
"7568991000006119","^ESCTEX756899","","702975009","3006640011","Unset","Ex-tobacco user","Ex-smoker",NA,NA,NA,NA,1,1
"649861000006114","EGTON322","","649861000006105","649861000006114","Personal Health and Social","Ex-Cigarette Smoker","Ex-smoker",NA,NA,NA,NA,1,1
"904111000006113","EMISQCO2","","904111000006109","904111000006113","Cytology/Histology","Carbon monoxide validation confirms non-smoker","Ex-smoker",NA,NA,NA,NA,1,1
"3513199018","^ESCT1165113","","735128000","3513199018","Unset","Ex-smoker for less than 1 year","Ex-smoker",NA,NA,NA,NA,1,1
"1059701000000119","137l","137l.00","492191000000103","1059701000000119","Personal Health and Social","Ex roll-up cigarette smoker","Ex-smoker",NA,NA,NA,NA,1,1
"11918411000006111","^ESCT1191841","","468551000000102","937201000000114","Unset","[X]Mental and behavioural disorders due to use of tobacco: withdrawal state with delirium","Ex-smoker",NA,NA,NA,NA,1,1
"904091000006116","EMISQDA1","","904091000006100","904091000006116","Personal Health and Social","Date of last cigarette","Ex-smoker",NA,NA,NA,NA,1,1
"397281000006113","Eu174","Eu17400","90755006","150398019","Conditions, operations and procedures","[X]Mental and behavioural disorders due to use of tobacco: withdrawal state with delirium","Ex-smoker",NA,NA,NA,NA,1,1
"6718071000006115","^ESCTCU671807","","405746006","2157522017","Unset","Current non smoker but past smoking history unknown","Ex-smoker",NA,NA,NA,NA,1,1
"8025681000006116","^ESCTHI802568","","85931000119105","3290081012","Unset","History of tobacco use in remission less than 12 months","Ex-smoker",NA,NA,NA,NA,1,1
"6217151000006116","^ESCTIN621715","","360890004","476933013","Unset","Intolerant ex-smoker","Ex-smoker",NA,NA,NA,NA,1,1
"649841000006110","137S","137S.00","8517006","15047015","Personal Health and Social","Ex-smoker","Ex-smoker",NA,NA,NA,NA,1,1
"250373019","137K","137K.00","160617001","250373019","Personal Health and Social","Stopped smoking","Ex-smoker",NA,NA,NA,NA,1,1
"250374013","137L","137L.00","160618006","250374013","Personal Health and Social","Current non-smoker","Ex-smoker",NA,NA,NA,NA,1,1
"492511000000117","745H","745H.00","710081004","3043296015","Conditions, operations and procedures","Smoking cessation therapy","Ex-smoker",NA,NA,NA,NA,1,1
"904201000006117","EMISQSM11","","904201000006101","904201000006117","Diagnostics","Smoking cessation confidence score","Ex-smoker",NA,NA,NA,NA,1,1
"1974281000006116","EMISICD10|F1720","","1974281000006100","1974281000006116","Conditions, operations and procedures","Mental and behav dis due to use tobacco: dependence syndr, currently abstinent","Ex-smoker",NA,NA,NA,NA,1,1
"37311000006117","EMISHGT222","","37311000006101","37311000006117","Health management, screening and monitoring","Other anti-smoking drug given","Ex-smoker",NA,NA,NA,NA,1,1
"904221000006110","EMISQSM15","","904221000006106","904221000006110","Conditions, operations and procedures","Smoking cessation bupropion therapy","Ex-smoker",NA,NA,NA,NA,1,1
"11779351000006111","^ESCT1177935","","411461000000105","956021000000112","Unset","[X]Mental and behavioral disorders due to use of tobacco: withdrawal state","Ex-smoker",NA,NA,NA,NA,1,1
"854151000006111","EGTON328","","854151000006107","854151000006111","Personal Health and Social","Date stopped smoking","Ex-smoker",NA,NA,NA,NA,1,1
"8017571000006117","^ESCTEX801757","","48031000119106","3047429015","Unset","Ex-smoker for more than 1 year","Ex-smoker",NA,NA,NA,NA,1,1
"482871000000111","745Hy","745Hy00","710081004","3043296015","Conditions, operations and procedures","Other specified smoking cessation therapy","Ex-smoker",NA,NA,NA,NA,1,1
"903041000006110","137F-99","137F.99","266928006","903041000006110","Personal Health and Social","EX-Smoker NOS","Ex-smoker",NA,NA,NA,NA,1,1
"8061901000006111","^ESCTAT806190","","201931000000109","307601000000110","Unset","Attends practice smoking cessation clinic","Ex-smoker",NA,NA,NA,NA,1,1
"6282381000006110","^ESCTFI628238","","365982000","2770620010","Unset","Finding of tobacco smoking consumption","Current smoker",NA,NA,NA,NA,1,1
"7502421000006113","^ESCTSU750242","","697956009","2968169011","Unset","Suspected tobacco abuse","Current smoker",NA,NA,NA,NA,1,1
"344795016","137a","137a.00","230058003","344795016","Personal Health and Social","Pipe tobacco consumption","Current smoker",NA,NA,NA,NA,1,1
"5495901000006112","^ESCTAM549590","","266918002","1225107019","Personal Health and Social","Amount and type of tobacco smoked","Current smoker",NA,NA,NA,NA,1,1
"6709511000006112","^ESCTRI670951","","405140009","2162963011","Unset","Risk control: tobacco use","Current smoker",NA,NA,NA,NA,1,1
"7682161000006118","^ESCTCO768216","","711028002","3047218017","Conditions, operations and procedures","Counseling about tobacco use","Current smoker",NA,NA,NA,NA,1,1
"4180331000006118","^ESCTTO418033","","110483000","2923440014","Conditions, operations and procedures","Tobacco use","Current smoker",NA,NA,NA,NA,1,1
"344793011","137X","137X.00","230056004","344793011","Personal Health and Social","Cigarette consumption","Current smoker",NA,NA,NA,NA,1,1
"2474719011","137h","137h.00","413173009","2474719011","Personal Health and Social","Minutes from waking to first tobacco consumption","Current smoker",NA,NA,NA,NA,1,1
"7968461000006114","^ESCTRE796846","","1421000175103","3027267012","Unset","Readiness to stop tobacco use","Current smoker",NA,NA,NA,NA,1,1
"250387019","137Z","137Z.00","266918002","397730015","Personal Health and Social","Tobacco consumption NOS","Current smoker",NA,NA,NA,NA,1,1
"137721000006115","137-1","137..11","266918002","397730015","Personal Health and Social","Smoker - amount smoked","Current smoker",NA,NA,NA,NA,1,1
"6282371000006112","^ESCTTO628237","","365982000","489484014","Unset","Tobacco smoking consumption - finding","Current smoker",NA,NA,NA,NA,1,1
"5496021000006114","^ESCTTO549602","","266927001","397743015","Personal Health and Social","Tobacco smoking consumption unknown","Current smoker",NA,NA,NA,NA,1,1
"4765721000006119","^ESCTCO476572","","191887008","2951818015","Conditions, operations and procedures","Continuous tobacco use","Current smoker",NA,NA,NA,NA,1,1
"8294731000006111","^ESCTPR829473","","857871000000107","2220051000000116","Unset","Provision of written information about tobacco use","Current smoker",NA,NA,NA,NA,1,1
"344794017","137Y","137Y.00","230057008","344794017","Personal Health and Social","Cigar consumption","Current smoker",NA,NA,NA,NA,1,1
"397911000006114","Eu171","Eu17100","724697004","3445165019","Conditions, operations and procedures","[X]Mental and behavioural disorders due to use of tobacco: harmful use","Current smoker",NA,NA,NA,NA,1,1
"6709501000006114","^ESCTRI670950","","405140009","2156975019","Unset","Risk control behavior: tobacco use","Current smoker",NA,NA,NA,NA,1,1
"461114016","ZV6D8","ZV6D800","711028002","3047058010","Conditions, operations and procedures","Counselling about tobacco use","Current smoker",NA,NA,NA,NA,1,1
"3959141000006110","^ESCTTO395914","","89765005","148823015","Conditions, operations and procedures","Tobacco abuse","Current smoker",NA,NA,NA,NA,1,1
"4533531000006119","^ESCTAD453353","","160613002","4533531000006119","Personal Health and Social","Admitted tobacco consumption possibly untrue","Current smoker",NA,NA,NA,NA,1,1
"102921000006112","137","137..00","266918002","397730015","Personal Health and Social","Tobacco smoking consumption","Current smoker",NA,NA,NA,NA,1,1
"11918491000006118","^ESCT1191849","","470041000000100","894821000000111","Unset","[X]Mental and behavioural disorders due to use of tobacco: harmful use","Current smoker",NA,NA,NA,NA,1,1
"1974421000006116","EMISICD10|F1725","","1974421000006100","1974421000006116","Conditions, operations and procedures","Mental and behav dis due to use tobacco: dependence syndr, continuous use","Current smoker",NA,NA,NA,NA,1,1
"11777261000006110","^ESCT1177726","","470041000000100","943331000000115","Unset","[X]Mental and behavioral disorders due to use of tobacco: harmful use","Current smoker",NA,NA,NA,NA,1,1
"250369017","137D","137D.00","160613002","2791864017","Personal Health and Social","Admitted tobacco consumption possibly untrue","Current smoker",NA,NA,NA,NA,1,1
"397981000006119","Eu172","Eu17200","30310000","50736017","Conditions, operations and procedures","[X]Mental and behav dis due to use tobacco: dependence syndr","Current smoker",NA,NA,NA,NA,1,1
"4640191000006114","^ESCTSM464019","","171055003","2579133014","Personal Health and Social","Smoking in pregnancy education","Current smoker",NA,NA,NA,NA,1,1
"5495941000006114","^ESCTOC549594","","266920004","397733018","Personal Health and Social","Occasional smoker","Current smoker",NA,NA,NA,NA,1,1
"743331000006116","1373","1373.00","160603005","250358015","Personal Health and Social","Light cigarette smoker (1-9 cigs/day)","Current smoker",NA,NA,NA,NA,1,1
"1974911000006115","EMISICD10|F1772","","1974911000006104","1974911000006115","Conditions, operations and procedures","Mental & behav dis due to tobacco: resid & late-onset psychot dis, residual affective disorder","Current smoker",NA,NA,NA,NA,1,1
"1662541000006111","EMISD_DE197","","1662541000006107","1662541000006111","Administration, documents and attachments","Dental recall - tobacco user","Current smoker",NA,NA,NA,NA,1,1
"1973821000006117","EMISICD10|F1700","","1973821000006101","1973821000006117","Conditions, operations and procedures","Mental & behav dis due to use tobacco: acute intoxication, uncomplicated","Current smoker",NA,NA,NA,NA,1,1
"3142931000006113","^ESCTTO314293","","39953003","1229586013","Unset","Tobacco - substance","Current smoker",NA,NA,NA,NA,1,1
"904041000006113","EMISQWA1","","904041000006109","904041000006113","Personal Health and Social","Waking time to first cigarette","Current smoker",NA,NA,NA,NA,1,1
"3430561000006111","^ESCTTO343056","","57264008","95242013","Unset","Tobacco plant","Current smoker",NA,NA,NA,NA,1,1
"904231000006113","EMISQSM13","","904231000006109","904231000006113","Personal Health and Social","Smoking cessation counselling by telephone","Current smoker",NA,NA,NA,NA,1,1
"854981000006117","EGTONGR12","","854981000006101","854981000006117","Diagnostics","Grade C moderate smoker (11-20/day)","Current smoker",NA,NA,NA,NA,1,1
"397681000006110","Eu175","Eu17500","30310000","50736017","Conditions, operations and procedures","[X]Mental and behavioural disorders due to use of tobacco: psychotic disorder","Current smoker",NA,NA,NA,NA,1,1
"216212011","137V","137V.00","134406006","216212011","Personal Health and Social","Smoking reduced","Current smoker",NA,NA,NA,NA,1,1
"397271000006110","Eu17y","Eu17y00","30310000","50736017","Conditions, operations and procedures","[X]Mental and behavioural disorders due to use of tobacco: other mental and behavioural disorders","Current smoker",NA,NA,NA,NA,1,1
"3235701000006114","^ESCTTO323570","","45571007","75984019","Unset","Tobacco poisoning","Current smoker",NA,NA,NA,NA,1,1
"1973841000006112","EMISICD10|F1701","","1973841000006108","1973841000006112","Conditions, operations and procedures","Mental & behav dis due to use tobacco: acute intoxication, with trauma or other bodily injury","Current smoker",NA,NA,NA,NA,1,1
"2982426011","ESCTPR3","","699033005","2982426011","Administration, documents and attachments","Provision of smoking cessation leaflet","Current smoker",NA,NA,NA,NA,1,1
"137711000006111","EMISSMRE1","","137711000006107","137711000006111","Personal Health and Social","Smoker (Read codes)","Current smoker",NA,NA,NA,NA,1,1
"137791000006118","137Q-1","137Q.11","308438006","2670126018","Personal Health and Social","Smoking restarted","Current smoker",NA,NA,NA,NA,1,1
"1973951000006117","EMISICD10|F1704","","1973951000006101","1973951000006117","Conditions, operations and procedures","Mental & behav dis due to use tobacco: acute intoxication, with perceptual distortions","Current smoker",NA,NA,NA,NA,1,1
"818061000006111","6791","6791.00","225323000","2575784012","Personal Health and Social","Smoking cessation education","Current smoker",NA,NA,NA,NA,1,1
"8056731000006119","^ESCTSM805673","","196771000000101","295421000000116","Unset","Smoking assessment","Current smoker",NA,NA,NA,NA,1,1
"6011421000006115","^ESCTTO601142","","311976005","455622018","Unset","Tobacco and nicotine","Current smoker",NA,NA,NA,NA,1,1
"503483019","137R","137R.00","77176002","503483019","Personal Health and Social","Current smoker","Current smoker",NA,NA,NA,NA,1,1
"4948541000006114","^ESCTHI494854","","225935007","339460015","Unset","Hides lit cigarettes in pockets","Current smoker",NA,NA,NA,NA,1,1
"903981000006117","EMISQNO1","","903981000006101","903981000006117","Personal Health and Social","Not interested in stopping smoking","Current smoker",NA,NA,NA,NA,1,1
"2651021000006113","^ESCTTO265102","","9473008","16588018","Conditions, operations and procedures","Tobacco deposit on teeth","Current smoker",NA,NA,NA,NA,1,1
"7650811000006116","^ESCTAS765081","","709507008","3039829017","Unset","Assessment of readiness for smoking cessation","Current smoker",NA,NA,NA,NA,1,1
"250368013","137C","137C.00","160612007","250368013","Personal Health and Social","Keeps trying to stop smoking","Current smoker",NA,NA,NA,NA,1,1
"6769741000006119","^ESCTMA676974","","408940009","2477263014","Unset","Manage tobacco abuse control","Current smoker",NA,NA,NA,NA,1,1
"397461000006119","Eu17z","Eu17z00","30310000","50736017","Conditions, operations and procedures","[X]Mental and behavioural disorders due to use of tobacco: unspecified mental and behavioural disorder","Current smoker",NA,NA,NA,NA,1,1
"2670581000006114","^ESCTSM267058","","10729003","18638011","Unset","Smoker's respiratory syndrome","Current smoker",NA,NA,NA,NA,1,1
"250375014","137M","137M.00","160619003","250375014","Personal Health and Social","Rolls own cigarettes","Current smoker",NA,NA,NA,NA,1,1
"4939261000006116","^ESCTSM493926","","225324006","2575785013","Personal Health and Social","Smoking effects education","Current smoker",NA,NA,NA,NA,1,1
"5244071000006110","^ESCTTO524407","","247439004","369491018","Unset","Tobacco stained fingers","Current smoker",NA,NA,NA,NA,1,1
"2651031000006111","^ESCTEX265103","","9473008","511413011","Conditions, operations and procedures","Extrinsic staining of tooth - tobacco","Current smoker",NA,NA,NA,NA,1,1
"2669652019","137Q","137Q.00","266929003","2669652019","Personal Health and Social","Smoking started","Current smoker",NA,NA,NA,NA,1,1
"295258014","E2512","E251200","191888003","295258014","Conditions, operations and procedures","Tobacco dependence, episodic","Current smoker",NA,NA,NA,NA,1,1
"1125741000000111","67H6","67H6.00","506491000000102","1125741000000111","Personal Health and Social","Brief intervention for smoking cessation","Current smoker",NA,NA,NA,NA,1,1
"12626201000006116","^ESCT1262620","","1110791000000100","2779501000000111","Unset","Very Brief Advice on Smoking","Current smoker",NA,NA,NA,NA,1,1
"1974931000006114","EMISICD10|F1773","","1974931000006105","1974931000006114","Conditions, operations and procedures","Mental & behav dis due to tobacco: resid & late-onset psychot dis, dementia","Current smoker",NA,NA,NA,NA,1,1
"295256013","E2510","E251000","89765005","148820017","Conditions, operations and procedures","Tobacco dependence, unspecified","Current smoker",NA,NA,NA,NA,1,1
"303501000000115","8CAg","8CAg.00","200221000000105","303501000000115","Conditions, operations and procedures","Smoking cessation advice provided by community pharmacist","Current smoker",NA,NA,NA,NA,1,1
"4180321000006116","^ESCTTO418032","","110483000","4180321000006116","Conditions, operations and procedures","Tobacco user","Current smoker",NA,NA,NA,NA,1,1
"11776621000006116","^ESCT1177662","","396621000000103","879331000000110","Unset","[X]Mental and behavioral disorders due to use of tobacco: other mental and behavioral disorders","Current smoker",NA,NA,NA,NA,1,1
"3142921000006110","^ESCTTO314292","","39953003","66552013","Unset","Tobacco","Current smoker",NA,NA,NA,NA,1,1
"4948551000006111","^ESCTDR494855","","225936008","339461016","Unset","Drops unextinguished cigarettes","Current smoker",NA,NA,NA,NA,1,1
"7559591000006110","^ESCTTO755959","","702388001","2995195017","Unset","Tobacco use cessation education","Current smoker",NA,NA,NA,NA,1,1
"62881000000117","9N4M","9N4M.00","25261000000107","62881000000117","Administration, documents and attachments","DNA - Did not attend smoking cessation clinic","Current smoker",NA,NA,NA,NA,1,1
"5003181000006112","^ESCTVE500318","","230064005","344803011","Personal Health and Social","Very heavy cigarette smoker","Current smoker",NA,NA,NA,NA,1,1
"6769721000006114","^ESCTTE676972","","408939007","2477262016","Unset","Teach tobacco abuse prevention","Current smoker",NA,NA,NA,NA,1,1
"9881001000006114","^ESCTTO988100","","16077091000119107","3475785019","Unset","Tobacco dependence caused by cigarettes","Current smoker",NA,NA,NA,NA,1,1
"459722017","8HTK","8HTK.00","315232003","459722017","Referral","Referral to stop-smoking clinic","Current smoker",NA,NA,NA,NA,1,1
"9326631000006114","^ESCTTO932663","","10761391000119102","3005939017","Unset","Tobacco use in childbirth","Current smoker",NA,NA,NA,NA,1,1
"8279661000006118","^ESCTPR827966","","838131000000103","2175501000000117","Unset","Provision of written information about smoking cessation","Current smoker",NA,NA,NA,NA,1,1
"1974981000006110","EMISICD10|F1775","","1974981000006106","1974981000006110","Conditions, operations and procedures","Mental & behav dis due to tobacco: resid & late-onset psychot dis, late-onset psychotic disorder","Current smoker",NA,NA,NA,NA,1,1
